CargaalMaximum Comp. load;"14,11927";N
Deformación por compresión (Extensión)alMaximum Comp. load;"0,06479";mm/mm
EnergíaalMaximum Comp. load;"0,01088";J
Esfuerzo de compresiónalMaximum Comp. load;"1,41193";MPa
ExtensiónalMaximum Comp. load;"3,23938";mm
Extensión por compresiónalMaximum Comp. load;"3,23937";mm
Número de estadoalMaximum Comp. load;1
Punto de datosalMaximum Comp. load;4653
TiempoalMaximum Comp. load;"232,60000";s
Delta;;s
Valor de inicio de detención;"10,00000";mm
Velocidad 1;"0,50000";mm/min
Deformación por compresión (Extensión) distancia inicial;"50,00000";mm

Extensión;Carga;Esfuerzo de compresión;Tiempo;PIP count;Extensión por compresión;Deformación por compresión (Extensión)
(mm);(N);(MPa);(s);;(mm);(mm/mm)
"1,30047";"0,50055";"0,05005";"0,00000";"0,00000";"1,30047";"0,02601"
"1,30109";"0,50050";"0,05005";"0,05000";"0,00000";"1,30109";"0,02602"
"1,30172";"0,50213";"0,05021";"0,10000";"0,00000";"1,30172";"0,02603"
"1,30219";"0,50212";"0,05021";"0,15000";"0,00000";"1,30219";"0,02604"
"1,30266";"0,50205";"0,05020";"0,20000";"0,00000";"1,30266";"0,02605"
"1,30313";"0,50004";"0,05000";"0,25000";"0,00000";"1,30313";"0,02606"
"1,30344";"0,50017";"0,05002";"0,30000";"0,00000";"1,30344";"0,02607"
"1,30391";"0,50185";"0,05019";"0,35000";"0,00000";"1,30391";"0,02608"
"1,30422";"0,50199";"0,05020";"0,40000";"0,00000";"1,30422";"0,02608"
"1,30469";"0,49974";"0,04997";"0,45000";"0,00000";"1,30469";"0,02609"
"1,30500";"0,50047";"0,05005";"0,50000";"0,00000";"1,30500";"0,02610"
"1,30547";"0,50060";"0,05006";"0,55000";"0,00000";"1,30547";"0,02611"
"1,30594";"0,50047";"0,05005";"0,60000";"0,00000";"1,30594";"0,02612"
"1,30641";"0,50167";"0,05017";"0,65000";"0,00000";"1,30641";"0,02613"
"1,30672";"0,50044";"0,05004";"0,70000";"0,00000";"1,30672";"0,02613"
"1,30719";"0,50067";"0,05007";"0,75000";"0,00000";"1,30719";"0,02614"
"1,30766";"0,49666";"0,04967";"0,80000";"0,00000";"1,30766";"0,02615"
"1,30797";"0,49975";"0,04998";"0,85000";"0,00000";"1,30797";"0,02616"
"1,30844";"0,49957";"0,04996";"0,90000";"0,00000";"1,30844";"0,02617"
"1,30891";"0,50234";"0,05023";"0,95000";"0,00000";"1,30891";"0,02618"
"1,30938";"0,50118";"0,05012";"1,00000";"0,00000";"1,30938";"0,02619"
