Ensayo de Compresion - Specimen_RawData_1
C10: 1.2462, C20: 0.0000, C30: 0.0000 (kPa)
Lambda Stress(kPa)
1.00000000 0.00000000
0.99981882 0.00003941
0.99963472 0.00124501
0.99949737 0.00123696
0.99936002 0.00118165
0.99922268 0.00040170
0.99913209 0.00029928
0.99899474 0.00102372
0.99890415 0.00113386
0.99876680 0.00063771
0.99867621 0.00006298
0.99853887 0.00003936
0.99840152 0.00006296
0.99826417 0.00088133
0.99817358 0.00008655
0.99803624 0.00009441
0.99789889 0.00305992
0.99780830 0.00062923
0.99767095 0.00077070
0.99753361 0.00140752
0.99739626 0.00049532
0.99726184 0.00066033
0.99716832 0.00042446
0.99703390 0.00046370
0.99689655 0.00019646
0.99675921 0.00144571
0.99666569 0.00102133
0.99653127 0.00110760
0.99643776 0.00225427
0.99630041 0.00135081
0.99620982 0.00110725
0.99607247 0.00008637
0.99598188 0.00126401
0.99584454 0.00030615
0.99570719 0.00285698
0.99561660 0.00081621
0.99547925 0.00245613
0.99534191 0.00126320
0.99525132 0.00246341
0.99511397 0.00179631
0.99502338 0.00053335
0.99488603 0.00339575
0.99479544 0.00340328
0.99465809 0.00196014
0.99456750 0.00219516
0.99447399 0.00470347
0.99433957 0.00304117
0.99424605 0.00362868
0.99410871 0.00370654
0.99397428 0.00633083
0.99383694 0.00450461
0.99369959 0.00485647
0.99360900 0.00546695
0.99347165 0.00458127
0.99333431 0.00625628
0.99319696 0.00573870
0.99310637 0.00670106
0.99296902 0.00724804
0.99283168 0.00673834
0.99269433 0.00733211
0.99260374 0.00809823
0.99246639 0.00674368
0.99232905 0.00819768
0.99223846 0.00762596
0.99210111 0.00768747
0.99196376 0.00969598
0.99182642 0.00785735
0.99168907 0.00870833
0.99155172 0.00913701
0.99141730 0.00944056
0.99127995 0.00772018
0.99118644 0.00925865
0.99105202 0.01098388
0.99091467 0.01107609
0.99077732 0.01228511
0.99068673 0.01168267
0.99054939 0.01222762
0.99045880 0.01259345
0.99032145 0.01327086
0.99022794 0.01320717
0.99009059 0.01240146
0.99000000 0.01083175
0.98986265 0.01278875
0.98972531 0.01375438
0.98963472 0.01338648
0.98949737 0.01424261
0.98936002 0.01425623
0.98926943 0.01398979
0.98913209 0.01427634
0.98899766 0.01515534
0.98890415 0.01598799
0.98876680 0.01541680
0.98862946 0.01620955
0.98853887 0.01884967
0.98840152 0.01722647
0.98831093 0.01519156
0.98817358 0.01782228
0.98808299 0.01969774
0.98794565 0.01968721
0.98780830 0.01850092
0.98767095 0.01673882
0.98758036 0.01950867
0.98744302 0.01856413
0.98730567 0.01911411
0.98716832 0.01927486
0.98707773 0.02254104
0.98694039 0.02084192
0.98684980 0.02269919
0.98671245 0.02017598
0.98662186 0.02273284
0.98648451 0.02360838
0.98634717 0.02205785
0.98625658 0.02247564
0.98611923 0.02363073
0.98602864 0.02158438
0.98593805 0.02462118
0.98584454 0.02300246
0.98575395 0.02338109
0.98561660 0.02307483
0.98547925 0.02452427
0.98538866 0.02262675
0.98525132 0.02536514
0.98511397 0.02416574
0.98497662 0.02472917
0.98484220 0.02731094
0.98470485 0.02653092
0.98461426 0.02418453
0.98447691 0.02749481
0.98433957 0.02555893
0.98424605 0.02807025
0.98411163 0.02678644
0.98397428 0.02978442
0.98388077 0.02910685
0.98374635 0.02863760
0.98360900 0.03002922
0.98351549 0.02962323
0.98338106 0.03067341
0.98324372 0.03084739
0.98315313 0.03136379
0.98301578 0.03067751
0.98287843 0.03190511
0.98278492 0.03044564
0.98265050 0.03171956
0.98251315 0.03405406
0.98237580 0.03566775
0.98223846 0.03367289
0.98210111 0.03595196
0.98196376 0.03349319
0.98182642 0.03524535
0.98168907 0.03688095
0.98159848 0.03541513
0.98146113 0.03688786
0.98132671 0.03827520
0.98118936 0.03866429
0.98109585 0.03752376
0.98095850 0.03747211
0.98086791 0.03766195
0.98073057 0.03812052
0.98059322 0.03734994
0.98045880 0.03678063
0.98032145 0.03984332
0.98018410 0.04152211
0.98004676 0.03990168
0.97995617 0.04103352
0.97981882 0.04174607
0.97972823 0.04134062
0.97959088 0.03999123
0.97949737 0.04269751
0.97936295 0.04353313
0.97926943 0.04221669
0.97917884 0.04169565
0.97904150 0.04305579
0.97890415 0.04450043
0.97881356 0.04372475
0.97867621 0.04396548
0.97853887 0.04464581
0.97840152 0.04393771
0.97831093 0.04371772
0.97817358 0.04770569
0.97808299 0.04641371
0.97799240 0.04479819
0.97785506 0.04677289
0.97776447 0.04665294
0.97767387 0.04646366
0.97758036 0.05006560
0.97744302 0.04666072
0.97730567 0.04728587
0.97721508 0.04892225
0.97707773 0.04806045
0.97694331 0.05044883
0.97680596 0.05031084
0.97666861 0.05118142
0.97653127 0.05031978
0.97644068 0.05119257
0.97630333 0.04992324
0.97620982 0.05162678
0.97607539 0.05125805
0.97598188 0.05280720
0.97584746 0.05183070
0.97571011 0.05220027
0.97561660 0.05351803
0.97548217 0.05338763
0.97534483 0.05271891
0.97525132 0.05130703
0.97511397 0.05512769
0.97497954 0.05458979
0.97484220 0.05399040
0.97470485 0.05478954
0.97456750 0.05687906
0.97443016 0.05604149
0.97433957 0.05510695
0.97415546 0.05830634
0.97401812 0.05649382
0.97388369 0.05951069
0.97374635 0.05970954
0.97365576 0.05965793
0.97351841 0.06048598
0.97342490 0.05764108
0.97328755 0.05824672
0.97319696 0.05957612
0.97305961 0.06057253
0.97292227 0.06127722
0.97283168 0.06060435
0.97269433 0.06222896
0.97255991 0.06275700
0.97242256 0.06274814
0.97228521 0.06389658
0.97219170 0.06389043
0.97205728 0.06232613
0.97196376 0.06369157
0.97182642 0.06561304
0.97173583 0.06621206
0.97159848 0.06385145
0.97150789 0.06391442
0.97137054 0.06692224
0.97123320 0.06474615
0.97109585 0.06536469
0.97100526 0.06671337
0.97086791 0.06632129
0.97073349 0.06929638
0.97059614 0.06849853
0.97050263 0.06737501
0.97036528 0.07070047
0.97027469 0.06862116
0.97013735 0.06903205
0.97004676 0.07311652
0.96990941 0.06841948
0.96981882 0.07045425
0.96968147 0.07183542
0.96954413 0.07237551
0.96945354 0.07212421
0.96931619 0.07374149
0.96922560 0.07260386
0.96913501 0.07320059
0.96904150 0.07480528
0.96895091 0.07284297
0.96881356 0.07402400
0.96867621 0.07399823
0.96853887 0.07401828
0.96840444 0.07645076
0.96826710 0.07699710
0.96817650 0.07640224
0.96803916 0.07652113
0.96790181 0.07714353
0.96776447 0.07649178
0.96767387 0.07685076
0.96753653 0.07887621
0.96739918 0.07793467
0.96726184 0.08068372
0.96717124 0.07944109
0.96703390 0.07940694
0.96689655 0.08223857
0.96680596 0.08042468
0.96666861 0.07967412
0.96657802 0.08303436
0.96644068 0.08207029
0.96635009 0.08143035
0.96621274 0.08411496
0.96607539 0.08422485
0.96593805 0.08466973
0.96584746 0.08456281
0.96571011 0.08409404
0.96557276 0.08523139
0.96543542 0.08467133
0.96529807 0.08710943
0.96520748 0.08606651
0.96507013 0.08654113
0.96493279 0.08658206
0.96479544 0.08758883
0.96465809 0.08885385
0.96456750 0.08811558
0.96443016 0.08960829
0.96429281 0.08865297
0.96415546 0.08857955
0.96402104 0.09036818
0.96392753 0.09032902
0.96379310 0.09077985
0.96365576 0.09250645
0.96351841 0.08947041
0.96342490 0.09011484
0.96329047 0.09133238
0.96319696 0.09152092
0.96306254 0.09486360
0.96296902 0.09419399
0.96283168 0.09554670
0.96274109 0.09352663
0.96260374 0.09336153
0.96251315 0.09443771
0.96237580 0.09644214
0.96228521 0.09411952
0.96214787 0.09552435
0.96205728 0.09513618
0.96191993 0.09763999
0.96182934 0.09678163
0.96169199 0.09619168
0.96160140 0.09876740
0.96150789 0.09583220
0.96137054 0.09712953
0.96127995 0.09882531
0.96114261 0.09882634
0.96100526 0.09966065
0.96086791 0.09916166
0.96073349 0.10146518
