--- DATOS FILTRADOS Y DESPLAZADOS ---
Origen: Specimen_RawData_1_procesado.txt
Eje X: Lambda (Stretch) | Eje Y: Stress (kPa)

Lambda Stress
1.00000000 0.00000000
0.99986266 0.00019386
0.99977207 0.00142348
0.99963472 0.00248883
0.99949737 0.00621230
0.99940678 0.00412694
0.99926944 0.00554960
0.99917884 0.00802585
0.99904150 0.00700652
0.99895091 0.00786304
0.99881356 0.01126689
0.99867621 0.01033371
0.99858562 0.01199831
0.99844828 0.01439936
0.99835769 0.01627900
0.99822034 0.01654890
0.99808299 0.01744195
0.99794565 0.01941445
0.99780830 0.02041757
0.99771771 0.02313368
0.99758036 0.02330309
0.99744302 0.02503866
0.99730567 0.02797582
0.99721508 0.02708272
0.99707773 0.03014796
0.99694039 0.03017389
0.99680304 0.03111779
0.99671245 0.03443253
0.99657510 0.03583109
0.99643776 0.03847927
0.99630041 0.03898977
0.99616599 0.03917872
0.99602864 0.04189239
0.99593513 0.04233535
0.99580070 0.04424027
0.99566336 0.04477357
0.99556984 0.04642774
0.99547925 0.04857243
0.99534191 0.04772696
0.99525132 0.05009831
0.99511397 0.04908668
0.99502338 0.05306773
0.99488603 0.05378286
0.99479544 0.05568487
0.99465810 0.05690920
0.99456751 0.05660454
0.99443016 0.05836264
0.99433957 0.06017068
0.99420222 0.06064403
0.99411163 0.06211961
0.99401812 0.06448609
0.99388077 0.06274843
0.99379018 0.06617484
0.99365284 0.06734603
0.99351549 0.06863944
0.99337814 0.07039853
0.99324372 0.07323540
0.99310637 0.07520139
0.99301286 0.07719493
0.99287844 0.07890718
0.99274109 0.07991482
0.99264758 0.07956552
0.99251315 0.08218323
0.99237581 0.08362458
0.99223846 0.08302554
0.99214787 0.08421838
0.99201052 0.08578706
0.99191993 0.08841805
0.99178259 0.08974663
0.99164524 0.09087879
0.99155465 0.09363632
0.99141730 0.09558727
0.99127996 0.09806970
0.99118644 0.09923532
0.99105202 0.10082241
0.99091467 0.10365719
0.99077733 0.10387408
0.99063998 0.10624868
0.99054939 0.10826084
0.99041204 0.11087826
0.99027470 0.11182662
0.99013735 0.11267681
0.99000000 0.11425956
0.98986266 0.11797903
0.98972531 0.12050038
0.98959088 0.12083453
0.98945354 0.12066264
0.98931619 0.12513471
0.98922560 0.12590812
0.98913209 0.12740195
0.98899474 0.12762519
0.98890415 0.12978237
0.98876681 0.13055381
0.98867621 0.13249650
0.98853887 0.13371212
0.98840152 0.13604265
0.98826710 0.13712837
0.98812975 0.13905514
0.98803624 0.13983197
0.98790181 0.14371221
0.98780830 0.14328830
0.98767095 0.14354401
0.98753361 0.14558954
0.98744302 0.14721027
0.98730567 0.14927874
0.98721508 0.14938307
0.98707773 0.15215623
0.98694039 0.15480664
0.98680304 0.15417136
0.98671245 0.15715768
0.98657510 0.15742807
0.98643776 0.15776516
0.98634717 0.15892575
0.98625658 0.16159347
0.98616599 0.16100897
0.98607247 0.16033398
0.98593805 0.16391394
0.98584454 0.16406490
0.98575395 0.16508996
0.98561660 0.16552195
0.98547925 0.16745352
0.98534483 0.16628750
0.98525132 0.17000114
0.98516073 0.17109122
0.98507014 0.17222955
0.98493279 0.17417033
0.98479544 0.17354404
0.98465810 0.17688490
0.98452075 0.17878108
0.98438340 0.18085839
0.98424606 0.18281361
0.98415547 0.18521572
0.98401812 0.18704216
0.98388077 0.18828006
0.98374635 0.18992900
0.98360900 0.19168671
0.98351549 0.19222040
0.98338107 0.19438236
0.98328755 0.19574498
0.98315313 0.19492095
0.98305962 0.19772365
0.98292227 0.20050072
0.98278785 0.20095881
0.98269433 0.20291223
0.98255699 0.20370266
0.98241964 0.20682729
0.98228522 0.20869260
0.98219170 0.20929523
0.98205436 0.21151032
0.98191993 0.21295662
0.98182642 0.21347970
0.98168907 0.21490118
0.98155465 0.21653323
0.98141730 0.21679375
0.98132379 0.21773854
0.98118937 0.22216485
0.98105202 0.22298545
0.98091467 0.22283381
0.98082408 0.22556329
0.98068673 0.22688952
0.98054939 0.22765408
0.98045880 0.23043581
0.98032145 0.23210407
0.98018410 0.23237859
0.98004676 0.23312321
0.97995617 0.23513055
0.97981882 0.23723051
0.97968147 0.23767231
0.97954413 0.24067467
0.97940678 0.24270594
0.97926944 0.24317031
0.97913501 0.24055090
0.97899766 0.23767958
0.97890415 0.24023716
0.97881356 0.24358853
0.97867621 0.24278203
0.97858562 0.24574685
0.97844828 0.24811692
0.97835769 0.24867968
0.97822034 0.25008594
0.97812975 0.25248255
0.97803624 0.25522742
0.97790181 0.25685407
0.97780830 0.25699437
0.97767095 0.26059162
0.97758036 0.26014829
0.97744302 0.26446480
0.97735243 0.26459782
0.97721508 0.26708591
0.97712449 0.26894830
0.97698714 0.27122451
0.97684980 0.27345777
0.97671245 0.27369708
0.97657803 0.27853382
0.97644068 0.27993612
0.97630333 0.28272980
0.97616599 0.28401065
0.97607540 0.28540610
0.97593805 0.28708172
0.97580070 0.28843285
0.97571011 0.29028256
0.97557277 0.29198619
0.97543542 0.29259837
0.97534483 0.29528544
0.97520748 0.29614830
0.97507014 0.29574681
0.97493279 0.29800453
0.97484220 0.29837142
0.97470485 0.29762218
0.97456751 0.30157230
0.97447692 0.30133985
0.97433957 0.30154169
0.97424898 0.30300259
0.97411163 0.30501065
0.97401812 0.30653619
0.97388370 0.30616265
0.97374635 0.30718223
0.97365284 0.30930448
0.97351841 0.30962380
0.97338107 0.31155046
0.97324372 0.31242459
0.97310637 0.31548503
0.97296903 0.31730772
0.97283168 0.31721246
0.97274109 0.31958749
0.97260374 0.32312785
0.97246640 0.32298354
0.97232905 0.32583540
0.97223846 0.32767643
0.97210111 0.32636755
0.97196377 0.32853109
0.97182642 0.32905346
0.97169200 0.33397696
0.97159848 0.33431216
0.97146114 0.33510718
0.97132671 0.33739829
0.97123320 0.33878167
0.97109585 0.33990294
0.97100526 0.34020145
0.97086792 0.34241210
0.97073057 0.34203098
0.97063998 0.34349614
0.97050263 0.34336483
0.97036821 0.34632353
0.97023086 0.34631059
0.97013735 0.35009460
0.97000292 0.35269932
0.96986558 0.35459462
0.96977207 0.35573447
0.96963472 0.35724187
0.96954413 0.35925554
0.96940678 0.36000658
0.96926944 0.36200557
0.96917884 0.36408883
0.96904150 0.36580104
0.96890415 0.36658564
0.96881356 0.37048505
0.96872297 0.37138369
0.96863238 0.37001320
0.96853887 0.37297179
0.96840444 0.37433658
0.96831093 0.37500790
0.96817651 0.37796255
0.96803916 0.37918843
0.96790181 0.38213453
0.96781122 0.38333872
0.96767388 0.38483560
0.96753653 0.38612424
0.96739918 0.38973676
0.96730859 0.39093895
0.96717125 0.39308511
0.96703390 0.39444210
0.96689655 0.39588737
0.96675921 0.39684618
0.96666862 0.39913616
0.96653127 0.39992805
0.96639392 0.40253753
0.96625658 0.40329868
0.96611923 0.40569918
0.96598188 0.40640598
0.96589129 0.40927788
0.96575395 0.41135039
0.96561660 0.41067716
0.96552601 0.41312107
0.96538866 0.41458243
0.96525132 0.41647478
0.96516073 0.41837860
0.96502338 0.42086651
0.96488603 0.42091850
0.96475161 0.42157975
0.96465810 0.42329746
0.96452075 0.42437650
0.96438633 0.42903485
0.96429281 0.42947506
0.96415839 0.43083046
0.96402104 0.43228477
0.96388370 0.43383287
0.96379311 0.43721159
0.96365576 0.43842770
0.96356225 0.43946173
0.96342490 0.44083022
0.96333431 0.44221825
0.96319696 0.44313158
0.96305962 0.44600768
0.96292519 0.44724486
0.96278785 0.45030750
0.96265050 0.45227883
0.96251315 0.45209903
0.96242256 0.45434938
0.96228522 0.45644237
0.96219463 0.45837929
0.96210111 0.45825980
0.96201052 0.45894782
0.96187318 0.46124446
0.96178259 0.46243204
0.96169200 0.46218929
0.96155465 0.46541959
0.96146406 0.46565881
0.96132671 0.46645220
0.96123320 0.46780161
0.96109877 0.46897151
0.96100526 0.47274234
0.96086792 0.47383920
0.96073349 0.47489547
0.96063998 0.47621301
0.96054939 0.47860063
0.96041204 0.47948385
0.96027470 0.48101273
0.96018410 0.48197715
0.96004676 0.48383959
0.95990941 0.48723347
0.95977207 0.48927596
0.95963764 0.49074948
0.95950029 0.49276101
0.95940970 0.49415082
0.95927236 0.49438361
0.95913501 0.49656909
0.95904150 0.49756935
0.95890707 0.49909792
0.95881356 0.50006224
0.95867621 0.50141852
0.95854179 0.50302736
0.95844828 0.50462915
0.95831093 0.50558524
0.95817651 0.50687009
0.95803916 0.50944142
0.95790181 0.51067091
0.95781122 0.51374061
0.95767388 0.51340596
0.95753653 0.51534187
0.95739918 0.51620038
0.95730859 0.51727212
0.95717125 0.51880245
0.95703390 0.52125607
0.95694331 0.52299889
0.95680596 0.52362676
0.95666862 0.52599027
0.95653127 0.52760475
0.95639392 0.52957492
0.95621274 0.53122003
0.95607540 0.53345121
0.95598481 0.53613575
0.95584746 0.53511300
0.95571011 0.53749965
0.95561952 0.53841357
0.95548218 0.53914130
0.95534483 0.54174157
0.95525424 0.54379777
0.95511689 0.54605203
0.95497955 0.54902264
0.95484220 0.54893087
0.95475161 0.55031987
0.95461426 0.55149256
0.95452367 0.55243190
0.95443016 0.55373660
0.95429281 0.55639942
0.95420222 0.55928916
0.95406488 0.55954434
0.95392753 0.56154636
0.95383694 0.56237254
0.95369959 0.56603239
0.95356225 0.56577928
0.95342782 0.56984582
0.95333431 0.57033105
0.95319696 0.57238658
0.95310637 0.57528103
0.95296903 0.57565397
0.95287844 0.57718622
0.95274109 0.57851781
0.95260374 0.58119742
0.95246640 0.58300991
0.95237581 0.58482465
0.95228522 0.58648200
0.95219463 0.58505384
0.95210111 0.58648243
0.95201052 0.58855699
0.95187318 0.58998861
0.95173875 0.59120641
0.95160140 0.59433187
0.95150789 0.59630336
0.95132671 0.59714349
0.95118937 0.59855993
0.95105202 0.60111267
0.95091467 0.60144881
0.95077733 0.60405778
0.95068673 0.60467032
0.95054939 0.60659943
0.95041204 0.61002880
0.95027470 0.61161403
0.95014027 0.61145643
0.95004676 0.61292848
0.94995617 0.61167376
0.94981882 0.61343678
0.94972823 0.61307397
0.94963764 0.61467390
0.94954413 0.61518902
0.94940970 0.61751325
0.94931619 0.61802770
0.94918177 0.61812860
0.94908825 0.62191719
0.94895091 0.62109557
0.94881648 0.62479847
0.94867914 0.62720858
0.94854179 0.62791223
0.94844828 0.63041260
0.94831385 0.63166036
0.94817651 0.63400348
0.94803916 0.63577943
0.94790181 0.63779139
0.94776447 0.63925962
0.94762712 0.64247664
0.94748977 0.64298488
0.94735243 0.64403534
0.94721800 0.64535270
0.94712449 0.64929369
0.94698714 0.65084397
0.94685272 0.65206100
0.94675921 0.65346143
0.94662478 0.65553652
0.94648744 0.65677276
0.94639392 0.65974525
0.94625658 0.66061125
0.94612215 0.66211842
0.94602864 0.66397081
0.94589129 0.66766346
0.94580070 0.66943586
0.94566336 0.67422020
0.94557277 0.67315255
0.94543542 0.67671982
0.94529807 0.67848414
0.94520748 0.67970091
0.94507014 0.68389770
0.94493279 0.68870831
0.94484220 0.68723681
0.94470485 0.69037731
0.94461426 0.69308049
0.94447692 0.69327517
0.94438633 0.69645411
0.94424898 0.69849272
0.94415839 0.70216981
0.94406488 0.70229849
0.94393045 0.70428534
0.94383694 0.70620568
0.94369959 0.70845858
0.94360900 0.71019616
0.94347166 0.71160917
0.94333431 0.71525438
0.94319989 0.71840112
0.94306254 0.72295572
0.94297195 0.72244058
0.94283460 0.72614955
0.94269726 0.72735651
0.94255991 0.72816150
0.94246932 0.73109137
0.94233197 0.73249704
0.94219463 0.73654404
0.94210403 0.73496137
0.94196669 0.73853088
0.94182934 0.73968160
0.94173875 0.74362034
0.94160140 0.74513599
0.94146406 0.74778452
0.94132671 0.74867457
0.94123612 0.75073181
0.94109877 0.75446483
0.94096143 0.75636545
0.94082408 0.75864275
0.94068673 0.76075318
0.94059614 0.76325841
0.94045880 0.76658486
0.94032145 0.76649729
0.94018410 0.76722687
0.94004968 0.77331278
0.93991233 0.77370343
0.93977499 0.77810931
0.93968147 0.78112563
0.93954705 0.78343549
0.93940970 0.78330389
0.93931911 0.78369459
0.93918177 0.78632505
0.93908825 0.78627299
0.93895091 0.78953518
0.93886032 0.79093427
0.93872297 0.79503275
0.93858562 0.79606152
0.93845120 0.79915076
0.93831385 0.80241265
0.93817651 0.80430529
0.93803916 0.80558735
0.93790181 0.80817912
0.93781122 0.80707233
0.93772063 0.81145648
0.93762712 0.81171909
0.93753653 0.81396603
0.93744594 0.81387227
0.93730859 0.81412575
0.93721800 0.81728185
0.93708066 0.82128455
0.93699007 0.82067180
0.93685272 0.82521846
0.93676213 0.82824571
0.93662478 0.82863195
0.93648744 0.82981961
0.93639685 0.83351535
0.93625950 0.83548589
0.93612215 0.83891041
0.93602864 0.83891197
0.93589422 0.84116143
0.93580070 0.84280991
0.93571011 0.84569911
0.93561952 0.84631584
0.93548218 0.84949038
0.93539159 0.85006084
0.93525424 0.85330152
0.93511689 0.85568384
0.93497955 0.85839988
0.93484220 0.86087645
0.93470485 0.86441825
0.93456751 0.86805496
0.93443308 0.87055361
0.93429574 0.87335981
0.93420515 0.87389710
0.93406780 0.87645783
0.93397429 0.88023798
0.93383986 0.87987637
0.93374635 0.88319020
0.93360900 0.88391206
0.93347166 0.88454856
0.93338107 0.88730819
0.93324372 0.89065494
0.93310637 0.89364371
0.93297195 0.89498220
0.93287844 0.89758218
0.93274109 0.90081657
0.93260666 0.90238450
0.93246932 0.90511318
0.93237581 0.90557819
0.93224138 0.90804277
0.93214787 0.91036653
0.93201052 0.91386556
0.93187610 0.91560374
0.93173875 0.91633229
0.93160140 0.91915563
