CargaalMaximum Comp. load;"9,87868";N
Deformación por compresión (Extensión)alMaximum Comp. load;"0,02001";mm/mm
EnergíaalMaximum Comp. load;"0,00317";J
Esfuerzo de compresiónalMaximum Comp. load;"0,98787";MPa
ExtensiónalMaximum Comp. load;"1,00031";mm
Extensión por compresiónalMaximum Comp. load;"1,00031";mm
Número de estadoalMaximum Comp. load;1
Punto de datosalMaximum Comp. load;2403
TiempoalMaximum Comp. load;"120,01200";s
Delta;"180,00000";s
Valor de inicio de detención;"1,00000";mm
Velocidad 1;"0,50000";mm/min
Deformación por compresión (Extensión) distancia inicial;"50,00000";mm

Extensión;Carga;Esfuerzo de compresión;Tiempo;PIP count;Extensión por compresión;Deformación por compresión (Extensión)
(mm);(N);(MPa);(s);;(mm);(mm/mm)
"0,00000";"-0,00275";"-0,00028";"0,00000";"0,00000";"0,00000";"0,00000"
"0,00000";"-0,00292";"-0,00029";"0,05000";"0,00000";"0,00000";"0,00000"
"0,00000";"-0,00328";"-0,00033";"0,10000";"0,00000";"0,00000";"0,00000"
"0,00000";"-0,00213";"-0,00021";"0,15000";"0,00000";"0,00000";"0,00000"
"0,00000";"-0,00166";"-0,00017";"0,20000";"0,00000";"0,00000";"0,00000"
"0,00031";"-0,00363";"-0,00036";"0,25000";"0,00000";"0,00031";"0,00001"
"0,00031";"-0,00271";"-0,00027";"0,30000";"0,00000";"0,00031";"0,00001"
"0,00047";"-0,00280";"-0,00028";"0,35000";"0,00000";"0,00047";"0,00001"
"0,00047";"-0,00090";"-0,00009";"0,40000";"0,00000";"0,00047";"0,00001"
"0,00062";"-0,00175";"-0,00017";"0,45000";"0,00000";"0,00062";"0,00001"
"0,00078";"0,00078";"0,00008";"0,50000";"0,00000";"0,00078";"0,00002"
"0,00109";"0,00318";"0,00032";"0,55000";"0,00000";"0,00109";"0,00002"
"0,00125";"0,00232";"0,00023";"0,60000";"0,00000";"0,00125";"0,00002"
"0,00156";"0,00211";"0,00021";"0,65000";"0,00000";"0,00156";"0,00003"
"0,00187";"0,00469";"0,00047";"0,70000";"0,00000";"0,00187";"0,00004"
"0,00234";"0,00579";"0,00058";"0,75000";"0,00000";"0,00234";"0,00005"
"0,00266";"0,00827";"0,00083";"0,80000";"0,00000";"0,00266";"0,00005"
"0,00328";"0,01127";"0,00113";"0,85000";"0,00000";"0,00328";"0,00007"
"0,00391";"0,01523";"0,00152";"0,90000";"0,00000";"0,00391";"0,00008"
"0,00453";"0,01471";"0,00147";"0,95000";"0,00000";"0,00453";"0,00009"
"0,00531";"0,01720";"0,00172";"1,00000";"0,00000";"0,00531";"0,00011"
"0,00609";"0,02075";"0,00207";"1,05000";"0,00000";"0,00609";"0,00012"
"0,00687";"0,02488";"0,00249";"1,10000";"0,00000";"0,00687";"0,00014"
"0,00766";"0,02692";"0,00269";"1,15000";"0,00000";"0,00766";"0,00015"
"0,00859";"0,02754";"0,00275";"1,20000";"0,00000";"0,00859";"0,00017"
"0,00938";"0,03168";"0,00317";"1,25000";"0,00000";"0,00938";"0,00019"
"0,01000";"0,03364";"0,00336";"1,30000";"0,00000";"0,01000";"0,00020"
"0,01078";"0,03388";"0,00339";"1,35000";"0,00000";"0,01078";"0,00022"
"0,01125";"0,03920";"0,00392";"1,40000";"0,00000";"0,01125";"0,00023"
"0,01188";"0,04069";"0,00407";"1,45000";"0,00000";"0,01188";"0,00024"
"0,01234";"0,04220";"0,00422";"1,50000";"0,00000";"0,01234";"0,00025"
"0,01281";"0,04455";"0,00446";"1,55000";"0,00000";"0,01281";"0,00026"
"0,01312";"0,04697";"0,00470";"1,60000";"0,00000";"0,01312";"0,00026"
"0,01344";"0,04526";"0,00453";"1,65000";"0,00000";"0,01344";"0,00027"
"0,01375";"0,04709";"0,00471";"1,70000";"0,00000";"0,01375";"0,00027"
"0,01422";"0,05123";"0,00512";"1,75000";"0,00000";"0,01422";"0,00028"
"0,01453";"0,04972";"0,00497";"1,80000";"0,00000";"0,01453";"0,00029"
"0,01500";"0,04960";"0,00496";"1,85000";"0,00000";"0,01500";"0,00030"
"0,01547";"0,05325";"0,00533";"1,90000";"0,00000";"0,01547";"0,00031"
"0,01594";"0,05357";"0,00536";"1,95000";"0,00000";"0,01594";"0,00032"
"0,01641";"0,05350";"0,00535";"2,00000";"0,00000";"0,01641";"0,00033"
"0,01688";"0,05613";"0,00561";"2,05000";"0,00000";"0,01688";"0,00034"
"0,01734";"0,05648";"0,00565";"2,10000";"0,00000";"0,01734";"0,00035"
"0,01781";"0,06098";"0,00610";"2,15000";"0,00000";"0,01781";"0,00036"
"0,01828";"0,06178";"0,00618";"2,20000";"0,00000";"0,01828";"0,00037"
"0,01859";"0,06107";"0,00611";"2,25000";"0,00000";"0,01859";"0,00037"
"0,01906";"0,06354";"0,00635";"2,30000";"0,00000";"0,01906";"0,00038"
"0,01938";"0,06600";"0,00660";"2,35000";"0,00000";"0,01938";"0,00039"
"0,01984";"0,06467";"0,00647";"2,40000";"0,00000";"0,01984";"0,00040"
"0,02031";"0,06653";"0,00665";"2,45000";"0,00000";"0,02031";"0,00041"
"0,02063";"0,06804";"0,00680";"2,50000";"0,00000";"0,02063";"0,00041"
"0,02109";"0,07091";"0,00709";"2,55000";"0,00000";"0,02109";"0,00042"
"0,02141";"0,07298";"0,00730";"2,60000";"0,00000";"0,02141";"0,00043"
"0,02188";"0,07166";"0,00717";"2,65000";"0,00000";"0,02188";"0,00044"
"0,02219";"0,07574";"0,00757";"2,70000";"0,00000";"0,02219";"0,00044"
"0,02266";"0,07416";"0,00742";"2,75000";"0,00000";"0,02266";"0,00045"
"0,02313";"0,07509";"0,00751";"2,80000";"0,00000";"0,02313";"0,00046"
"0,02344";"0,07655";"0,00766";"2,85000";"0,00000";"0,02344";"0,00047"
"0,02391";"0,07973";"0,00797";"2,90000";"0,00000";"0,02391";"0,00048"
"0,02422";"0,08315";"0,00831";"2,95000";"0,00000";"0,02422";"0,00048"
"0,02469";"0,08140";"0,00814";"3,00000";"0,00000";"0,02469";"0,00049"
"0,02516";"0,08430";"0,00843";"3,05000";"0,00000";"0,02516";"0,00050"
"0,02562";"0,08413";"0,00841";"3,10000";"0,00000";"0,02562";"0,00051"
"0,02594";"0,08361";"0,00836";"3,15000";"0,00000";"0,02594";"0,00052"
"0,02641";"0,08750";"0,00875";"3,20000";"0,00000";"0,02641";"0,00053"
"0,02688";"0,08986";"0,00899";"3,25000";"0,00000";"0,02688";"0,00054"
"0,02734";"0,08997";"0,00900";"3,30000";"0,00000";"0,02734";"0,00055"
"0,02781";"0,09063";"0,00906";"3,35000";"0,00000";"0,02781";"0,00056"
"0,02828";"0,09188";"0,00919";"3,40000";"0,00000";"0,02828";"0,00057"
"0,02859";"0,09238";"0,00924";"3,45000";"0,00000";"0,02859";"0,00057"
"0,02906";"0,09596";"0,00960";"3,50000";"0,00000";"0,02906";"0,00058"
"0,02953";"0,09594";"0,00959";"3,55000";"0,00000";"0,02953";"0,00059"
"0,02984";"0,09555";"0,00956";"3,60000";"0,00000";"0,02984";"0,00060"
"0,03031";"0,09834";"0,00983";"3,65000";"0,00000";"0,03031";"0,00061"
"0,03078";"0,10104";"0,01010";"3,70000";"0,00000";"0,03078";"0,00062"
"0,03109";"0,10220";"0,01022";"3,75000";"0,00000";"0,03109";"0,00062"
"0,03156";"0,10073";"0,01007";"3,80000";"0,00000";"0,03156";"0,00063"
"0,03203";"0,09932";"0,00993";"3,85000";"0,00000";"0,03203";"0,00064"
"0,03250";"0,10088";"0,01009";"3,90000";"0,00000";"0,03250";"0,00065"
"0,03297";"0,10519";"0,01052";"3,95000";"0,00000";"0,03297";"0,00066"
"0,03344";"0,10576";"0,01058";"4,00000";"0,00000";"0,03344";"0,00067"
"0,03391";"0,10682";"0,01068";"4,05000";"0,00000";"0,03391";"0,00068"
"0,03438";"0,10626";"0,01063";"4,10000";"0,00000";"0,03438";"0,00069"
"0,03484";"0,10934";"0,01093";"4,15000";"0,00000";"0,03484";"0,00070"
"0,03516";"0,11040";"0,01104";"4,20000";"0,00000";"0,03516";"0,00070"
"0,03563";"0,11245";"0,01125";"4,25000";"0,00000";"0,03563";"0,00071"
"0,03594";"0,11394";"0,01139";"4,30000";"0,00000";"0,03594";"0,00072"
"0,03641";"0,11562";"0,01156";"4,35000";"0,00000";"0,03641";"0,00073"
"0,03672";"0,11609";"0,01161";"4,40000";"0,00000";"0,03672";"0,00073"
"0,03703";"0,11603";"0,01160";"4,45000";"0,00000";"0,03703";"0,00074"
"0,03750";"0,11725";"0,01172";"4,50000";"0,00000";"0,03750";"0,00075"
"0,03781";"0,11575";"0,01158";"4,55000";"0,00000";"0,03781";"0,00076"
"0,03828";"0,11843";"0,01184";"4,60000";"0,00000";"0,03828";"0,00077"
"0,03859";"0,11970";"0,01197";"4,65000";"0,00000";"0,03859";"0,00077"
"0,03906";"0,12121";"0,01212";"4,70000";"0,00000";"0,03906";"0,00078"
"0,03937";"0,12170";"0,01217";"4,75000";"0,00000";"0,03937";"0,00079"
