--- DATOS FILTRADOS Y DESPLAZADOS ---
Origen: Specimen_RawData_1_procesado.txt
Eje X: Lambda (Stretch) | Eje Y: Stress (kPa)

Lambda Stress
1.00000000 0.00000000
0.99991509 0.00431319
0.99978636 0.00693313
0.99970145 0.00918112
0.99957272 0.01553323
0.99944399 0.01564352
0.99935908 0.02442197
0.99923035 0.02520913
0.99910161 0.02804441
0.99901671 0.03392767
0.99888797 0.03835195
0.99875924 0.04098130
0.99867433 0.04492379
0.99854560 0.05056962
0.99841687 0.05455779
0.99833196 0.05721287
0.99820323 0.06411809
0.99807450 0.06609511
0.99794577 0.07091820
0.99781703 0.07736794
0.99768830 0.08285810
0.99755957 0.08545526
0.99743084 0.09197716
0.99730485 0.09661359
0.99721720 0.10078455
0.99708847 0.10463914
0.99696247 0.11071559
0.99683374 0.11424174
0.99674883 0.11668871
0.99662010 0.12271659
0.99649137 0.12469770
0.99636264 0.12873901
0.99627773 0.13222923
0.99614900 0.13749644
0.99606135 0.13850373
0.99597644 0.13988582
0.99584771 0.14281033
0.99576280 0.14656920
0.99563407 0.14831584
0.99554916 0.15372915
0.99542043 0.15770779
0.99529170 0.16160057
0.99520679 0.16499076
0.99507806 0.16767367
0.99499315 0.17212006
0.99486442 0.17440496
0.99477951 0.18000423
0.99465078 0.18223505
0.99456587 0.18471806
0.99443714 0.18911352
0.99435223 0.19184785
0.99426458 0.19424591
0.99417967 0.19531261
0.99405094 0.19525653
0.99396603 0.19912938
0.99383730 0.20679128
0.99370857 0.20846305
0.99357984 0.21555693
0.99341002 0.22226849
0.99328129 0.22858637
0.99315256 0.23109447
0.99302383 0.23629492
0.99293892 0.24061060
0.99281019 0.24527059
0.99268145 0.24771560
0.99259655 0.25220260
0.99246781 0.25592009
0.99233908 0.25726863
0.99225417 0.26291661
0.99212544 0.26611292
0.99204053 0.27186169
0.99191180 0.27396276
0.99182689 0.27875218
0.99169816 0.28191128
0.99161052 0.28543928
0.99148452 0.29033965
0.99135579 0.29269390
0.99122706 0.29665565
0.99114215 0.30205793
0.99101342 0.30628157
0.99088469 0.30988379
0.99075595 0.31651245
0.99062722 0.32048584
0.99054231 0.32637142
0.99041358 0.33125817
0.99028485 0.33487855
0.99015612 0.33987807
0.99002739 0.34329556
0.98990139 0.35074137
0.98981375 0.35245944
0.98968502 0.35597606
0.98955628 0.36284329
0.98943029 0.36183148
0.98934264 0.36732962
0.98921665 0.37043431
0.98908792 0.37516206
0.98895919 0.37709262
0.98887154 0.38062744
0.98878663 0.38499136
0.98865790 0.38711874
0.98857299 0.38938823
0.98848808 0.39071730
0.98835935 0.39273309
0.98827444 0.39595329
0.98818953 0.39913411
0.98806080 0.40520064
0.98793207 0.41010710
0.98780334 0.41435573
0.98767461 0.42009471
0.98754588 0.42521437
0.98741714 0.42801789
0.98733224 0.43325431
0.98720350 0.43568911
0.98711860 0.43926513
0.98698986 0.44069566
0.98690496 0.44381383
0.98681731 0.44503031
0.98669132 0.44808979
0.98660367 0.45372995
0.98647494 0.45500873
0.98639003 0.45972144
0.98626130 0.46346352
0.98617639 0.46652429
0.98604766 0.46975053
0.98591892 0.47656867
0.98583402 0.47836247
0.98570528 0.48245724
0.98557655 0.48762795
0.98544782 0.49343160
0.98532183 0.49834815
0.98519310 0.50259646
0.98510545 0.50605180
0.98497946 0.50983575
0.98485072 0.51554074
0.98476308 0.51772422
0.98463708 0.52242657
0.98450835 0.52848516
0.98442070 0.53142156
0.98429471 0.53368600
0.98420706 0.53869515
0.98407833 0.54182170
0.98395234 0.54728950
0.98386469 0.55007395
0.98373870 0.55608248
0.98360997 0.55625435
0.98352232 0.56157574
0.98339359 0.56523199
0.98326760 0.56897644
0.98313886 0.57504028
0.98301013 0.58056496
0.98288140 0.58791560
0.98275267 0.59115455
0.98262394 0.59961877
0.98249520 0.60493055
0.98236647 0.61032341
0.98224048 0.61892687
0.98211175 0.62236777
0.98202410 0.62838506
0.98189811 0.62113111
0.98181046 0.62041922
0.98168447 0.62418310
0.98159682 0.62981996
0.98146809 0.63387408
0.98134210 0.63758259
0.98121336 0.64338125
0.98112572 0.65031300
0.98099698 0.65345514
0.98087099 0.65752090
0.98074226 0.66552383
0.98065735 0.66934510
0.98052862 0.67559116
0.98039989 0.67875127
0.98031224 0.68341577
0.98018625 0.68598796
0.98009860 0.69051003
0.97997261 0.69255151
0.97988496 0.69828747
0.97975623 0.69980413
0.97967132 0.70416321
0.97958641 0.70778296
0.97945768 0.71236423
0.97932895 0.71579216
0.97924404 0.72087190
0.97911531 0.72615449
0.97898658 0.73048751
0.97890167 0.73247893
0.97881676 0.73728020
0.97872911 0.73928851
0.97860038 0.74083878
0.97851547 0.74425137
0.97838674 0.74893932
0.97825801 0.75507416
0.97813202 0.76380595
0.97800328 0.76916735
0.97787455 0.77384724
0.97774582 0.77627763
0.97766091 0.78401797
0.97753218 0.78626156
0.97740345 0.79123966
0.97731854 0.79469733
0.97718981 0.79733733
0.97710490 0.80173845
0.97701725 0.80319395
0.97688852 0.80733421
0.97676253 0.81238087
0.97663380 0.81706945
0.97654615 0.82145712
0.97642016 0.82592821
0.97633251 0.82973033
0.97620378 0.83206169
0.97607778 0.83794145
0.97599014 0.84301986
0.97586414 0.84973831
0.97573541 0.85290013
0.97560668 0.85755506
0.97547795 0.86327817
0.97539304 0.86686920
0.97526431 0.87012672
0.97513558 0.87552822
0.97505067 0.87926779
0.97492194 0.88573510
0.97479320 0.88948009
0.97466447 0.89691707
0.97453574 0.90046882
0.97440701 0.90779990
0.97427828 0.91433817
0.97414955 0.92037474
0.97402355 0.92414846
0.97389482 0.92778009
0.97380991 0.93227726
0.97368118 0.93559666
0.97359353 0.94067082
0.97346754 0.94486698
0.97333881 0.95013942
0.97321008 0.95359819
0.97312243 0.96008682
0.97299644 0.96374003
0.97290879 0.96693160
0.97278280 0.97020378
0.97265406 0.97390175
0.97256642 0.97958803
0.97243769 0.98174430
0.97231169 0.98692173
0.97222405 0.99325296
0.97209531 0.99456704
0.97201041 1.00300246
0.97188167 1.00414402
0.97175568 1.00790806
0.97166803 1.01396707
0.97153930 1.01666152
0.97141331 1.02151707
0.97132566 1.02716212
0.97119693 1.03094178
0.97111202 1.03398605
0.97098329 1.03861917
0.97085456 1.04243238
0.97076965 1.04772638
0.97068474 1.04926913
0.97055601 1.05345600
0.97047110 1.05646934
0.97034237 1.06216285
0.97025746 1.06483456
0.97012873 1.06899688
0.97000000 1.07472286
0.96991509 1.07877442
0.96978636 1.08641987
0.96965763 1.09121609
0.96952889 1.09410688
0.96944399 1.10265730
0.96931525 1.10706492
0.96918652 1.11366243
0.96905779 1.11713075
0.96897288 1.12321814
0.96884415 1.12770663
0.96871542 1.13398826
0.96858669 1.13880553
0.96845795 1.14645667
0.96832922 1.15395446
0.96820323 1.15948290
0.96807450 1.16594090
0.96798685 1.17147824
0.96786086 1.17437406
0.96773213 1.17919642
0.96764448 1.18138272
0.96751849 1.18523997
0.96743084 1.18931684
0.96730485 1.19366619
0.96721720 1.20007074
0.96708847 1.20254761
0.96695973 1.20838582
0.96683374 1.21490089
0.96670501 1.22042789
0.96657628 1.22570247
0.96644755 1.22972982
0.96636264 1.23578715
0.96623391 1.23819108
0.96614900 1.24120565
0.96606135 1.24419137
0.96593262 1.24561689
0.96584771 1.25063609
0.96571898 1.25187218
0.96559025 1.25740157
0.96546425 1.26249455
0.96533552 1.27235609
0.96520679 1.27582320
0.96512188 1.28285099
0.96499315 1.28635867
0.96490550 1.28710384
0.96477951 1.28952628
0.96469186 1.29058274
0.96456313 1.29702002
0.96447822 1.29962617
0.96434949 1.30433119
0.96426458 1.30584362
0.96413585 1.31009045
0.96405094 1.31690362
0.96392221 1.32147753
0.96379348 1.32501453
0.96366475 1.33120601
0.96357984 1.33619796
0.96345111 1.34217973
0.96336620 1.34570423
0.96328129 1.34768867
0.96315256 1.34777784
0.96306765 1.34925038
0.96298000 1.34979081
0.96285401 1.35390582
0.96276636 1.36046079
0.96263763 1.36972413
0.96250890 1.37599603
0.96238291 1.38193937
0.96225417 1.38621522
0.96212544 1.39155334
0.96199671 1.39853173
0.96191180 1.40338492
0.96178307 1.40676422
0.96165434 1.40883009
0.96156943 1.41376032
0.96144070 1.41696782
0.96135579 1.42049073
0.96122706 1.42456581
0.96114215 1.42817359
0.96101342 1.43346354
0.96092577 1.43689114
0.96079978 1.44156052
0.96067105 1.44884478
0.96054231 1.45391589
0.96045467 1.45805233
0.96032867 1.46092045
0.96019994 1.46643339
0.96007121 1.47206830
0.95998630 1.47807111
0.95985757 1.48325538
0.95972884 1.48502008
0.95960011 1.49074041
0.95947138 1.49590050
0.95934264 1.50219304
0.95921391 1.50873112
0.95908518 1.51372361
0.95895919 1.52202101
0.95883045 1.52832860
0.95870172 1.53122087
0.95861681 1.53711769
0.95848808 1.53808759
0.95840044 1.54268322
0.95827444 1.54560590
0.95818680 1.54881873
0.95805806 1.55117149
0.95793207 1.55630597
0.95784442 1.56121705
0.95771569 1.56746310
0.95758970 1.57238156
0.95746097 1.57530850
0.95733224 1.57976752
0.95724733 1.58464486
0.95711860 1.58851338
0.95703095 1.59059604
0.95690496 1.59313191
0.95681731 1.59581247
0.95669132 1.60053320
0.95660367 1.60510815
0.95647494 1.60990109
0.95634894 1.61335079
0.95626130 1.61639050
0.95613256 1.62140703
0.95600383 1.62565008
0.95591892 1.63310998
0.95579019 1.63536872
0.95570528 1.63933314
0.95557655 1.64068912
0.95544782 1.64449285
0.95536291 1.64592559
0.95527800 1.65217975
0.95514927 1.65330376
0.95506436 1.65638039
0.95493563 1.66046744
0.95485072 1.66286421
0.95472199 1.66685611
0.95463708 1.66998431
0.95450835 1.67590759
0.95442070 1.67759960
0.95429471 1.68011294
0.95416598 1.68354979
0.95407833 1.69006617
0.95394960 1.69628818
0.95382361 1.70084517
0.95373596 1.70614999
0.95360997 1.70979303
0.95348124 1.71607444
0.95335250 1.72036687
0.95326486 1.72513653
0.95313886 1.72888993
0.95305122 1.73090267
0.95292522 1.73608579
0.95279649 1.74137832
0.95270884 1.74441441
0.95258011 1.75029334
0.95245412 1.75559797
0.95232539 1.76136188
0.95219666 1.76872017
0.95206792 1.77320219
0.95193919 1.77742457
0.95185428 1.77986799
0.95172555 1.78360886
0.95159682 1.78951418
0.95151191 1.79379522
0.95138318 1.79709570
0.95125445 1.80251685
0.95112572 1.80672782
0.95104081 1.81265290
0.95091208 1.81760837
0.95078334 1.82367740
0.95065461 1.82951730
0.95052588 1.83484635
0.95039989 1.83782049
0.95031224 1.84096680
0.95018625 1.84577595
0.95009860 1.84724218
0.94996987 1.85267319
0.94984114 1.85812041
0.94971514 1.86439768
0.94962750 1.86549289
0.94949877 1.87204828
0.94937277 1.87522394
0.94928512 1.88021348
0.94915639 1.88412652
0.94907148 1.88858724
0.94894275 1.89178186
0.94881676 1.89433928
0.94868803 1.90218267
0.94860038 1.90462101
0.94847165 1.90897688
0.94838674 1.91261707
0.94825801 1.91483788
0.94817310 1.91817063
0.94804437 1.92209932
0.94795946 1.92563758
0.94783073 1.92981979
0.94774582 1.93204336
0.94761709 1.93896935
0.94753218 1.93754143
0.94744453 1.93733393
0.94735963 1.94026877
0.94723089 1.94149113
0.94714598 1.95126206
0.94701725 1.95661044
0.94688852 1.96375546
0.94675979 1.97088552
0.94663380 1.97807416
0.94650506 1.98482696
0.94637633 1.99021221
0.94624760 1.99516883
0.94616269 2.00158715
0.94603396 2.00526695
0.94590523 2.00888429
0.94582032 2.01321518
0.94569159 2.01452842
0.94560668 2.01939884
0.94547795 2.02048494
0.94539030 2.02572963
0.94526431 2.03067188
0.94513558 2.03503360
0.94500684 2.04235552
0.94492194 2.04862205
0.94479320 2.05501479
0.94466447 2.05855377
0.94457956 2.06195804
0.94445083 2.06651534
0.94432210 2.06930246
0.94423719 2.07545578
0.94410846 2.08041484
0.94397973 2.08582133
0.94385100 2.09347863
0.94372227 2.10038008
0.94359353 2.10682353
0.94346480 2.11403527
0.94333607 2.11933261
0.94321008 2.12303920
0.94312243 2.12734212
0.94299370 2.12580991
0.94290879 2.12888081
0.94278006 2.13412781
0.94265133 2.13682623
0.94256642 2.14330090
0.94243769 2.15073024
0.94231169 2.15414611
0.94218296 2.15749865
0.94209531 2.15999655
0.94196658 2.16678716
0.94188167 2.16816977
0.94175294 2.17316401
0.94162695 2.17542088
0.94153930 2.18175202
0.94141057 2.18410777
0.94128184 2.18816293
0.94119693 2.19153150
0.94111202 2.19430018
0.94098329 2.19765552
0.94085456 2.20148114
0.94076965 2.20519630
0.94064092 2.20935758
0.94055601 2.21166174
0.94047110 2.21515612
0.94034237 2.21664780
0.94025746 2.22140936
0.94012873 2.22559387
0.94000000 2.23269456
0.93991235 2.23621151
0.93978636 2.23676859
0.93969871 2.24066413
0.93957272 2.24753532
0.93948507 2.25207406
0.93935634 2.25744206
0.93923035 2.26440292
0.93910161 2.27258414
0.93897288 2.27716657
0.93884415 2.28426840
0.93875924 2.28917291
0.93863051 2.29479870
0.93850178 2.29786587
0.93841687 2.30055356
0.93828814 2.30443198
0.93815941 2.30833282
0.93807450 2.31451835
0.93794577 2.31854227
0.93786086 2.32397751
0.93773213 2.32890751
0.93760339 2.33090287
0.93751575 2.33609660
0.93738975 2.33966296
0.93726102 2.34445946
0.93713229 2.35003026
0.93704738 2.35760264
0.93691865 2.35649106
0.93678992 2.36522022
0.93670501 2.37059149
0.93657628 2.37428193
0.93644755 2.37909504
0.93631881 2.38623849
0.93619008 2.39024781
0.93606135 2.39492240
0.93593262 2.40253897
0.93580663 2.40765614
