Ensayo de Compresion - Specimen_RawData_1
C10: 4.2307, C20: 0.7475, C30: 0.0000 (kPa)
Lambda Stress(kPa)
1.00000000 0.00000000
0.99986404 0.00015714
0.99972588 0.00083272
0.99962500 0.00076980
0.99952193 0.00049482
0.99945175 0.00095815
0.99938377 0.00280359
0.99931579 0.00029840
0.99924781 0.00053394
0.99917763 0.00201785
0.99910965 0.00126402
0.99900658 0.00233937
0.99893860 0.00105186
0.99883553 0.00038460
0.99876754 0.00163246
0.99866447 0.00130269
0.99859649 0.00210300
0.99849342 0.00132601
0.99839035 0.00098852
0.99828728 0.00050990
0.99821930 0.00320037
0.99811623 0.00294121
0.99801316 0.00319186
0.99791009 0.00434425
0.99780702 0.00637457
0.99773904 0.00699351
0.99763596 0.00383349
0.99753289 0.00732129
0.99746491 0.00580804
0.99736184 0.00730436
0.99729386 0.00793864
0.99719079 0.00835313
0.99708772 0.00779597
0.99701974 0.00874342
0.99691667 0.01038762
0.99681360 0.01236046
0.99674561 0.01177218
0.99664254 0.01120709
0.99657456 0.01159005
0.99647149 0.01274773
0.99640351 0.01399179
0.99630044 0.01444443
0.99623246 0.01398156
0.99612939 0.01467677
0.99602632 0.01682763
0.99595833 0.01534731
0.99588816 0.01674704
0.99582018 0.01532171
0.99571711 0.01661897
0.99561404 0.01862791
0.99551316 0.01856344
0.99544298 0.01921137
0.99534211 0.02135250
0.99523904 0.02237479
0.99513596 0.02116040
0.99503289 0.02273764
0.99492982 0.02231311
0.99486184 0.02095913
0.99475877 0.02184808
0.99465570 0.02606647
0.99455263 0.02324247
0.99448465 0.02693723
0.99438158 0.02717667
0.99427851 0.02975217
0.99421053 0.02632824
0.99410746 0.02688796
0.99400439 0.02901755
0.99390132 0.02841316
0.99383333 0.02930932
0.99373026 0.03023552
0.99366228 0.02895290
0.99355921 0.03126870
0.99345614 0.03197586
0.99335307 0.03236283
0.99325000 0.03496634
0.99314912 0.03468184
0.99304605 0.03555222
0.99294298 0.03401142
0.99283991 0.03670730
0.99273684 0.03813887
0.99266886 0.03998496
0.99256579 0.03870167
0.99246272 0.03978168
0.99235965 0.04129816
0.99229167 0.03926799
0.99218860 0.04133782
0.99212061 0.04061775
0.99201754 0.04083179
0.99191447 0.04242542
0.99181140 0.04205471
0.99170833 0.04085024
0.99160526 0.04283297
0.99153728 0.04258070
0.99143421 0.04357349
0.99133114 0.04232257
0.99126316 0.04381523
0.99116009 0.04426241
