CargaalMaximum Comp. load;"231,80367";N
Deformación por compresión (Extensión)alMaximum Comp. load;"0,07371";mm/mm
EnergíaalMaximum Comp. load;"0,14096";J
Esfuerzo de compresiónalMaximum Comp. load;"23,18037";MPa
ExtensiónalMaximum Comp. load;"3,68563";mm
Extensión por compresiónalMaximum Comp. load;"3,68562";mm
Número de estadoalMaximum Comp. load;1
Punto de datosalMaximum Comp. load;8032
TiempoalMaximum Comp. load;"401,55000";s
Delta;;s
Valor de inicio de detención;"10,00000";mm
Velocidad 1;"0,50000";mm/min
Deformación por compresión (Extensión) distancia inicial;"50,00000";mm

Extensión;Carga;Esfuerzo de compresión;Tiempo;PIP count;Extensión por compresión;Deformación por compresión (Extensión)
(mm);(N);(MPa);(s);;(mm);(mm/mm)
"0,33984";"0,50072";"0,05007";"0,00000";"0,00000";"0,33984";"0,00680"
"0,34063";"0,50133";"0,05013";"0,05000";"0,00000";"0,34063";"0,00681"
"0,34125";"0,49886";"0,04989";"0,10000";"0,00000";"0,34125";"0,00683"
"0,34172";"0,50142";"0,05014";"0,15000";"0,00000";"0,34172";"0,00683"
"0,34219";"0,50470";"0,05047";"0,20000";"0,00000";"0,34219";"0,00684"
"0,34250";"0,50117";"0,05012";"0,25000";"0,00000";"0,34250";"0,00685"
"0,34266";"0,50399";"0,05040";"0,30000";"0,00000";"0,34266";"0,00685"
"0,34297";"0,50046";"0,05005";"0,35000";"0,00000";"0,34297";"0,00686"
"0,34312";"0,50203";"0,05020";"0,40000";"0,00000";"0,34312";"0,00686"
"0,34344";"0,50170";"0,05017";"0,45000";"0,00000";"0,34344";"0,00687"
"0,34375";"0,50153";"0,05015";"0,50000";"0,00000";"0,34375";"0,00687"
"0,34422";"0,50317";"0,05032";"0,55000";"0,00000";"0,34422";"0,00688"
"0,34469";"0,50248";"0,05025";"0,60000";"0,00000";"0,34469";"0,00689"
"0,34516";"0,50222";"0,05022";"0,65000";"0,00000";"0,34516";"0,00690"
"0,34563";"0,50321";"0,05032";"0,70000";"0,00000";"0,34563";"0,00691"
"0,34609";"0,50369";"0,05037";"0,75000";"0,00000";"0,34609";"0,00692"
"0,34641";"0,50375";"0,05038";"0,80000";"0,00000";"0,34641";"0,00693"
"0,34687";"0,50662";"0,05066";"0,85000";"0,00000";"0,34687";"0,00694"
"0,34734";"0,50435";"0,05044";"0,90000";"0,00000";"0,34734";"0,00695"
"0,34766";"0,50615";"0,05062";"0,95000";"0,00000";"0,34766";"0,00695"
