Gene name	fold change	p-value
0	2.50023966613628	1.59226896103852E-79
IFITM1	3.91415452223323	1.69882113831885E-74
RPL34	3.18157742572474	5.93789918699747E-63
RPS27A	3.51959147119028	3.89193160213182E-62
IFI27	3.29667722258508	1.83092408658438E-61
IFI27	3.37473809831656	5.11904120478585E-58
CCL2	2.84800917940755	9.32988420814942E-55
NDUFV3	2.8048004236728	3.36866533899907E-45
B2M	2.85977239861315	3.06321627008532E-44
CLEC2B	3.37303415196201	8.96525344495573E-43
RPS3A	2.17336149641434	1.63102152522763E-41
RPS3A	2.15506399598417	1.63102152522763E-41
FTL	3.07430626347361	8.84364964386175E-40
TMEM205	2.18614794969901	4.15674716224314E-33
UBE2T	2.03794808857038	2.08908026237863E-32
RPP21	3.92109058194947	2.0949728751232E-32
PNPT1	5.68241990990184	2.09531185824481E-32
MEA1	2.63873090869252	5.74195889022107E-32
MYL12A	2.04424624728735	7.70402388812136E-32
BBIP1	3.10283493966137	7.70402388812136E-32
METTL5	2.10504976365528	1.12040477402284E-31
BTF3	2.21999768227661	1.23347445354395E-30
EEF1B2	1.83774210017573	2.98122528011179E-30
SNORA31B	-3.11771219002678	3.61017654665058E-30
RPL10A	2.10313352750954	4.41159874600331E-30
SNHG29	2.52226330289295	9.59325447063032E-29
CSNK2B	3.49473669671036	9.59325447063032E-29
PSMD8	2.0721948822043	1.31950272006606E-28
SELENOW	1.59903058980202	2.90528151485205E-28
EEF1B2	1.85931806939558	3.95103136024266E-28
RPS6	2.101586500435	7.62709092928758E-28
PSME1	2.05714605914197	8.29567936395277E-28
ATP5MC3	2.43887729131733	1.21580480737779E-27
PSME1	2.0543694827672	2.20736582211165E-27
COA6	2.05873291307048	3.18014800663155E-27
MIR4435-2HG	2.30287111325615	4.77261101001452E-27
MGST2	2.5815392966796	7.78798578068599E-27
CSTB	2.36578319004213	1.59284484695091E-26
ATP5PO	1.62977272586064	2.15088284887124E-26
RPL7	2.54427017927523	2.19952124632199E-26
RPSA	1.52782703326812	2.77669588905273E-26
NACA	2.17939937060475	3.53329204673077E-26
APRT	1.56491465691845	5.88698223787521E-26
REEP5	2.12866326104302	9.80857107700522E-26
B2M	1.24762041221632	2.20539183007018E-25
IFITM2	2.48370103872171	2.22011209464712E-25
H2AZ1	1.84405254935933	2.62314490950014E-25
RPL9	1.97981607076914	2.6947092906307E-25
RPL8	1.53712759910594	2.81021644839543E-25
CSNK2B	3.43322954313785	3.52102616563816E-25
SAP18	1.98953731537978	5.37661185185428E-25
TSTD1	2.19325784445163	6.4946227805154E-25
MRPL14	2.4347181287852	1.35795906002733E-24
RPS4X	2.14268023344966	1.51301690748706E-24
CSNK2B	3.58731589647306	1.70503460886948E-24
RPL6	1.63117706131339	1.7365072343008E-24
AK5	4.479996482514	1.17411263043133E-23
ICAM2	1.42278171352791	1.18685287342535E-23
TPRKB	2.08869570525735	1.42407745837281E-23
PSMA2	2.49844987763849	1.7571166959971E-23
NHP2	2.97135165838234	2.79972672090665E-23
RPL18AP3	2.16948652508506	3.48663529442525E-23
RGS5	-3.78957076520185	6.36946532729223E-23
RPL12	1.85597971770298	7.22662429144293E-23
CASP4LP	3.4023443643178	1.27488194726515E-22
SPCS3	1.92130607701329	1.29339524757515E-22
CMC1	2.14407667503541	1.41346168323658E-22
BANF1	1.73280696474392	3.86407879667249E-22
CHMP2A	1.5498727693482	4.17823230228082E-22
0	6.43945979485636	5.2298618720187E-22
H19	7.06569366676732	8.76377822699721E-22
ENY2	2.00655506212807	1.3320169104024E-21
TPRKB	2.09723434026233	2.72516873994317E-21
RPS5	1.92249478052896	4.76141593162966E-21
ELP5	2.28945858874531	4.76141593162966E-21
S100A10	1.97918873695652	4.76141593162966E-21
BUD31	1.74087161993689	5.02916227387423E-21
0	1.66988585731991	1.0892961955238E-20
CHCHD2	2.07197540937827	1.3290484601157E-20
SMIM7	1.98529786743844	1.86277718419823E-20
FAM229B	3.13225542240942	4.18036182692268E-20
NNMT	1.76573069979023	4.45026352039733E-20
VAMP8	2.35822419261573	6.24612800979788E-20
PTRH2	2.62055231422473	6.77143642887275E-20
CD44	2.42217904206094	6.79717363020011E-20
NDUFS8	1.63382477454584	9.00262956219044E-20
VPS29	2.23667040847752	9.06123147493781E-20
NME2	1.49094228947459	1.16596412064898E-19
AK2	1.62806211700714	1.33689243078172E-19
POLR1D	1.7183120015236	1.51703936157431E-19
SSR4	2.06029157799393	1.89912582124721E-19
BST2	2.48832411226603	2.30390323777763E-19
NDUFS4	2.45865435713613	2.34198078004794E-19
COA4	2.3621932565954	2.62054124839893E-19
ACOT13	2.55381790268882	3.37487371944186E-19
DYNLT1	2.29061216923291	3.70186909858329E-19
RPS8	1.76531635123735	3.70535042731235E-19
RPL14	2.33087736482291	3.85063552694948E-19
PPIB	2.54050694853067	4.60034491436425E-19
POMP	2.23664979678194	4.77027198008481E-19
RPS3	1.50516721576734	4.97492651097818E-19
MRPL17	2.1936534295847	6.10999262980173E-19
IFITM3	2.61900062279758	7.70349731118975E-19
C12orf57	1.67316580064503	9.62713629948864E-19
PSMA7	1.37266949713728	9.63601511890435E-19
PSMB2	1.57093917362213	1.30083362788176E-18
0	1.90166978033984	2.09593661963283E-18
CLU	-1.82021251491413	2.43677358235944E-18
TMEM88	2.82019257628741	2.6701551278713E-18
RNY3	-1.8538308248514	3.2968211965244E-18
OSTC	1.55506938864997	3.45526563151434E-18
PSMB1	1.74151807516581	4.28411648428124E-18
MRPL22	2.35584157471974	4.28411648428124E-18
NAA10	1.61369213498779	4.68318987559849E-18
NDUFB9	2.04930733556841	6.4739485894795E-18
NDUFAF4	2.79955731311731	1.1909596057492E-17
Y_RNA	-1.82383107478424	1.62952252387441E-17
MRPL27	1.58110819890709	1.96036011024835E-17
NDUFB10	1.5178478091862	2.08526246052687E-17
RNY3P1	-1.84955197960066	2.16788405558333E-17
FAM162A	2.64820413382822	2.59122766335629E-17
PTMA	1.2534145158107	3.03847443838583E-17
CSNK2B	3.25171515163132	3.03847443838583E-17
RPS4Y1	-9.5114727232976	3.29573988098452E-17
SRA1	2.80428706046099	4.101535021978E-17
FXYD5	1.19122470530655	4.25853998240931E-17
NDUFB10	1.54818016154518	4.25853998240931E-17
DBI	2.25633764992119	4.3181988967484E-17
CLIC1	1.76923119419933	5.28788193450417E-17
SNU13	1.97139766344989	5.33269230522176E-17
DNAJC15	2.29236334224356	6.05927467659226E-17
DNAJC19	2.00416249353727	6.75842634384729E-17
RBM8A	1.95829220687295	6.97201570709376E-17
ETFB	2.02000957080631	8.31911907866617E-17
TXN	1.77365774363414	8.67506555553047E-17
RWDD3	3.0395675788896	9.11012996108268E-17
RPS9	1.59727252730266	1.00193867976502E-16
CUTA	1.91230329279957	1.09231691231294E-16
LETM2	2.90631032955312	1.25785834349363E-16
ELP5	2.27959408101926	1.50794692508494E-16
LAMTOR5	2.31222315958745	1.54320924567759E-16
RNY1	-1.8902835986161	1.57417518888663E-16
RPL17	2.02090653357785	1.57417518888663E-16
NUDT5	2.63780037323682	1.64535716524576E-16
TPT1	0.744533146629649	1.76235617107868E-16
RPS7	2.11931867378018	2.16143659481079E-16
Y_RNA	-1.82679140218056	2.28893021869399E-16
CHCHD1	1.81899198869343	2.46135692938112E-16
Y_RNA	-1.81003351840191	2.46135692938112E-16
SF3B6	2.65010865151523	2.74371984277013E-16
BCYRN1	1.10885053812588	2.74371984277013E-16
PPIA	2.14287281290945	2.77237778465365E-16
0	2.1134204454907	2.84024108201685E-16
SSBP1	2.06226488974872	2.86342296009471E-16
RPL13A	1.83490760175127	3.15096170714856E-16
EIF3K	1.59532590961765	3.28535264638888E-16
