Gene_ID,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENSG00000000003,24,11,21,25,25,33,17,21,24,30,29,31,8,36,17
ENSG00000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000000419,47,58,33,134,67,164,43,88,159,119,95,112,71,115,134
ENSG00000000457,7,0,3,33,12,16,2,12,15,24,12,24,1,18,9
ENSG00000000460,4,0,30,4,2,20,10,20,15,2,16,3,0,31,7
ENSG00000000938,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000000971,41,15,43,52,42,30,3,22,86,63,80,14,0,47,18
ENSG00000001036,23,13,9,21,21,20,10,28,44,38,11,22,5,21,16
ENSG00000001084,17,0,1,5,1,1,0,0,4,8,1,0,0,4,9
ENSG00000001167,7,3,1,4,9,4,5,8,10,7,5,0,0,3,8
ENSG00000001460,2,0,5,17,1,4,0,13,27,23,18,4,0,4,8
ENSG00000001461,1,8,0,7,3,9,0,4,11,4,6,6,1,3,2
ENSG00000001497,34,25,9,42,58,14,16,39,97,142,30,66,2,27,24
ENSG00000001561,0,2,1,1,0,0,0,3,1,0,5,2,0,3,3
ENSG00000001617,24,6,12,45,45,33,15,36,33,18,51,18,1,18,12
ENSG00000001629,7,7,2,10,3,3,2,10,15,10,3,1,0,4,7
ENSG00000001630,55,58,54,79,69,66,69,49,115,148,79,56,5,65,58
ENSG00000001631,47,3,10,5,14,14,3,1,1,19,0,17,0,4,0
ENSG00000002016,0,5,0,0,0,13,0,1,0,0,0,0,0,0,1
ENSG00000002330,20,20,17,30,18,70,30,34,57,76,48,56,0,48,42
ENSG00000002549,64,98,62,189,201,150,134,227,335,402,292,337,64,393,198
ENSG00000002586,376,317,282,768,530,1332,381,1088,1589,1457,1357,1033,261,1217,920
ENSG00000002587,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1
ENSG00000002822,56,18,10,33,22,28,23,1,22,42,2,19,7,12,0
ENSG00000002834,115,80,57,131,93,93,95,123,173,231,176,129,17,122,52
ENSG00000002919,7,8,10,14,4,8,0,6,8,14,11,5,1,14,12
ENSG00000003056,89,50,35,67,68,57,42,37,105,124,52,63,1,34,32
ENSG00000003096,24,12,0,18,0,1,0,12,12,12,0,0,0,0,12
ENSG00000003137,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000003147,10,15,1,12,12,28,19,8,42,77,19,4,0,0,13
ENSG00000003249,66,13,30,18,24,30,12,36,12,60,61,72,12,24,24
ENSG00000003393,34,11,17,48,4,54,9,20,23,23,10,3,0,21,22
ENSG00000003400,30,26,38,43,29,49,13,37,47,32,58,54,12,36,55
ENSG00000003402,46,45,52,102,92,222,63,159,194,224,193,180,29,199,150
ENSG00000003436,175,103,93,108,148,99,127,206,296,261,266,258,51,250,184
ENSG00000003509,4,1,13,12,10,1,20,1,12,10,12,14,0,1,0
