GeneName	FoldChange	Pvalue
IFITM1	1.79921288268682	4.67091330663581E-48
IFI27	1.12518206561215	1.80271456319289E-28
IFI27	1.11003595444155	4.76161125258392E-28
NQO1	-1.06170860691982	1.47096530570898E-17
FTH1	-1.21931010455075	9.6023686895598E-15
MT1E	0.921051129846065	1.28588612482284E-13
CCL2	1.00077450943538	2.3244742276699E-12
MX1	1.71706497460931	3.04270597056288E-12
MT2A	0.583534862605543	2.96224388424072E-11
TXNRD1	-0.860330654810026	9.77654643324515E-10
PCLAF	0.575278345468762	7.06611556623986E-8
THBS1	-0.633256712712308	7.33533108084394E-8
PSME2	0.745481074618171	9.00737927753765E-8
PSME2	0.754005053246372	1.17750216852009E-7
POMP	0.574797851100325	1.17750216852009E-7
IFITM3	0.541078353639383	1.45032641822158E-7
SELENOW	0.64123035510921	1.45032641822158E-7
NPC2	0.551326596720587	3.85166986204668E-7
IL32	0.614887689141723	9.74370768482503E-7
FTLP3	-1.12253647366345	0.00000116120825694702
KGD4	0.598616051542752	0.00000127984943825153
CD55	1.46050135090109	0.00000181096419886334
RNF7	0.584633484084781	0.0000027959984692367
FN1	-0.881516812816461	0.00000685749424800524
IQGAP1	0.690973594036334	0.0000133151580084064
IFTAP	0.687058101715104	0.000013930194570924
FABP5	0.613752163319347	0.0000140795505543598
KRT8	0.628417554411122	0.0000185740958945044
PTTG1	0.589566396932858	0.0000202291265775915
KGD4	0.56928321315457	0.0000339563566402136
FKBP2	0.673429741498348	0.0000380164052363219
EXD2	-6.86145119000966	0.0000404748320745367
RPS6	0.476547580497972	0.0000413811779719501
NDRG4	-7.23555742351236	0.0000500256726139906
B2M	0.506556517292873	0.0000553173099087295
RPS10	0.344257017088845	0.000056694440698077
SNU13	0.30819938333287	0.0000703989416667424
H19	-1.0669822475154	0.000102711047099444
HSPA8	-0.395756803781637	0.000194912443219568
EFEMP1	-0.561037591782117	0.000201373793170115
C1orf54	0.57985108228201	0.000201373793170115
VSTM1	2.63380333919247	0.000205110098101454
B2M	0.752794117678128	0.000231660436338364
MTCO1P40	-0.826404554046185	0.000244692746623043
UBA52	0.298487646330113	0.000255549417496962
RPS3	0.328662702034229	0.000258379219582912
HSPE1	0.402274015691734	0.000276041501334602
CKLF	0.493127388429851	0.000296129263799697
ZNF24TR	0.659611008688202	0.000296461824337687
RAB28	-6.37992568212145	0.000309901077609392
IGF2	-1.38125790407817	0.000313248265010768
RPL24	0.36490659302164	0.000315959578514082
COX17	0.431961293506877	0.000341599456806608
TMSB4X	0.538107289302449	0.000373291775815886
TOMM5	0.36861509157157	0.000395337837142058
PSME1	0.625614752418848	0.000406106993708181
HMOX1	-2.60527762927958	0.000410070781157454
TXNDC5	-0.446371426180876	0.000494085714897531
UBE2T	0.614488082800065	0.000516543137555287
ZFYVE16	-6.34599095009171	0.000582722965209151
HSBP1	0.381650051812855	0.000632422003403589
PFDN4	0.440197984554018	0.000658858851670482
PSME1	0.605853283219703	0.000743384959162054
CFDP1	0.788095692813391	0.000743384959162054
CARD16	0.625482068820174	0.000743384959162054
MFAP2	-1.46221209164327	0.000853704557768404
RPL26L1	0.561387061397721	0.000866781654888502
CXCR4	1.04026246314653	0.000951572104883821
MCFD2	0.629569085255795	0.000960565408936056
NDUFB6	0.416892369338258	0.00101950288572964
TPRKB	0.544501066096187	0.00106552695086529
TPRKB	0.543487156400266	0.00106552695086529
CKS1B	0.615396100715719	0.00113205570096288
IFI6	1.57523985456567	0.0011751317815758
ATP5MC1	0.383160037042742	0.00117995559510862
NME1	0.521394395253829	0.00118233971371877
DNAJC13	-4.21553403425544	0.00125768624665078
PIN4	0.407679994967673	0.00126775185746877
FAT4	-6.34789423340333	0.00126775185746877
CENPW	0.439732348824105	0.00126775185746877
KMT2C	-5.58173198451134	0.00137692401491317
PPP1R13L	-6.11904099430773	0.00137692401491317
RPL21	0.413155715009651	0.00145760173780984
MVK	-1.90362226194377	0.00145857655739167
H19	-0.994318138782322	0.00145857655739167
PSMB6	0.458530948766121	0.00145857655739167
CASP4LP	0.918620682253643	0.00145857655739167
LSM5	0.432966019687127	0.00155557378599607
RPS23	0.314796084399758	0.00155737265226644
DYNLT1	0.467680184752055	0.00159167487971188
RPL26	0.37001602675539	0.00159167487971188
ENY2	0.443586233867185	0.00159243426646374
H2AZ1	0.586637602174456	0.00162476392860842
PPIA	0.431529349033033	0.00167480963605365
SNRPE	0.356210112811262	0.00172045394847462
RPL19	0.390298070474863	0.00189024627593996
RPS11	0.349479971359244	0.00189024627593996
RAD51C	0.636636915486571	0.00197802534857033
GFOD3P	-4.64362731713785	0.00197802534857033
DNAJA4	-4.91353851201399	0.00213012472109588
UQCRB	0.35566952335185	0.00213012472109588
COX8A	0.313772354550059	0.00222609167050281
CAMK2D	-2.86904328875814	0.00227305668743433
CDC42	0.403300199022999	0.00230774287606727
CCN2	-0.68626676871629	0.00230774287606727
UQCRH	0.303017817701839	0.00233090558157044
LIMCH1	-2.32807632274611	0.00260669679705963
NECAB3	-4.49113006805282	0.00260669679705963
RPL27A	0.246746625827315	0.00267331436798563
RNASEK	0.323323500379772	0.00296568342744982
ABI3BP	-2.61740214097003	0.00301982788693066
RHOC	0.467165345834625	0.00304867108870634
RPL22L1	0.334510196778149	0.00304867108870634
ELP5	0.450721809804211	0.00304867108870634
NDUFA12	0.320328781498565	0.00304867108870634
HLA-A	0.5474722661653	0.00304867108870634
NDUFB10	0.415093170340104	0.00304911802227516
MT1X	0.68080290105923	0.00306523538387342
AP2A2	-1.82135812770706	0.00314514348384419
NDUFB10	0.417529469718517	0.00341464897233208
ABCC3	-3.38477529241422	0.00359509206362962
MRPL21	0.427111130357634	0.00359861971727025
ITSN2	-2.66055023450193	0.00364124913446431
RPS25	0.333299969491108	0.00364124913446431
RPS27A	0.321342970746471	0.00365412951877759
RPS25	0.33321925774527	0.00367937011098942
PLEKHH3	-6.1858776113368	0.00375640936781233
SAAL1	-3.72434517151019	0.00375640936781233
FLYWCH1	-3.49363817137021	0.00386639941131861
RBX1	0.343294493593566	0.00386639941131861
RPL22	0.293114488458368	0.00386639941131861
DGKZ	-3.50348963092117	0.00386639941131861
RPS13	0.302966114058206	0.00390688250251511
FAM162A	0.594381046209254	0.00390688250251511
MRPL22	0.442715446553658	0.00397803648974566
FTL	-0.478669011969567	0.0040452051025095
PRSS2	3.95519287185381	0.00422098952777707
TBXAS1	-2.76350113763676	0.00425158768149095
ZNF419	-3.72149061298508	0.00425158768149095
HLA-A	0.587265158619415	0.00425158768149095
POLR2I	0.368958811304015	0.00450197230855356
PTGR1	-1.09324048982022	0.00461255642826862
RPS16	0.29766648503549	0.00462125031975311
RPL12	0.316468501922508	0.00462125031975311
SNRPD1	0.28170684845259	0.00483580761912494
MSMP	1.10120779660981	0.00497797556356645
RPL27	0.279963120879737	0.00502834960145027
HIKESHI	0.471781479101756	0.00521885728395565
RPL14	0.397666692654658	0.00533081545713846
SAT1	0.60714444743782	0.00535623897919585
RPS19	0.333852523320655	0.00541538744266591
PLAAT4	2.11722635164039	0.00541538744266591
TMEM107	-0.805488267677447	0.00541538744266591
NOP10	0.355703762078271	0.00584867021819003
PHB1	0.554505271539352	0.00585936697573156
SPCS1	0.405419654373121	0.00586252398318769
RPL29	0.370583996043734	0.00605855826812239
OSGIN2	-2.26997663446282	0.00605855826812239
NACA	0.405227587340736	0.00605855826812239
RPL10A	0.385893714058318	0.00605855826812239
CSNK2B	0.58033530129977	0.00624671087164652
PLPP2	-5.17988050234696	0.00627058751688897
NOP10	0.354621796509546	0.00627694567869391
ELP5	0.452468422471053	0.00627694567869391
RABAC1	-0.732895849169826	0.00644026378439366
APOA1	-5.81640113202292	0.00652712387931103
RPL11	0.309002956764898	0.00662698677982723
BLOC1S5-TXNDC5	-0.440455684204586	0.00667797305184783
C11orf98	0.449070347748835	0.00701207911680392
UQCR10	0.308327232752744	0.00727084974169636
PSMB3	0.452200124961351	0.00727084974169636
TINAGL1	0.540466557773334	0.00735082025161232
RPAIN	0.479025664561348	0.00737560345257776
ATP5MC3	0.39349653389235	0.007475253147617
TJAP1	-3.1980020184193	0.00754712423106464
PSMB3	0.452565354954706	0.0076082262104538
RPS27L	0.283424162644565	0.00761672096558476
SNRPD3	0.46065074257193	0.00803870904951636
TRMT112	0.333929611835128	0.00803870904951636
SMIM26	0.427993172660697	0.00803870904951636
SVIP	0.438378056268631	0.00844384728123346
PNPT1	0.650575051149504	0.00854840518327576
EIF4G1	-0.979546181505912	0.00862888065114477
MRPL17	0.601636496211384	0.00882861890784333
SAP18	0.384051614786298	0.0089087740332682
LMNA	-0.752133630200904	0.00918308645703178
CSNK2B	0.567904090322843	0.00918308645703178
NDUFS5	0.304344457051565	0.00972266818603862
RPL23A	0.333024030032803	0.00977488885355303
RPS20	0.300460840371056	0.00978394318188066
RPL18A	0.357027240243873	0.0098391289556689
SYNM	-4.20421651331859	0.00996655383749352
TMSB10	0.30480522492924	0.00999086679726361
CSNK2B	0.585147847810102	0.00999086679726361
PXK	2.54365400870201	0.0101738078443763
SKA2	0.398747870153047	0.0102095032776845
RPL8	0.348662931248784	0.0102778783592163
LNCEGFL7OS	0.87234399717229	0.0102778783592163
MRPL32	0.644388612055845	0.0104197475653342
PNKD	0.387655335857815	0.0104197475653342
FANCA	-3.8181763099971	0.0104197475653342
COX4I1	0.340065913425152	0.0104375725972135
RPS14	0.320316149985423	0.0107074846273855
RSAD2	6.57032563429451	0.011067600290998
RPS5	0.383265355619889	0.0111093212839981
TRAPPC2L	0.31976185145883	0.0111997265750578
LSM3	0.394975320299105	0.0111997265750578
RPL9	0.377513880679661	0.011265571993536
NME1-NME2	0.265705721353424	0.0113153343904257
NAA38	0.394711273076718	0.0113153343904257
AK2	0.3989959921823	0.0116134998904131
H2AC18	0.652712495537428	0.0116134998904131
H2AC19	0.652712495537428	0.0116134998904131
C2CD5	-5.70850183829381	0.0117606496876657
RNASEK-C17orf49	0.328514268909778	0.0117606496876657
RPS12	0.281298089521504	0.0118784721376942
TSPO	-0.916336914026093	0.01210298104675
SNRPF	0.336079584018178	0.0123516778445451
SNRPG	0.34202382819681	0.0123516778445451
RPL10	0.402303669623901	0.0124522767372435
RPL35	0.292943004712217	0.0124683242437295
