gene_id	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.25288	ENST00000000233.10	47	29	30	52	35	76	21	61	86	87	64	55	13	54	60
MSTRG.5835	ENST00000000412.8	26	15	10	16	19	18	12	11	28	31	17	18	0	9	10
MSTRG.4809	ENST00000000442.11	8	8	4	12	8	2	3	13	13	22	7	11	2	11	6
MSTRG.5702	ENST00000001008.6	40	33	16	32	52	21	30	21	32	51	22	38	2	16	21
MSTRG.15166	ENST00000002125.9	1	0	4	4	3	0	5	0	4	3	4	4	0	0	0
MSTRG.24029	ENST00000002165.11	23	11	8	18	20	19	9	26	42	32	9	16	4	19	11
MSTRG.11167	ENST00000002501.11	11	2	5	3	4	5	2	6	2	10	11	12	2	4	4
MSTRG.19032	ENST00000002829.8	8	2	4	15	15	11	5	12	11	6	17	6	0	6	4
MSTRG.24941	ENST00000003100.13	46	46	41	71	63	55	59	43	105	102	65	42	4	57	52
MSTRG.5438	ENST00000003302.8	3	2	1	0	5	2	5	3	7	4	5	3	1	4	2
MSTRG.615	ENST00000003583.12	0	0	0	2	0	1	0	3	5	0	3	0	0	0	0
MSTRG.616	ENST00000003912.7	0	2	0	6	2	4	0	4	10	3	2	5	0	0	2
MSTRG.25672	ENST00000004531.14	0	0	0	2	0	6	2	0	0	2	0	0	0	3	0
MSTRG.4177	ENST00000005082.13	2	1	2	7	2	9	5	11	6	3	9	14	3	17	7
MSTRG.24614	ENST00000005257.7	142	110	93	183	153	202	135	210	316	303	240	221	46	288	228
MSTRG.25170	ENST00000005259.9	5	4	5	25	2	46	5	20	16	18	20	21	6	22	13
MSTRG.4704	ENST00000005286.8	5	0	0	8	10	2	2	9	6	10	13	3	2	9	7
MSTRG.24536	ENST00000005374.10	9	8	5	18	14	13	14	8	15	12	20	14	2	5	16
MSTRG.6168	ENST00000005386.8	0	5	2	4	1	5	3	3	10	2	5	5	0	9	4
MSTRG.24489	ENST00000006015.4	6	0	2	3	9	1	2	5	5	10	6	2	0	3	0
MSTRG.14403	ENST00000006275.8	5	2	5	3	5	6	6	7	23	12	8	11	4	12	9
MSTRG.12161	ENST00000006658.11	5	2	3	11	2	7	3	4	12	5	3	5	0	0	2
MSTRG.24832	ENST00000006777.11	1	8	3	4	0	15	2	10	8	15	9	11	1	10	9
MSTRG.9954	ENST00000007264.7	13	7	2	13	5	9	7	6	8	16	8	4	0	2	6
MSTRG.9974	ENST00000007390.3	19	14	9	32	40	17	17	12	42	17	24	12	0	13	8
MSTRG.12052	ENST00000007414.8	0	0	0	2	0	7	0	0	3	2	0	0	0	0	0
MSTRG.10277	ENST00000007516.8	58	126	96	375	236	821	168	693	779	887	805	479	88	496	611
MSTRG.12137	ENST00000007708.7	0	0	0	0	0	1	3	4	0	3	8	2	0	4	1
MSTRG.10079	ENST00000008180.13	10	9	5	32	18	42	15	23	24	29	28	43	5	29	34
MSTRG.24605	ENST00000009041.12	19	17	9	26	12	23	13	17	27	34	23	17	4	18	16
MSTRG.5754	ENST00000009180.10	99	55	63	240	107	244	76	125	149	138	136	101	30	121	119
MSTRG.22618	ENST00000009530.13	0	0	0	0	2	2	0	4	6	0	3	4	0	0	2
MSTRG.26054	ENST00000009589.8	2201	2764	2219	9566	5590	14280	3957	10650	13960	15489	14017	13872	2617	13602	10596
MSTRG.5734	ENST00000010132.6	7	9	8	37	18	59	13	46	53	64	56	51	12	54	33
MSTRG.695	ENST00000010299.10	2	0	0	0	0	2	4	2	2	4	0	0	0	0	0
