gene_id	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
ENSG00000000005.6	TNMD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000000938.13	FGR	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000000971.17	CFH	41	15	43	52	42	30	3	22	86	63	80	14	0	47	18
ENSG00000002586.20	CD99	376	317	282	768	530	1332	381	1088	1589	1457	1357	1033	261	1217	920
ENSG00000002587.10	HS3ST1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1
ENSG00000003096.15	KLHL13	24	12	0	18	0	1	0	12	12	12	0	0	0	0	12
ENSG00000003137.9	CYP26B1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000004660.15	CAMKK1	0	4	0	0	8	0	0	2	0	16	0	0	0	0	0
ENSG00000004776.13	HSPB6	6	4	1	1	1	1	1	3	6	2	0	1	0	0	0
ENSG00000004777.19	ARHGAP33	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000004838.14	ZMYND10	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0
ENSG00000004948.16	CALCR	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700.15	IBTK	21	13	20	12	26	1	16	30	34	7	13	13	4	12	1
ENSG00000005981.13	ASB4	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000006071.16	ABCC8	1	0	0	0	1	0	4	0	0	0	2	0	0	1	1
ENSG00000006210.7	CX3CL1	0	0	0	0	0	0	1	0	0	0	0	9	0	1	0
ENSG00000006459.11	KDM7A	0	0	1	1	0	6	0	0	4	0	1	0	0	0	0
ENSG00000006468.15	ETV1	2	0	0	0	0	11	1	9	5	0	1	4	0	0	6
ENSG00000006611.17	USH1C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006638.13	TBXA2R	0	4	0	0	6	6	0	0	0	0	1	4	0	1	0
ENSG00000006659.13	LGALS14	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ENSG00000006747.15	SCIN	0	0	0	0	1	0	0	1	4	0	1	2	0	1	1
ENSG00000006831.10	ADIPOR2	7	6	6	13	10	8	2	8	12	10	11	9	3	18	8
ENSG00000007062.12	PROM1	0	0	0	0	0	0	0	0	12	12	0	1	0	0	0
ENSG00000007129.18	CEACAM21	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000007866.22	TEAD3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000007944.15	MYLIP	0	0	0	12	1	10	1	4	10	4	6	1	1	10	6
ENSG00000007952.18	NOX1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ENSG00000007968.7	E2F2	4	0	1	1	1	0	0	0	0	3	1	0	0	0	1
