"Log2MeanExon"	"Log2FC"	"pvalue"	"padj"
"MSTRG.22617:ENST00000519690.1"	12.0223441286646	-0.318937970434432	4.48752626230864e-206	3.45817748826028e-201
"MSTRG.23649:ENST00000414002.6"	10.1988310020778	-0.531706171489803	1.11498589695275e-88	4.29615215954863e-84
"MSTRG.19991:ENST00000494771.5"	10.3821997719137	-0.313362199257325	2.69582495325608e-58	6.92485541826068e-54
"MSTRG.23649:ENST00000668512.1"	7.55834641943967	0.903208058998996	5.50896980877665e-53	1.06133057850987e-48
"MSTRG.23649:ENST00000665270.1"	6.60941589452104	1.59410195753627	1.58546510097998e-40	2.44358223223439e-36
"MSTRG.21067:ENST00000654083.2"	8.26767318062177	0.903716934385868	1.52623661328438e-38	1.96024743154869e-34
"MSTRG.7240:MSTRG.7240.12"	5.0142031883914	5.50542041698727	2.93029728509944e-36	3.22592241977619e-32
"MSTRG.23649:ENST00000654795.1"	10.5560641093449	-0.240685556931645	2.7349062658431e-35	2.63446683323001e-31
"MSTRG.21067:ENST00000689845.1"	9.77440255305135	-0.245583436868445	4.16269137018207e-35	3.56428135965523e-31
"MSTRG.21067:ENST00000602520.7"	9.82842474590628	-0.238716561843887	2.33187654411755e-34	1.67506533405415e-30
"MSTRG.11330:ENST00000570898.1"	6.56390741153018	1.15878444248042	2.391025236121e-34	1.67506533405415e-30
"MSTRG.96:ENST00000425575.2"	6.01426219630557	0.783323530655601	3.5959368075577e-34	2.30925068553343e-30
"MSTRG.1849:ENST00000369098.3"	5.88392036981122	-1.20249633770513	6.37934670169799e-34	3.78157858097116e-30
"MSTRG.23649:ENST00000670094.1"	6.01745058153478	1.6920328489711	1.53743276514749e-33	8.46268883912827e-30
"MSTRG.23649:ENST00000669413.1"	4.65653367014978	2.24808585488259	6.72418190179123e-32	3.45452603810557e-28
"MSTRG.8670:ENST00000553666.1"	8.9463946528514	-0.475532418939574	3.27160737347174e-31	1.57572879634049e-27
"ENSG00000224398.7:ENST00000422567.6"	6.32541222609879	2.76533559341319	4.30294442004758e-31	1.95055001704533e-27
"MSTRG.23649:ENST00000655116.1"	7.10094296984952	1.85357242162173	6.35816735703075e-31	2.7220727381528e-27
"MSTRG.8670:ENST00000555441.5"	8.96650675483705	-0.457328182736767	1.68973957229117e-29	6.8534058378896e-26
"MSTRG.23649:ENST00000663448.1"	5.62215905152575	2.59435074269783	2.32922561772986e-29	8.97473922767491e-26
"ENSG00000224398.7:ENST00000480866.1"	3.33545140991874	-1.39153074933893	4.2790833924619e-29	1.57026059233285e-25
"MSTRG.23649:ENST00000667637.1"	4.17862113799631	2.55726839740699	3.68556532613131e-26	1.23485667461883e-22
"MSTRG.7470:ENST00000517242.1"	7.97460772141168	-3.44647558590152	3.57988152208487e-26	1.23485667461883e-22
"MSTRG.21067:ENST00000652022.2"	7.59695212656915	1.3803232096967	5.24095041279127e-26	1.6828255029605e-22
"MSTRG.23649:ENST00000667421.1"	5.93051902401128	2.46538825068555	7.53505001660827e-25	2.32266409751947e-21
"MSTRG.7135:MSTRG.7135.2"	3.29230679726747	3.3004421699475	9.78775229716449e-25	2.90101449047727e-21
"ENSG00000206406.9:ENST00000464220.1"	3.29482553163044	-1.85544335815682	2.49313667065457e-24	7.11578141162899e-21
"MSTRG.27853:ENST00000361899.2"	11.1352870399199	-0.623448769536026	1.15050458357933e-23	3.16643515070679e-20
"ENSG00000224774.7:ENST00000476022.1"	3.27529169178307	-2.00887177363603	4.94108780955853e-23	1.31300037510414e-19
"ENSG00000241370.6:ENST00000442966.7"	6.98924603377773	0.398792872684736	5.29847604929955e-23	1.36103720437041e-19
"MSTRG.23073:ENST00000486622.1"	3.19628379618348	-16.8248129266069	6.33887509007873e-23	1.57576255545692e-19
"ENSG00000275214.4:ENST00000618321.1"	6.98729069056417	-1.62047710382386	6.71581677198108e-23	1.61729460025752e-19
"MSTRG.23649:ENST00000427501.6"	3.95034550408859	1.97929392674111	8.71428056690295e-23	2.0349693607475e-19
