gene_id	gene_name	logFC	logCPM	F	PValue	FDR
MSTRG.26126	MSTRG.26126	9.68954718162996	4.58763045025226	399.186411053187	4.67279878615445e-23	9.985604622937041e-19
MSTRG.28746	MSTRG.28746	-8.94500604335655	4.30316199805557	388.472020065371	7.8376866080115e-23	9.985604622937041e-19
ENSG00000291088.1	NPEPPSP1	8.36146054848108	7.89895003178249	363.961478439182	2.69055337349664e-22	2.2852663503356002e-18
ENSG00000282747.1	ENSG00000282747	10.5337518712049	4.21826443139925	416.227169528083	2.32247636679128e-21	1.4794755075552102e-17
ENSG00000278097.1	ENSG00000278097	10.4927367057397	4.17761191734434	404.42372764707	3.74117410899515e-21	1.9065771494261102e-17
ENSG00000282370.1	ENSG00000282370	10.5085563431502	4.19303179722779	398.089508582578	4.85768180680519e-21	2.06297650198672e-17
MSTRG.17232	MSTRG.17232	-9.17158137667264	3.60158576333849	308.972782644998	5.75652604536317e-21	2.0954577165985602e-17
MSTRG.2061	MSTRG.2061	6.64110099989008	5.17424939707945	265.499109648841	9.3194903053342e-20	2.96837415587776e-16
ENSG00000288237.1	H19	7.32284301541676	4.56129857785093	258.219392583319	1.54365423383649e-19	4.3704281702652897e-16
MSTRG.23887	MSTRG.23887	10.0640102211059	3.76084405337319	310.309873749133	2.8565244803075e-19	7.27871002827153e-16
MSTRG.15366	MSTRG.15366	7.3334505785662	3.95808572245461	248.239186603425	3.14661145884005e-19	7.288982416609389e-16
MSTRG.15365	MSTRG.15365	4.85211250904432	5.64599945827696	220.117161526668	2.6945991773385e-18	5.72175680314687e-15
MSTRG.27862	MSTRG.27862	7.12916243715728	3.12745660130048	199.40411411998	1.52821758184744e-17	2.99542401561958e-14
ENSG00000130600.22	H19	7.30482084844923	6.63153968966097	191.590358822654	3.05870339045829e-17	5.5670586494476903e-14
ENSG00000274487.5	NPEPPSP1	9.3342414366343	3.0558693296755	217.636106593674	7.89568889654156e-17	1.3412669918184998e-13
MSTRG.25867		4.73050282475787	5.2649347221117	174.433014892539	1.52922625320886e-16	2.43538838487593e-13
ENSG00000282641.1	NPEPPSP1	9.25646481113967	2.98253059070105	199.938230546206	2.91706115603281e-16	4.37233148922777e-13
MSTRG.10586		-2.61649148219991	6.71888143539211	155.187711704828	1.0918375472002702e-15	1.54561736334501e-12
MSTRG.2133	MSTRG.2133	-3.74353141416496	4.11323383169583	150.99873659872	1.7182367743225502e-15	2.3043363813954198e-12
MSTRG.9219	MSTRG.9219	3.58929216605384	4.11356966963687	137.928924816933	7.5581255805732e-15	9.62942989592929e-12
MSTRG.23033	MSTRG.23033	8.88672548323876	2.63403918874479	157.359208418219	1.06624845314084e-14	1.29376556354675e-11
MSTRG.13882	MSTRG.13882	2.63285630000112	5.1430806515541	131.747816902651	1.58224728024015e-14	1.83260195217269e-11
MSTRG.9273		-8.72694876000576	2.29905514625539	147.867632416145	4.07282108801486e-14	4.51215452798725e-11
MSTRG.22705	MSTRG.22705	3.0206137095311	5.29876911609978	120.211455179682	6.764007229860481e-14	7.181402842669779e-11
MSTRG.1785	MSTRG.1785	6.14981217547259	3.08952644195659	119.302833986327	7.61742142696643e-14	7.763980615221269e-11
MSTRG.4519	MSTRG.4519	2.30542437589024	5.48367513664293	116.984952617545	1.0346448300215999e-13	1.01399172745309e-10
MSTRG.55		4.70204915265984	3.8431777985499	115.451739495189	1.2700983772028199e-13	1.1986435833150101e-10
MSTRG.5856	MSTRG.5856	2.57416487781301	5.76989480121526	114.374674010411	1.46864579971916e-13	1.33652012938014e-10
MSTRG.1358	MSTRG.1358	3.13926178085034	4.3628424693513	102.650959181485	7.64613498848751e-13	6.71831605660863e-10
MSTRG.15370	MSTRG.15370	3.07957116242889	6.27620347999188	101.253000865231	9.39246180519217e-13	7.97764397527006e-10
MSTRG.2999	MSTRG.2999	3.30051824306209	5.51450977801968	100.844446730909	9.9782682711389e-13	8.15471638559061e-10
ENSG00000289942.1	ENSG00000289942	-2.79193649612966	4.46664052739062	100.669307894341	1.02410001310349e-12	8.15471638559061e-10
MSTRG.10181		-6.430030818126	1.95021433223895	98.3443761793452	1.45051480606728e-12	1.1200172052545602e-09
MSTRG.499		1.99480473700822	6.13068676652523	96.1445439750283	2.02732209571652e-12	1.51935865649861e-09
ENSG00000288905.2	LSP1P5	2.70327351324535	5.5298471190681	95.6604729518311	2.18390137530098e-12	1.5899425984012702e-09
MSTRG.1930	MSTRG.1930	3.60276829295529	4.10375037606176	92.4926188582352	3.5773788373034097e-12	2.5320886153702202e-09
MSTRG.20838	MSTRG.20838	-5.37352236747083	2.65825041679176	90.9700019028016	4.55419912120205e-12	3.1363661569553904e-09
MSTRG.23649	MSTRG.23649	-2.06466358064629	11.0279468022507	90.4847457856489	4.92133368088178e-12	3.3000132505933903e-09
ENSG00000291985.1	CASP4LP	2.83689238415289	6.4677237991232	90.3201583771731	5.05279391099854e-12	3.30128824733728e-09
