Reference	gene_name	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
ENST00000459299.1	SNORD13	236294.0	234077.0	219672.0	103880.0	131691.0	61855.0	192520.0	96541.0	114007.0	150000.0	111081.0	99368.0	90763.0	91208.0	66296.0
ENST00000459492.1	SNORD13P3	117262.0	113772.0	106411.0	51216.0	66382.0	30869.0	96639.0	59790.0	70020.0	90408.0	67628.0	61698.0	56313.0	55148.0	39033.0
ENST00000580828.2	SNHG25	29412.0	31689.0	33532.0	45495.0	50982.0	39048.0	38186.0	53484.0	53787.0	50150.0	54989.0	66337.0	58020.0	61695.0	56387.0
ENST00000688233.1	SNHG25	19149.0	21069.0	21781.0	29549.0	32714.0	26194.0	25976.0	35025.0	36593.0	33735.0	36939.0	45187.0	40384.0	40439.0	36994.0
ENST00000611446.1	RNA5-8SN5	25931.0	23773.0	22528.0	17488.0	20707.0	13356.0	20573.0	12349.0	13455.0	14610.0	12749.0	10463.0	10253.0	10757.0	9822.0
ENST00000619471.1	RNA5-8SN1	26333.0	24361.0	22540.0	17247.0	21020.0	12869.0	20533.0	12513.0	13367.0	14335.0	12356.0	10611.0	10081.0	10721.0	10034.0
ENST00000610460.1	5_8S_rRNA	26232.0	24086.0	23427.0	18073.0	20707.0	13736.0	20439.0	12536.0	13229.0	14465.0	12727.0	10765.0	10321.0	10769.0	9928.0
ENST00000612463.1	RNA5-8SN2	25823.0	23820.0	23509.0	18272.0	21193.0	13113.0	20352.0	12655.0	13554.0	14430.0	12653.0	10685.0	10356.0	10911.0	10034.0
ENST00000619779.1	5_8S_rRNA	26071.0	23491.0	23332.0	17832.0	20847.0	13141.0	20305.0	12275.0	13436.0	14760.0	12340.0	10753.0	10218.0	10733.0	10025.0
ENST00000613359.1	RNA5-8SN3	25810.0	23718.0	22835.0	17605.0	20484.0	13106.0	20273.0	12476.0	13105.0	14280.0	12584.0	11044.0	11078.0	10466.0	9760.0
ENST00000673592.1	RNA5-8SN3	25770.0	24173.0	22883.0	17749.0	20245.0	13464.0	20155.0	12394.0	13199.0	14748.0	12468.0	10993.0	10631.0	10751.0	10096.0
ENST00000618998.1	5_8S_rRNA	25743.0	23804.0	22930.0	17309.0	20064.0	13299.0	19997.0	12267.0	13293.0	14453.0	12653.0	10987.0	9324.0	10822.0	10220.0
ENST00000673303.1	RNA5-8SN1	25649.0	24024.0	22835.0	17797.0	20344.0	12998.0	19966.0	12759.0	13569.0	14398.0	12563.0	10651.0	9496.0	10567.0	10123.0
ENST00000616292.1	RNA5-8SN4	25897.0	24000.0	22551.0	17873.0	21440.0	13220.0	19958.0	12446.0	13372.0	14858.0	12409.0	10583.0	9496.0	10674.0	9804.0
ENST00000365484.1	RNY3	12965.0	13518.0	12966.0	8253.0	9504.0	4603.0	16877.0	3358.0	4204.0	4923.0	3256.0	3387.0	4599.0	4197.0	3216.0
ENST00000384413.1	Y_RNA	10950.0	11600.0	10941.0	7013.0	7970.0	3980.0	14532.0	2932.0	3583.0	4262.0	2866.0	2942.0	4134.0	3538.0	2751.0
ENST00000365085.1	RNY3P1	10743.0	11407.0	10538.0	6994.0	7872.0	3957.0	14130.0	2783.0	3399.0	4118.0	2773.0	2892.0	3946.0	3444.0	2686.0
ENST00000363624.1	Y_RNA	9989.0	10836.0	9912.0	6472.0	7516.0	3749.0	13230.0	2669.0	3223.0	3956.0	2644.0	2709.0	3792.0	3304.0	2553.0
ENST00000418539.2	BCYRN1	10051.0	8833.0	8560.0	12046.0	13008.0	7163.0	12911.0	20006.0	21790.0	21384.0	21954.0	23440.0	19903.0	27413.0	21884.0
ENST00000245458.11	RPS29	6148.0	7851.0	9336.0	16488.0	13162.0	17869.0	10464.0	15428.0	14418.0	12125.0	15146.0	16455.0	15399.0	15986.0	17753.0
ENST00000363444.1	Y_RNA	7616.0	7988.0	8135.0	5123.0	5594.0	2732.0	10292.0	2194.0	2561.0	3081.0	1934.0	2164.0	2842.0	2539.0	1953.0
ENST00000503991.1	SCARNA22	9031.0	10228.0	8744.0	5610.0	9189.0	3953.0	10184.0	3772.0	4252.0	5140.0	4378.0	4559.0	4380.0	4206.0	3749.0
ENST00000408237.1	SNORA11F	5765.0	5326.0	6195.0	2836.0	5419.0	2270.0	7061.0	2603.0	2466.0	3237.0	3164.0	2081.0	1960.0	2167.0	1633.0
ENST00000233143.6	TMSB10	2707.0	4537.0	4985.0	12931.0	8613.0	18088.0	6434.0	13560.0	12632.0	10589.0	13286.0	14303.0	15246.0	14688.0	16439.0
ENST00000364228.1	RNY1	5029.0	3383.0	3855.0	1961.0	3189.0	1391.0	4884.0	1154.0	1031.0	1377.0	1152.0	1152.0	1869.0	1362.0	1189.0
ENST00000391162.1	SNORA12	4546.0	4970.0	4295.0	2882.0	4558.0	2026.0	4704.0	3352.0	2789.0	3013.0	3000.0	2207.0	2361.0	2455.0	2046.0
ENST00000365645.1	VTRNA1-3	1616.0	1656.0	2965.0	5151.0	4956.0	3803.0	4420.0	3567.0	4257.0	2957.0	3597.0	3575.0	3383.0	4405.0	4627.0
ENST00000384423.1	SNORA67	3115.0	2386.0	2494.0	2857.0	4222.0	1678.0	4107.0	1746.0	1716.0	2135.0	1603.0	1474.0	1466.0	1763.0	1423.0
ENST00000245185.6	MT2A	1634.0	2217.0	2331.0	7212.0	5241.0	8450.0	3891.0	2030.0	1797.0	1561.0	1839.0	2404.0	2517.0	2653.0	3189.0
ENST00000557367.2	RPS29	2274.0	2910.0	3461.0	6093.0	4861.0	6607.0	3871.0	5710.0	5345.0	4477.0	5603.0	6094.0	5692.0	5913.0	6573.0
ENST00000343986.9	RPS21	2351.0	3037.0	3528.0	6604.0	5119.0	7855.0	3829.0	6651.0	6442.0	5306.0	6184.0	6827.0	6827.0	6721.0	7614.0
ENST00000361575.4	RPL39	1964.0	2752.0	3127.0	6356.0	4835.0	7833.0	3552.0	6867.0	6256.0	5277.0	6435.0	7027.0	7079.0	7197.0	8059.0
ENST00000384384.1	SNORA25	7369.0	2623.0	4300.0	3597.0	3224.0	1078.0	3500.0	1425.0	1215.0	1168.0	2342.0	2167.0	784.0	1028.0	675.0
ENST00000546485.5	RPL41	1496.0	2439.0	2594.0	5673.0	4110.0	7623.0	3117.0	6773.0	6162.0	5270.0	6449.0	7466.0	7265.0	7088.0	8080.0
ENST00000582965.3	SNHG25	2309.0	2490.0	2684.0	3630.0	4029.0	3122.0	3046.0	4197.0	4225.0	3956.0	4316.0	5198.0	4514.0	4870.0	4467.0
ENST00000501597.3	RPL41	1445.0	2359.0	2507.0	5482.0	3971.0	7365.0	3009.0	6546.0	5952.0	5090.0	6232.0	7219.0	7014.0	6850.0	7804.0
MSTRG.5716.3	MSTRG.5716	1539.0	1994.0	2535.0	4027.0	3576.0	5134.0	2709.0	4500.0	4063.0	3524.0	4276.0	4706.0	4423.0	4460.0	5049.0
MSTRG.5716.2	MSTRG.5716	1527.0	1986.0	2499.0	3998.0	3526.0	5089.0	2672.0	4457.0	4046.0	3502.0	4265.0	4656.0	4368.0	4434.0	5045.0
MSTRG.6410.2	MSTRG.6410	1228.0	2005.0	2133.0	4673.0	3391.0	6287.0	2566.0	5600.0	5092.0	4353.0	5329.0	6176.0	6011.0	5865.0	6691.0
ENST00000546591.6	RPL41	1207.0	1973.0	2100.0	4589.0	3333.0	6183.0	2517.0	5491.0	4992.0	4272.0	5230.0	6053.0	5894.0	5748.0	6552.0
ENST00000358888.7	RPL41	1155.0	1886.0	2009.0	4397.0	3187.0	5915.0	2413.0	5272.0	4792.0	4099.0	5019.0	5813.0	5656.0	5520.0	6298.0
MSTRG.5716.1	MSTRG.5716	1320.0	1699.0	2178.0	3458.0	3070.0	4421.0	2292.0	3863.0	3495.0	3008.0	3666.0	4018.0	3745.0	3828.0	4344.0
