gene_id	gene_name	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.8152		ENST00000556230.2	24631	26937	21214	64437	42925	67055	35662	55633	78614	82897	76783	77633	12029	72398	53915
MSTRG.8152		ENST00000245458.11	24631	26934	21214	64427	42924	67048	35659	55626	78606	82893	76779	77630	12027	72398	53912
MSTRG.8152		ENST00000557367.2	23962	26257	20682	62607	41685	65185	34693	54136	76623	80476	74683	75595	11689	70420	52486
MSTRG.15645		ENST00000233143.6	16006	22970	16716	74556	41445	100141	32352	72140	101621	106815	99373	99563	17570	98154	73661
MSTRG.27840		ENST00000387347.2	34286	34567	20200	43695	31152	37512	29275	35555	61466	66107	47257	39563	7390	43070	32940
MSTRG.6410	MSTRG.6410	MSTRG.6410.2	14392	20112	14168	53382	32326	68963	25566	59027	81153	86990	78967	85179	13723	77641	59399
MSTRG.6410	MSTRG.6410	ENST00000546591.6	14406	20169	14217	53424	32382	69120	25554	58983	81090	87003	78977	85082	13715	77550	59279
MSTRG.6410	MSTRG.6410	ENST00000358888.7	14307	20002	14111	53111	32127	68603	25416	58760	80765	86624	78642	84773	13655	77281	59122
MSTRG.6410	MSTRG.6410	ENST00000546485.5	14334	20011	14097	53016	32062	68405	25407	58402	80351	86161	78187	84246	13570	76770	58685
MSTRG.6410	MSTRG.6410	ENST00000501597.3	14336	20037	14105	53035	32064	68412	25384	58425	80330	86145	78211	84311	13561	76800	58668
MSTRG.25874		ENST00000459299.1	23784	20175	12541	10198	10790	5831	16483	8745	15616	25763	14147	11778	1781	10378	5058
MSTRG.10585		ENST00000245185.6	6916	8034	5594	29759	18050	33480	14003	7730	10349	11273	9847	11976	2076	12691	10228
MSTRG.10585		ENST00000563985.1	6913	8036	5595	29781	18062	33487	13996	7729	10357	11286	9855	11980	2079	12679	10226
MSTRG.12492		ENST00000311111.11	9379	11189	8070	28922	17289	31526	13844	25089	36899	39723	34328	35094	5704	33993	25680
MSTRG.9482		ENST00000260379.11	6320	8705	7077	26726	16906	39863	12046	27736	36579	39478	35316	34427	6162	32974	26161
MSTRG.28532	MSTRG.28532	ENST00000361575.4	7706	9243	6958	24317	15439	28776	11853	24240	33395	35322	31937	32457	5413	31911	23961
MSTRG.13607	MSTRG.13607	ENST00000600659.3	7812	9843	7100	21135	14811	26413	11687	24689	35082	38311	32549	33669	5145	29202	22445
MSTRG.13607	MSTRG.13607	ENST00000449223.3	7800	9832	7103	21133	14817	26428	11669	24678	35080	38299	32540	33659	5148	29205	22429
