gene_id,transcript_id,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENSG00000000003,ENST00000373020.9,15,16,28,8,22,5,24,13
ENSG00000000003,ENST00000496771.5,0,1,0,1,0,0,0,0
ENSG00000000003,ENST00000612152.4,10,8,5,8,9,3,12,4
ENSG00000000005,ENST00000373031.5,0,0,1,0,0,0,0,0
ENSG00000000419,ENST00000371582.8,33,18,47,10,29,22,32,35
ENSG00000000419,ENST00000371584.9,6,1,5,3,9,3,7,11
ENSG00000000419,ENST00000371588.10,36,16,46,9,31,19,34,35
ENSG00000000419,ENST00000413082.1,0,0,2,0,0,0,0,0
ENSG00000000419,ENST00000466152.5,34,19,44,11,28,21,32,35
ENSG00000000419,ENST00000494752.1,3,0,3,2,3,1,0,2
ENSG00000000419,ENST00000681979.1,0,0,2,0,1,0,0,7
ENSG00000000419,ENST00000682366.1,1,0,1,1,0,0,0,0
ENSG00000000419,ENST00000682754.1,0,0,0,0,2,0,0,0
ENSG00000000419,ENST00000683048.1,17,13,13,7,8,5,9,5
ENSG00000000419,ENST00000683466.1,1,0,0,0,0,0,0,0
ENSG00000000419,ENST00000684193.1,2,0,1,0,1,0,0,0
ENSG00000000419,ENST00000684628.1,0,0,0,0,0,0,0,0
ENSG00000000419,ENST00000684708.1,1,0,0,0,0,0,1,4
ENSG00000000457,ENST00000367770.5,1,0,2,0,0,0,1,0
ENSG00000000457,ENST00000367771.11,11,4,3,1,8,0,6,3
ENSG00000000457,ENST00000367772.8,11,4,5,0,8,0,6,3
ENSG00000000457,ENST00000423670.1,0,0,3,0,0,0,0,0
ENSG00000000457,ENST00000470238.1,10,4,3,1,8,1,5,3
ENSG00000000460,ENST00000286031.10,0,0,4,2,0,0,6,0
ENSG00000000460,ENST00000359326.9,1,0,3,2,0,0,6,1
ENSG00000000460,ENST00000413811.3,1,1,3,2,1,0,6,0
ENSG00000000460,ENST00000459772.5,1,0,3,2,0,0,6,2
ENSG00000000460,ENST00000481744.5,0,0,1,0,0,0,0,2
ENSG00000000460,ENST00000496973.5,0,0,1,0,0,0,0,0
ENSG00000000460,ENST00000498289.5,1,1,5,2,2,0,7,2
ENSG00000000938,ENST00000374005.8,0,0,0,0,0,0,2,0
ENSG00000000971,ENST00000359637.3,2,0,1,0,0,0,3,0
ENSG00000000971,ENST00000367429.9,1,1,1,0,0,0,1,0
ENSG00000000971,ENST00000466229.5,2,0,1,0,1,0,0,2
ENSG00000000971,ENST00000470918.2,0,1,0,0,1,0,2,0
ENSG00000000971,ENST00000496761.2,0,0,0,0,0,0,0,0
ENSG00000000971,ENST00000630130.2,3,0,1,0,0,0,3,0
ENSG00000000971,ENST00000695968.1,0,3,0,0,0,0,0,0
ENSG00000000971,ENST00000695969.1,0,2,0,0,1,0,0,0
ENSG00000000971,ENST00000695970.1,3,1,2,0,0,0,1,2
ENSG00000000971,ENST00000695971.1,2,2,2,0,0,0,2,0
ENSG00000000971,ENST00000695972.1,3,1,1,0,2,0,2,1
ENSG00000000971,ENST00000695973.1,0,0,2,0,1,0,3,1
ENSG00000000971,ENST00000695974.1,1,2,2,0,0,0,2,0
ENSG00000000971,ENST00000695975.1,1,2,3,0,1,0,0,2
ENSG00000000971,ENST00000695976.1,2,0,1,0,0,0,2,1
ENSG00000000971,ENST00000695978.1,1,1,0,0,0,0,3,0
ENSG00000000971,ENST00000695979.1,4,1,1,0,0,0,1,0
