gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000198755	ENST00000464112.5	32.8062275	1	1.02E-08	0.000118628	0.096915527	0.138743959	0.517625235
ENSG00000164587	ENST00000519690.1	28.59619558	1	8.92E-08	0.000519385	0.142247823	0.115471006	-0.300875934
ENSG00000230700	ENST00000443673.6	25.74671316	1	3.89E-07	0.001133903	0.948250377	0.784164685	-0.274111368
ENSG00000230700	ENST00000485003.1	25.74671316	1	3.89E-07	0.001133903	0.051749623	0.215835315	2.060310681
ENSG00000118292	ENST00000369098.3	20.41510776	1	6.23E-06	0.012181822	0.178987283	0.092247126	-0.956281219
ENSG00000203875	ENST00000665270.1	20.40293182	1	6.27E-06	0.012181822	0.015993814	0.042789886	1.419755829
ENSG00000232960	ENST00000454382.6	18.62257554	1	1.59E-05	0.0225747	0.923678594	0.791582476	-0.22265126
ENSG00000232960	ENST00000468132.1	18.62257554	1	1.59E-05	0.0225747	0.076321406	0.208417524	1.449316936
ENSG00000275214	ENST00000618321.1	18.4504259	1	1.74E-05	0.0225747	0.038932239	0.017623979	-1.143425651
ENSG00000241370	ENST00000433076.6	16.86430455	1	4.01E-05	0.046778281	0.329958769	0.205881392	-0.680472313
ENSG00000239927	ENST00000425575.2	16.28615239	1	5.45E-05	0.057683563	0.426278994	0.642929936	0.592863564
ENSG00000197345	ENST00000450904.6	15.99145218	1	6.36E-05	0.061778576	0.115082416	0.178273279	0.631423065
ENSG00000219200	ENST00000570898.1	15.83049558	1	6.93E-05	0.062088115	0.009115114	0.021115245	1.211952338
ENSG00000168374	ENST00000486310.5	14.86236958	1	0.000115647	0.09624322	0.151519731	0.276000507	0.865165238
ENSG00000203875	ENST00000670094.1	13.27004027	1	0.000269681	0.209470542	0.010297968	0.027859695	1.435819767
ENSG00000241863	ENST00000455025.6	12.95124553	1	0.000319709	0.23280789	0.512933534	0.364652003	-0.492251574
ENSG00000214756	ENST00000594728.1	12.39359346	1	0.000430809	0.27885334	0.124010686	0.069949277	-0.82608339
ENSG00000241370	ENST00000442966.7	12.48905457	1	0.000409343	0.27885334	0.547955202	0.66977226	0.289612675
ENSG00000055950	ENST00000448244.5	12.11247002	1	0.000500857	0.30713107	0.082554606	0.171883204	1.058007964
ENSG00000055950	ENST00000342071.5	11.84965952	1	0.000576719	0.335967591	0.101465201	0.192455188	0.923537534
ENSG00000203875	ENST00000673721.1	10.71969861	1	0.001060009	0.588103295	0.001902855	0.011362996	2.578105693
ENSG00000203875	ENST00000669413.1	10.35045658	1	0.001294427	0.685516583	0.003016481	0.01332019	2.142676206
ENSG00000170421	ENST00000552551.5	9.606457281	1	0.001938943	0.982201306	0.038959503	0.015482752	-1.331313344
ENSG00000000419	ENST00000371582.8	1.33E-07	1	0.999709356	1	0.334358895	0.335516289	0.004985311
ENSG00000000419	ENST00000371588.10	3.96E-05	1	0.99497864	1	0.329055926	0.32779929	-0.005520076
ENSG00000000419	ENST00000466152.5	3.80E-05	1	0.995079607	1	0.336585179	0.336684422	0.000425318
ENSG00000002330	ENST00000309032.8	0.087046591	1	0.767965926	1	0.502415459	NA	NA
ENSG00000002330	ENST00000394532.7	0.087046591	1	0.767965926	1	0.497584541	NA	NA
ENSG00000002549	ENST00000226299.9	0.053593483	1	0.816924316	1	0.208556687	0.212987382	0.030328392
