gene_id,transcript_id,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4
ENSG00000000003,ENST00000373020.9,12,6,11,14,18,20,20
ENSG00000000003,ENST00000496771.5,0,0,0,1,0,0,0
ENSG00000000003,ENST00000612152.4,12,5,10,6,6,10,9
ENSG00000000005,ENST00000373031.5,0,0,0,0,0,0,0
ENSG00000000419,ENST00000371582.8,11,12,6,24,43,34,26
ENSG00000000419,ENST00000371584.9,1,7,4,1,15,8,7
ENSG00000000419,ENST00000371588.10,11,11,5,25,35,31,24
ENSG00000000419,ENST00000413082.1,0,0,0,0,1,0,0
ENSG00000000419,ENST00000466152.5,9,12,7,22,34,31,25
ENSG00000000419,ENST00000494752.1,1,4,3,4,4,3,2
ENSG00000000419,ENST00000681979.1,0,0,0,0,3,0,0
ENSG00000000419,ENST00000682366.1,0,2,1,0,3,0,0
ENSG00000000419,ENST00000682754.1,0,0,0,0,4,0,0
ENSG00000000419,ENST00000683048.1,12,8,7,10,14,12,10
ENSG00000000419,ENST00000683466.1,0,0,0,0,0,0,0
ENSG00000000419,ENST00000684193.1,2,0,0,2,0,0,0
ENSG00000000419,ENST00000684628.1,0,0,0,0,1,0,0
ENSG00000000419,ENST00000684708.1,0,2,0,0,2,0,1
ENSG00000000457,ENST00000367770.5,0,0,1,0,0,0,0
ENSG00000000457,ENST00000367771.11,3,0,2,4,5,8,4
ENSG00000000457,ENST00000367772.8,2,0,0,4,5,8,4
ENSG00000000457,ENST00000423670.1,0,0,0,0,0,0,0
ENSG00000000457,ENST00000470238.1,2,0,0,4,5,8,4
ENSG00000000460,ENST00000286031.10,0,0,6,4,2,0,3
ENSG00000000460,ENST00000359326.9,1,0,6,4,2,0,3
ENSG00000000460,ENST00000413811.3,1,0,6,4,2,0,3
ENSG00000000460,ENST00000459772.5,1,0,6,4,2,0,3
ENSG00000000460,ENST00000481744.5,0,0,0,0,2,0,0
ENSG00000000460,ENST00000496973.5,0,0,0,0,3,1,0
ENSG00000000460,ENST00000498289.5,1,0,6,4,2,1,4
ENSG00000000938,ENST00000374005.8,0,0,0,0,0,0,0
ENSG00000000971,ENST00000359637.3,0,0,0,0,2,2,3
ENSG00000000971,ENST00000367429.9,3,2,0,1,4,2,1
ENSG00000000971,ENST00000466229.5,0,0,3,0,5,1,2
ENSG00000000971,ENST00000470918.2,1,1,1,0,4,4,0
ENSG00000000971,ENST00000496761.2,1,0,0,0,0,0,0
ENSG00000000971,ENST00000630130.2,0,0,0,0,2,1,3
ENSG00000000971,ENST00000695968.1,0,0,0,0,0,0,1
ENSG00000000971,ENST00000695969.1,0,0,0,0,0,2,1
ENSG00000000971,ENST00000695970.1,1,0,2,2,4,1,2
ENSG00000000971,ENST00000695971.1,1,2,1,0,5,3,3
ENSG00000000971,ENST00000695972.1,3,2,1,2,5,2,3
ENSG00000000971,ENST00000695973.1,3,0,1,0,2,5,4
ENSG00000000971,ENST00000695974.1,2,2,3,3,3,6,2
ENSG00000000971,ENST00000695975.1,3,1,1,2,2,3,3
ENSG00000000971,ENST00000695976.1,1,1,1,0,1,1,2
ENSG00000000971,ENST00000695978.1,0,0,0,0,0,0,4
ENSG00000000971,ENST00000695979.1,0,0,0,0,2,3,3
ENSG00000000971,ENST00000695980.1,0,0,0,0,0,0,1
ENSG00000000971,ENST00000695981.1,0,0,0,0,0,0,0
ENSG00000000971,ENST00000695984.1,2,1,0,3,2,2,7
ENSG00000000971,ENST00000695986.1,1,0,0,1,2,1,3
ENSG00000000971,ENST00000695987.1,0,0,0,1,2,0,4
ENSG00000000971,ENST00000695990.1,2,0,4,1,1,1,4
ENSG00000000971,ENST00000696018.1,4,0,15,0,2,4,0
ENSG00000000971,ENST00000696019.1,0,0,0,0,2,1,0
ENSG00000000971,ENST00000696020.1,0,0,0,0,2,1,0
ENSG00000000971,ENST00000696021.1,0,0,0,1,2,0,0
ENSG00000000971,ENST00000696022.1,0,0,0,0,2,2,0
ENSG00000000971,ENST00000696023.1,0,0,0,0,2,2,3
ENSG00000000971,ENST00000696024.1,0,0,0,0,0,1,0
ENSG00000000971,ENST00000696025.1,0,0,0,0,0,1,0
ENSG00000000971,ENST00000696026.1,4,0,2,0,7,1,4
ENSG00000000971,ENST00000696027.1,2,2,2,1,5,0,3
ENSG00000000971,ENST00000696028.1,4,1,0,1,3,3,3
ENSG00000000971,ENST00000696029.1,2,0,3,2,4,5,4
ENSG00000000971,ENST00000696030.1,0,0,0,0,2,0,3
ENSG00000000971,ENST00000696031.1,1,0,3,1,5,2,4
ENSG00000001036,ENST00000002165.11,23,11,8,26,42,32,9
ENSG00000001036,ENST00000367585.1,0,2,1,2,2,6,2
ENSG00000001036,ENST00000451668.1,0,0,0,0,0,0,0
ENSG00000001084,ENST00000509541.5,6,0,0,0,2,2,0
ENSG00000001084,ENST00000515580.1,2,0,0,0,0,2,0
ENSG00000001084,ENST00000616923.5,4,0,1,0,0,2,1
ENSG00000001084,ENST00000650454.1,5,0,0,0,2,2,0
ENSG00000001167,ENST00000341376.11,7,3,0,5,10,6,5
ENSG00000001167,ENST00000353205.5,0,0,1,3,0,1,0
ENSG00000001460,ENST00000003583.12,0,0,0,3,5,0,3
ENSG00000001460,ENST00000337248.9,0,0,2,3,7,7,4
ENSG00000001460,ENST00000374409.5,1,0,0,3,6,2,3
ENSG00000001460,ENST00000435187.1,0,0,0,0,0,1,0
ENSG00000001460,ENST00000468303.5,1,0,2,3,7,7,4
ENSG00000001460,ENST00000483261.1,0,0,0,0,0,1,1
ENSG00000001460,ENST00000483528.1,0,0,0,0,1,0,0
ENSG00000001460,ENST00000497384.1,0,0,1,0,1,1,0
ENSG00000001460,ENST00000498488.5,0,0,0,1,0,4,3
ENSG00000001461,ENST00000339255.2,0,3,0,0,1,1,4
ENSG00000001461,ENST00000358028.8,1,0,0,0,0,0,0
ENSG00000001461,ENST00000374399.9,0,2,0,4,10,3,2
ENSG00000001461,ENST00000432012.1,0,3,0,0,0,0,0
ENSG00000001461,ENST00000475663.2,0,0,0,0,0,0,0
ENSG00000001461,ENST00000488155.1,0,0,0,0,0,0,0
ENSG00000001497,ENST00000374804.9,6,3,0,6,16,22,4
ENSG00000001497,ENST00000374811.8,6,3,2,6,18,22,3
ENSG00000001497,ENST00000469091.1,0,0,0,0,0,0,0
ENSG00000001497,ENST00000484069.1,6,5,0,6,17,21,3
ENSG00000001497,ENST00000676986.1,0,0,0,0,1,0,0
ENSG00000001497,ENST00000677056.1,0,0,1,0,0,0,0
ENSG00000001497,ENST00000677087.1,5,3,2,5,9,21,2
ENSG00000001497,ENST00000677154.1,0,0,0,1,1,0,0
ENSG00000001497,ENST00000677834.1,5,3,2,6,15,23,3
ENSG00000001497,ENST00000677969.1,0,0,0,0,0,1,0
ENSG00000001497,ENST00000677986.1,6,3,2,6,17,22,4
ENSG00000001497,ENST00000678074.1,0,0,0,1,0,2,0
ENSG00000001497,ENST00000678173.1,0,0,0,0,0,0,0
ENSG00000001497,ENST00000678547.1,0,1,0,0,0,0,2
ENSG00000001497,ENST00000678570.1,0,1,0,0,0,0,1
ENSG00000001497,ENST00000678602.1,0,0,0,0,0,1,0
ENSG00000001497,ENST00000678705.1,0,1,0,0,0,2,0
ENSG00000001497,ENST00000678823.1,0,0,0,1,0,0,0
ENSG00000001497,ENST00000678848.1,0,1,0,0,0,0,2
ENSG00000001497,ENST00000678956.1,0,1,0,1,0,1,0
ENSG00000001497,ENST00000679056.1,0,0,0,0,1,2,2
ENSG00000001497,ENST00000679116.1,0,0,0,0,0,1,2
ENSG00000001497,ENST00000679261.1,0,0,0,0,0,0,0
ENSG00000001497,ENST00000679277.1,0,0,0,0,2,1,2
ENSG00000001561,ENST00000321037.5,0,2,1,3,1,0,5
ENSG00000001617,ENST00000002829.8,8,2,4,12,11,6,17
ENSG00000001617,ENST00000413852.5,8,2,4,12,11,6,17
ENSG00000001617,ENST00000434342.5,8,2,4,12,11,6,17
ENSG00000001629,ENST00000265742.8,4,7,2,6,11,10,2
ENSG00000001629,ENST00000422095.1,3,0,0,2,4,0,1
ENSG00000001629,ENST00000465883.1,0,0,0,2,0,0,0
ENSG00000001630,ENST00000003100.13,46,46,41,43,105,102,65
ENSG00000001630,ENST00000422867.1,3,5,3,1,4,5,3
ENSG00000001630,ENST00000450723.5,3,5,6,3,5,22,9
ENSG00000001630,ENST00000482924.1,0,0,0,0,0,6,0
ENSG00000001630,ENST00000691309.1,3,2,4,2,1,13,2
ENSG00000001631,ENST00000340022.6,1,0,1,0,0,0,0
ENSG00000001631,ENST00000394505.7,0,0,0,0,0,1,0
ENSG00000001631,ENST00000394507.5,3,0,0,0,0,0,0
ENSG00000001631,ENST00000422347.6,0,1,0,0,0,0,0
ENSG00000001631,ENST00000433016.6,0,0,0,0,0,0,0
ENSG00000001631,ENST00000444960.6,1,0,0,0,0,0,0
ENSG00000001631,ENST00000454017.6,2,0,2,0,0,0,0
ENSG00000001631,ENST00000458177.7,0,0,0,0,0,0,0
ENSG00000001631,ENST00000475770.6,0,0,0,0,0,0,0
ENSG00000001631,ENST00000486261.5,2,0,0,0,0,2,0
ENSG00000001631,ENST00000487168.2,0,1,1,0,0,0,0
ENSG00000001631,ENST00000684808.1,0,0,0,0,0,0,0
ENSG00000001631,ENST00000686043.1,0,0,0,0,0,1,0
ENSG00000001631,ENST00000686094.1,2,0,0,0,0,0,0
ENSG00000001631,ENST00000686527.1,0,0,0,0,0,0,0
ENSG00000001631,ENST00000686619.1,0,0,0,0,0,2,0
ENSG00000001631,ENST00000686785.1,0,0,0,0,0,1,0
ENSG00000001631,ENST00000687135.1,0,0,0,0,0,2,0
ENSG00000001631,ENST00000687517.1,0,0,0,0,0,0,0
ENSG00000001631,ENST00000687627.1,0,1,0,0,0,0,0
ENSG00000001631,ENST00000687876.1,1,0,0,0,0,0,0
ENSG00000001631,ENST00000688180.1,2,0,0,0,0,2,0
ENSG00000001631,ENST00000688314.1,1,0,2,0,0,0,0
ENSG00000001631,ENST00000688404.1,0,0,0,0,0,0,0
ENSG00000001631,ENST00000688580.1,2,0,0,0,0,0,0
ENSG00000001631,ENST00000688665.1,3,0,0,0,0,0,0
ENSG00000001631,ENST00000688766.1,1,0,0,0,0,0,0
ENSG00000001631,ENST00000688781.1,3,0,0,0,0,0,0
ENSG00000001631,ENST00000689082.1,2,0,0,0,0,0,0
ENSG00000001631,ENST00000689411.1,0,0,0,0,0,1,0
ENSG00000001631,ENST00000689556.1,1,0,0,0,0,1,0
ENSG00000001631,ENST00000689778.1,3,0,1,0,0,0,0
ENSG00000001631,ENST00000690292.1,1,0,0,0,0,0,0
ENSG00000001631,ENST00000690529.1,2,0,0,0,0,1,0
ENSG00000001631,ENST00000690720.1,2,0,2,0,0,0,0
ENSG00000001631,ENST00000690751.1,3,0,0,0,0,2,0
ENSG00000001631,ENST00000690904.1,0,0,0,0,0,0,0
ENSG00000001631,ENST00000691239.1,1,0,0,0,0,0,0
ENSG00000001631,ENST00000691622.1,0,0,0,0,0,0,0
ENSG00000001631,ENST00000691827.1,1,0,0,0,0,1,0
ENSG00000001631,ENST00000692000.1,0,0,0,0,0,0,0
ENSG00000001631,ENST00000692157.1,1,0,0,0,1,1,0
ENSG00000001631,ENST00000692205.1,0,0,0,1,0,0,0
ENSG00000001631,ENST00000692361.1,1,0,1,0,0,1,0
ENSG00000001631,ENST00000692690.1,3,0,0,0,0,0,0
ENSG00000001631,ENST00000692807.1,1,0,0,0,0,0,0
ENSG00000001631,ENST00000693563.1,1,0,0,0,0,0,0
ENSG00000002016,ENST00000228345.9,0,0,0,0,0,0,0
ENSG00000002016,ENST00000358495.8,0,0,0,0,0,0,0
ENSG00000002016,ENST00000397230.6,0,2,0,0,0,0,0
ENSG00000002016,ENST00000430095.6,0,0,0,0,0,0,0
ENSG00000002016,ENST00000468231.5,0,0,0,0,0,0,0
ENSG00000002016,ENST00000481052.5,0,0,0,0,0,0,0
ENSG00000002016,ENST00000488642.6,0,0,0,0,0,0,0
ENSG00000002016,ENST00000536177.5,0,1,0,0,0,0,0
ENSG00000002016,ENST00000542785.5,0,2,0,1,0,0,0
ENSG00000002330,ENST00000309032.8,9,10,10,18,28,37,23
ENSG00000002330,ENST00000394531.3,0,0,0,0,0,0,0
ENSG00000002330,ENST00000394532.7,11,10,7,16,28,39,25
ENSG00000002330,ENST00000544271.1,0,0,0,0,1,0,0
ENSG00000002330,ENST00000544785.1,0,0,0,0,0,0,0
ENSG00000002549,ENST00000226299.9,13,19,13,48,67,77,60
ENSG00000002549,ENST00000503467.1,8,5,6,17,28,23,14
ENSG00000002549,ENST00000508497.5,5,13,7,23,35,51,35
ENSG00000002549,ENST00000509583.1,5,12,5,20,34,46,30
ENSG00000002549,ENST00000512397.1,7,13,7,26,38,55,38
ENSG00000002549,ENST00000606142.5,13,17,11,45,66,73,55
ENSG00000002549,ENST00000618908.4,13,19,13,48,67,77,60
ENSG00000002586,ENST00000381177.7,0,0,0,0,2,0,2
ENSG00000002586,ENST00000381180.9,0,0,0,0,0,1,0
ENSG00000002586,ENST00000381184.6,6,2,10,21,48,45,32
ENSG00000002586,ENST00000381187.8,2,0,1,2,2,6,5
ENSG00000002586,ENST00000381192.10,117,101,87,370,508,467,447
ENSG00000002586,ENST00000449611.6,0,0,0,0,3,0,1
ENSG00000002586,ENST00000482293.6,0,0,0,0,0,1,1
ENSG00000002586,ENST00000482405.7,6,3,6,11,32,21,20
ENSG00000002586,ENST00000611428.5,119,103,89,370,514,485,447
ENSG00000002586,ENST00000623253.4,1,0,3,2,5,3,1
ENSG00000002586,ENST00000624481.4,116,95,81,282,419,390,357
ENSG00000002586,ENST00000645950.1,1,3,3,7,18,15,12
ENSG00000002586,ENST00000646103.1,0,0,0,0,2,2,3
ENSG00000002586,ENST00000647297.1,8,10,2,23,36,21,29
ENSG00000002587,ENST00000002596.6,0,0,0,0,0,0,0
ENSG00000002822,ENST00000265854.12,9,4,0,1,7,11,0
ENSG00000002822,ENST00000399654.6,8,4,0,0,7,12,1
ENSG00000002822,ENST00000402746.5,6,2,2,0,0,7,0
ENSG00000002822,ENST00000406869.5,8,2,2,0,7,11,0
ENSG00000002822,ENST00000455998.5,0,0,0,0,0,0,0
ENSG00000002822,ENST00000468372.5,6,2,2,0,0,0,0
ENSG00000002822,ENST00000477172.1,1,0,0,0,0,0,0
ENSG00000002822,ENST00000481633.1,9,2,2,0,1,1,1
ENSG00000002822,ENST00000496548.1,9,2,2,0,0,0,0
ENSG00000002834,ENST00000318008.11,60,40,28,63,84,119,85
ENSG00000002834,ENST00000433206.6,55,36,26,58,79,108,76
ENSG00000002834,ENST00000443937.7,0,1,0,0,3,1,7
ENSG00000002834,ENST00000579123.1,0,0,0,0,0,0,0
ENSG00000002834,ENST00000584106.1,0,0,1,0,3,0,6
ENSG00000002834,ENST00000585841.5,0,3,2,2,4,3,2
ENSG00000002919,ENST00000359238.7,3,3,5,3,4,7,4
ENSG00000002919,ENST00000393405.6,3,3,5,3,4,7,4
ENSG00000002919,ENST00000580219.5,0,1,0,0,0,0,0
ENSG00000002919,ENST00000582104.5,1,1,0,0,0,0,1
ENSG00000002919,ENST00000583320.5,0,0,0,0,0,0,2
ENSG00000003056,ENST00000000412.8,26,15,10,11,28,31,17
