"transcript_id","q_value",".transcript_raw","transcript","qvalue","ensembl_gene_id","gene_name"
"ENST00000617605.4",1.68e-101,"ENST00000617605.4","ENST00000617605",1.68e-101,"ENSG00000273686","B2M"
"ENST00000553205.1",9.1e-94,"ENST00000553205.1","ENST00000553205",9.1e-94,"ENSG00000089009","RPL6"
"ENST00000379060.8",2.11e-93,"ENST00000379060.8","ENST00000379060",2.11e-93,"ENSG00000133112","TPT1"
"ENST00000509736.5",1.57e-82,"ENST00000509736.5","ENST00000509736",1.57e-82,"ENSG00000145425","RPS3A"
"ENST00000504231.1",1.17e-78,"ENST00000504231.1","ENST00000504231",1.17e-78,"ENSG00000109475","RPL34"
"ENST00000302182.8",2.09e-77,"ENST00000302182.8","ENST00000302182",2.09e-77,"ENSG00000170315","UBB"
"ENST00000515792.5",3.4e-72,"ENST00000515792.5","ENST00000515792",3.4e-72,"ENSG00000145425","RPS3A"
"ENST00000709894.1",3.63e-69,"ENST00000709894.1","ENST00000709894",3.63e-69,"ENSG00000292158","RPS3A"
"ENST00000709904.1",3.71e-69,"ENST00000709904.1","ENST00000709904",3.71e-69,"ENSG00000292158","RPS3A"
"ENST00000237500.10",1.99e-67,"ENST00000237500.10","ENST00000237500",1.99e-67,"ENSG00000118680","MYL12B"
"ENST00000302907.9",1.31e-65,"ENST00000302907.9","ENST00000302907",1.31e-65,"ENSG00000170889","RPS9"
"ENST00000627260.1",5.38e-64,"ENST00000627260.1","ENST00000627260",5.38e-64,"ENSG00000280858","RPL7A"
"ENST00000616877.3",1.82e-63,"ENST00000616877.3","ENST00000616877",1.82e-63,"ENSG00000274950","RPS9"
"ENST00000229238.5",2.92e-61,"ENST00000229238.5","ENST00000229238",2.92e-61,"ENSG00000111639","MRPL51"
"ENST00000315731.4",2.06e-60,"ENST00000315731.4","ENST00000315731",2.06e-60,"ENSG00000148303","RPL7A"
"ENST00000467617.1",1.4e-58,"ENST00000467617.1","ENST00000467617",1.4e-58,"ENSG00000100387","RBX1"
"ENST00000697728.1",3.7e-57,"ENST00000697728.1","ENST00000697728",3.7e-57,"ENSG00000168028","RPSA"
"ENST00000398606.10",4.61e-56,"ENST00000398606.10","ENST00000398606",4.61e-56,"ENSG00000084207","GSTP1"
"ENST00000559081.1",1.2e-55,"ENST00000559081.1","ENST00000559081",1.2e-55,"ENSG00000140319","SRP14"
"ENST00000250498.9",1.26e-54,"ENST00000250498.9","ENST00000250498",1.26e-54,"ENSG00000129562","DAD1"
"ENST00000278572.10",1.54e-54,"ENST00000278572.10","ENST00000278572",1.54e-54,"ENSG00000149273","RPS3"
"ENST00000558243.1",1.23e-53,"ENST00000558243.1","ENST00000558243",1.23e-53,"ENSG00000140319","SRP14"
"ENST00000216225.9",2.84e-51,"ENST00000216225.9","ENST00000216225",2.84e-51,"ENSG00000100387","RBX1"
"ENST00000281031.5",5.21e-51,"ENST00000281031.5","ENST00000281031",5.21e-51,"ENSG00000151366","NDUFC2"
"ENST00000228306.8",8.46e-51,"ENST00000228306.8","ENST00000228306",8.46e-51,"ENSG00000089157","RPLP0"
"ENST00000370321.8",9.73e-50,"ENST00000370321.8","ENST00000370321",9.73e-50,"ENSG00000122406","RPL5"
"ENST00000529272.5",1.04e-49,"ENST00000529272.5","ENST00000529272",1.04e-49,"ENSG00000104529","EEF1D"
"ENST00000318388.11",1.24e-47,"ENST00000318388.11","ENST00000318388",1.24e-47,"ENSG00000178127","NDUFV2"
"ENST00000329967.11",6.29e-47,"ENST00000329967.11","ENST00000329967",6.29e-47,"ENSG00000184990","SIVA1"
"ENST00000223136.5",6.48e-46,"ENST00000223136.5","ENST00000223136",6.48e-46,"ENSG00000214253","FIS1"
"ENST00000469257.2",6.97e-46,"ENST00000469257.2","ENST00000469257",6.97e-46,"ENSG00000173812","EIF1"
"ENST00000300413.10",7.93e-46,"ENST00000300413.10","ENST00000300413",7.93e-46,"ENSG00000167088","SNRPD1"
"ENST00000316084.10",1.42e-45,"ENST00000316084.10","ENST00000316084",1.42e-45,"ENSG00000198034","RPS4X"
"ENST00000614737.4",1.21e-44,"ENST00000614737.4","ENST00000614737",1.21e-44,"ENSG00000278270","RPS9"
"ENST00000418824.3",8.65e-44,"ENST00000418824.3","ENST00000418824",8.65e-44,"ENSG00000293320",""
"ENST00000690968.2",8.65e-44,"ENST00000690968.2","ENST00000690968",8.65e-44,"ENSG00000293320",""
"ENST00000306185.8",6.39e-43,"ENST00000306185.8","ENST00000306185",6.39e-43,"ENSG00000172172","MRPL13"
"ENST00000261890.7",6.44e-42,"ENST00000261890.7","ENST00000261890",6.44e-42,"ENSG00000103769","RAB11A"
"ENST00000549098.5",9.08e-42,"ENST00000549098.5","ENST00000549098",9.08e-42,"ENSG00000089157","RPLP0"
"ENST00000675135.1",1.35e-41,"ENST00000675135.1","ENST00000675135",1.35e-41,"ENSG00000169567","HINT1"
"ENST00000290541.7",2.2e-41,"ENST00000290541.7","ENST00000290541",2.2e-41,"ENSG00000159377","PSMB4"
"ENST00000519374.6",2.34e-40,"ENST00000519374.6","ENST00000519374",2.34e-40,"ENSG00000113732","ATP6V0E1"
"ENST00000257857.9",1.06e-39,"ENST00000257857.9","ENST00000257857",1.06e-39,"ENSG00000135404","CD63"
"ENST00000218388.9",1.37e-39,"ENST00000218388.9","ENST00000218388",1.37e-39,"ENSG00000102265","TIMP1"
"ENST00000498205.5",1.95e-38,"ENST00000498205.5","ENST00000498205",1.95e-38,"ENSG00000114850","SSR3"
"ENST00000511203.1",2.28e-38,"ENST00000511203.1","ENST00000511203",2.28e-38,"ENSG00000164032","H2AZ1"
"ENST00000690204.1",5.98e-38,"ENST00000690204.1","ENST00000690204",5.98e-38,"ENSG00000147123","NDUFB11"
"ENST00000478842.5",1.28e-37,"ENST00000478842.5","ENST00000478842",1.28e-37,"ENSG00000114850","SSR3"
"ENST00000518164.5",1.28e-37,"ENST00000518164.5","ENST00000518164",1.28e-37,"ENSG00000156482","RPL30"
"ENST00000297258.11",1.75e-37,"ENST00000297258.11","ENST00000297258",1.75e-37,"ENSG00000164687","FABP5"
"ENST00000396359.1",1.75e-37,"ENST00000396359.1","ENST00000396359",1.75e-37,"ENSG00000164687","FABP5"
"ENST00000520998.1",1.82e-37,"ENST00000520998.1","ENST00000520998",1.82e-37,"ENSG00000156482","RPL30"
"ENST00000588234.6",3.32e-37,"ENST00000588234.6","ENST00000588234",3.32e-37,"ENSG00000104979","C19orf53"
"ENST00000511348.1",6.31e-37,"ENST00000511348.1","ENST00000511348",6.31e-37,"ENSG00000164032","H2AZ1"
"ENST00000389995.4",2.07e-36,"ENST00000389995.4","ENST00000389995",2.07e-36,"ENSG00000142168","SOD1"
"ENST00000229379.3",2.41e-36,"ENST00000229379.3","ENST00000229379",2.41e-36,"ENSG00000111775","COX6A1"
"ENST00000549525.1",2.41e-36,"ENST00000549525.1","ENST00000549525",2.41e-36,"ENSG00000111775","COX6A1"
"ENST00000372079.1",4.98e-36,"ENST00000372079.1","ENST00000372079",4.98e-36,"ENSG00000117450","PRDX1"
"ENST00000368811.8",1.09e-35,"ENST00000368811.8","ENST00000368811",1.09e-35,"ENSG00000197747","S100A10"
"ENST00000681658.1",2.79e-35,"ENST00000681658.1","ENST00000681658",2.79e-35,"ENSG00000166794","PPIB"
"ENST00000678135.1",3.27e-35,"ENST00000678135.1","ENST00000678135",3.27e-35,"ENSG00000145741","BTF3"
"ENST00000518657.6",5.63e-34,"ENST00000518657.6","ENST00000518657",5.63e-34,"ENSG00000147684","NDUFB9"
"ENST00000487500.2",3.17e-33,"ENST00000487500.2","ENST00000487500",3.17e-33,"ENSG00000147604","RPL7"
"ENST00000680343.1",3.38e-33,"ENST00000680343.1","ENST00000680343",3.38e-33,"ENSG00000166794","PPIB"
"ENST00000531188.6",5.02e-33,"ENST00000531188.6","ENST00000531188",5.02e-33,"ENSG00000149273","RPS3"
"ENST00000514455.5",5.77e-33,"ENST00000514455.5","ENST00000514455",5.77e-33,"ENSG00000204628","RACK1"
