gene_id,gene_name,isoform_id,isoform_switch_q_value,gene_switch_q_value,dIF,consequences
ENSG00000087884,AAMDC,ENSG00000087884_iso1,0.043847855,0.003961227,0.108252605,Domain_gain;NMD_affected
ENSG00000075239,ACAT1,ENSG00000075239_iso1,0.022481681,0.044854095,0.273426177,Domain_loss;Domain_gain
ENSG00000120437,ACAT2,ENSG00000120437_iso1,0.045806792,0.092146471,0.741098448,signal_peptide_affected
ENSG00000143727,ACP1,ENSG00000143727_iso1,0.048497756,0.020031335,0.467518596,signal_peptide_affected;ORF_shortening
ENSG00000075624,ACTB,ENSG00000075624_iso1,0.047152193,0.060026746,0.446604908,signal_peptide_affected
ENSG00000184009,ACTG1,ENSG00000184009_iso1,0.033299669,0.026316154,0.368356721,transmembrane_affected;signal_peptide_affected
ENSG00000291420,ACTG1,ENSG00000291420_iso1,0.03806643,0.022710953,0.710698699,ORF_shortening;transmembrane_affected;Domain_gain
ENSG00000139567,ACVRL1,ENSG00000139567_iso1,0.029737441,0.021312173,0.601772501,ORF_shortening
ENSG00000119640,ACYP1,ENSG00000119640_iso1,0.040866126,0.071851466,0.402920028,Domain_gain;NMD_affected;transmembrane_affected
ENSG00000100591,AHSA1,ENSG00000100591_iso1,0.039243133,0.084175439,0.217198684,Domain_gain;signal_peptide_affected
ENSG00000106305,AIMP2,ENSG00000106305_iso1,0.000418733,0.07984375,0.67305928,ORF_lengthening;ORF_shortening
ENSG00000106992,AK1,ENSG00000106992_iso1,0.045132852,0.015237449,0.131151936,transmembrane_affected;Domain_gain
ENSG00000004455,AK2,ENSG00000004455_iso1,0.00235722,0.02156689,0.480684062,Domain_gain;transmembrane_affected
ENSG00000085231,AK6,ENSG00000085231_iso1,0.007296137,0.053273924,0.304751755,NMD_affected
ENSG00000279247,AK6,ENSG00000279247_iso1,0.024845934,0.099537686,0.637725518,ORF_shortening
ENSG00000149925,ALDOA,ENSG00000149925_iso1,0.047731588,0.084598749,0.766542618,ORF_shortening;transmembrane_affected
ENSG00000253710,ALG11,ENSG00000253710_iso1,0.027888296,0.045901838,0.101193837,transmembrane_affected
ENSG00000141552,ANAPC11,ENSG00000141552_iso1,0.03046154,0.057755406,0.74217351,Domain_gain
ENSG00000110200,ANAPC15,ENSG00000110200_iso1,0.04216803,0.09498137,0.380049935,ORF_lengthening;NMD_affected
ENSG00000166295,ANAPC16,ENSG00000166295_iso1,0.022975731,0.015958448,0.653509426,Domain_loss;ORF_lengthening;Domain_gain
