transcript_id,q_value
ENST00000617605.4,1.68E-101
ENST00000553205.1,9.10E-94
ENST00000379060.8,2.11E-93
ENST00000509736.5,1.57E-82
ENST00000504231.1,1.17E-78
ENST00000302182.8,2.09E-77
ENST00000515792.5,3.40E-72
ENST00000709894.1,3.63E-69
ENST00000709904.1,3.71E-69
ENST00000237500.10,1.99E-67
ENST00000302907.9,1.31E-65
ENST00000627260.1,5.38E-64
ENST00000616877.3,1.82E-63
ENST00000229238.5,2.92E-61
ENST00000315731.4,2.06E-60
ENST00000467617.1,1.40E-58
ENST00000697728.1,3.70E-57
ENST00000398606.10,4.61E-56
ENST00000559081.1,1.20E-55
ENST00000250498.9,1.26E-54
ENST00000278572.10,1.54E-54
ENST00000558243.1,1.23E-53
ENST00000216225.9,2.84E-51
ENST00000281031.5,5.21E-51
ENST00000228306.8,8.46E-51
ENST00000370321.8,9.73E-50
ENST00000529272.5,1.04E-49
ENST00000318388.11,1.24E-47
ENST00000329967.11,6.29E-47
ENST00000223136.5,6.48E-46
ENST00000469257.2,6.97E-46
ENST00000300413.10,7.93E-46
ENST00000316084.10,1.42E-45
ENST00000614737.4,1.21E-44
ENST00000418824.3,8.65E-44
ENST00000690968.2,8.65E-44
ENST00000306185.8,6.39E-43
ENST00000261890.7,6.44E-42
ENST00000549098.5,9.08E-42
ENST00000675135.1,1.35E-41
ENST00000290541.7,2.20E-41
ENST00000519374.6,2.34E-40
ENST00000257857.9,1.06E-39
ENST00000218388.9,1.37E-39
ENST00000498205.5,1.95E-38
ENST00000511203.1,2.28E-38
ENST00000690204.1,5.98E-38
ENST00000478842.5,1.28E-37
ENST00000518164.5,1.28E-37
ENST00000297258.11,1.75E-37
ENST00000396359.1,1.75E-37
ENST00000520998.1,1.82E-37
ENST00000588234.6,3.32E-37
ENST00000511348.1,6.31E-37
ENST00000389995.4,2.07E-36
ENST00000229379.3,2.41E-36
ENST00000549525.1,2.41E-36
ENST00000372079.1,4.98E-36
ENST00000368811.8,1.09E-35
ENST00000681658.1,2.79E-35
ENST00000678135.1,3.27E-35
ENST00000518657.6,5.63E-34
ENST00000487500.2,3.17E-33
ENST00000680343.1,3.38E-33
ENST00000531188.6,5.02E-33
ENST00000514455.5,5.77E-33
ENST00000614113.5,1.30E-32
ENST00000229239.10,2.10E-32
ENST00000494074.1,4.06E-32
ENST00000319248.13,5.38E-32
ENST00000310837.8,1.54E-31
ENST00000478027.3,3.28E-31
ENST00000216455.9,8.28E-31
ENST00000248342.9,1.03E-30
ENST00000514505.7,2.97E-30
ENST00000678325.1,3.33E-30
ENST00000378364.8,3.75E-30
ENST00000551217.1,3.91E-30
ENST00000552292.5,4.18E-30
ENST00000396070.6,5.27E-30
ENST00000396861.5,5.38E-30
ENST00000373237.4,5.62E-30
ENST00000424576.6,9.09E-30
ENST00000619951.2,1.12E-29
ENST00000545681.2,1.19E-29
ENST00000395119.7,1.68E-29
ENST00000612074.5,1.89E-29
ENST00000396210.8,2.42E-29
ENST00000697734.1,3.90E-29
ENST00000262746.5,3.94E-29
ENST00000451122.5,4.66E-29
ENST00000376817.8,6.33E-29
ENST00000502905.5,6.84E-29
ENST00000643069.2,1.04E-28
ENST00000442551.5,1.61E-28
ENST00000469225.1,2.10E-28
ENST00000620041.5,2.10E-28
ENST00000578038.1,2.13E-28
ENST00000582475.1,3.41E-28
ENST00000270142.11,5.23E-28
ENST00000261700.8,9.16E-28
ENST00000228825.12,1.02E-27
ENST00000467622.2,1.02E-27
ENST00000635567.2,1.19E-27
ENST00000301587.9,1.28E-27
ENST00000250495.10,1.96E-27
ENST00000393394.5,2.64E-27
ENST00000631958.1,2.64E-27
ENST00000380635.5,6.16E-27
ENST00000380633.1,6.20E-27
ENST00000618321.1,2.34E-26
ENST00000013034.3,2.46E-26
ENST00000377493.9,1.40E-25
ENST00000575643.1,1.81E-25
ENST00000381719.8,3.11E-25
ENST00000037243.7,3.49E-25
ENST00000313104.9,3.77E-25
ENST00000445517.1,5.66E-25
ENST00000648006.3,1.07E-24
ENST00000374517.6,1.52E-24
ENST00000619426.5,1.71E-24
ENST00000578892.5,2.31E-24
ENST00000371317.10,2.75E-24
ENST00000222247.10,2.96E-24
ENST00000379542.10,2.96E-24
ENST00000584364.5,2.99E-24
ENST00000678034.1,5.64E-24
ENST00000681842.1,6.20E-24
ENST00000372635.1,7.86E-24
ENST00000508682.5,7.86E-24
ENST00000442995.4,7.86E-24
ENST00000439025.1,7.90E-24
ENST00000598098.5,1.32E-23
ENST00000507273.5,1.45E-23
ENST00000637516.1,1.55E-23
ENST00000583684.5,1.69E-23
ENST00000596314.5,1.82E-23
ENST00000546989.5,1.95E-23
ENST00000464658.1,1.95E-23
ENST00000510447.1,2.04E-23
ENST00000457444.6,2.25E-23
