gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000273686	ENST00000617605.4	476.5620923	1	1.20E-105	1.68E-101	0.203239688	0.528976703	1.380022032
ENSG00000089009	ENST00000553205.1	439.6458217	1	1.29E-97	9.10E-94	0.217232295	0.062206518	-1.804100931
ENSG00000133112	ENST00000379060.8	437.1625144	1	4.49E-97	2.11E-93	0.054673904	0.215561581	1.979175778
ENSG00000145425	ENST00000509736.5	386.6438904	1	4.45E-86	1.57E-82	0.159207054	0.020724822	-2.941472649
ENSG00000109475	ENST00000504231.1	368.4063793	1	4.16E-82	1.17E-78	0.065469051	0.004948918	-3.72562813
ENSG00000170315	ENST00000302182.8	362.2987231	1	8.89E-81	2.09E-77	0.19124378	0.465291126	1.282720846
ENSG00000145425	ENST00000515792.5	338.0591645	1	1.69E-75	3.40E-72	0.145390578	0.02016414	-2.850070029
ENSG00000292158	ENST00000709894.1	323.8849456	1	2.06E-72	3.63E-69	0.154773542	0.020821719	-2.893997788
ENSG00000292158	ENST00000709904.1	323.607625	1	2.37E-72	3.71E-69	0.152151904	0.019651926	-2.952769739
ENSG00000118680	ENST00000237500.10	315.4561083	1	1.41E-70	1.99E-67	0.27242935	0.533879078	0.970630874
ENSG00000170889	ENST00000302907.9	306.9176739	1	1.02E-68	1.31E-65	0.405460495	0.750033075	0.887392859
ENSG00000280858	ENST00000627260.1	299.3429354	1	4.58E-67	5.38E-64	0.292109589	0.112031661	-1.38260321
ENSG00000274950	ENST00000616877.3	296.7535221	1	1.68E-66	1.82E-63	0.356622345	0.725802648	1.025180218
ENSG00000111639	ENST00000229238.5	286.4809006	1	2.91E-64	2.92E-61	0.352782021	0.638105075	0.855016969
ENSG00000148303	ENST00000315731.4	282.4562069	1	2.19E-63	2.06E-60	0.291489298	0.112112232	-1.378499231
ENSG00000100387	ENST00000467617.1	273.9182549	1	1.59E-61	1.40E-58	0.106042612	0.010148962	-3.385239962
ENSG00000168028	ENST00000697728.1	267.2681782	1	4.47E-60	3.70E-57	0.041373275	0.149941716	1.857630755
ENSG00000084207	ENST00000398606.10	262.1311474	1	5.89E-59	4.61E-56	0.409082305	0.778369376	0.928063814
ENSG00000140319	ENST00000559081.1	260.1193314	1	1.62E-58	1.20E-55	0.123140373	0.016070634	-2.937805092
ENSG00000129562	ENST00000250498.9	255.3314662	1	1.79E-57	1.26E-54	0.654075189	0.90130104	0.462552567
ENSG00000149273	ENST00000278572.10	254.8364861	1	2.29E-57	1.54E-54	0.132957223	0.327050719	1.298552227
ENSG00000140319	ENST00000558243.1	250.5985025	1	1.92E-56	1.23E-53	0.116883174	0.014723229	-2.98890123
ENSG00000100387	ENST00000216225.9	239.6682974	1	4.65E-54	2.84E-51	0.882028235	0.982338822	0.155395876
ENSG00000151366	ENST00000281031.5	238.3796933	1	8.87E-54	5.21E-51	0.640844296	0.898242632	0.487131323
ENSG00000089157	ENST00000228306.8	237.3302955	1	1.50E-53	8.46E-51	0.053070705	0.168959936	1.670693575
ENSG00000122406	ENST00000370321.8	232.3880322	1	1.80E-52	9.73E-50	0.250742641	0.482926038	0.945594892
ENSG00000104529	ENST00000529272.5	232.1804103	1	1.99E-52	1.04E-49	0.080676371	0.21248743	1.397159397
ENSG00000178127	ENST00000318388.11	222.5893097	1	2.46E-50	1.24E-47	0.379698275	0.763490391	1.007756554
ENSG00000184990	ENST00000329967.11	219.2858984	1	1.29E-49	6.29E-47	0.448478728	0.820155987	0.870858765
ENSG00000214253	ENST00000223136.5	214.5742687	1	1.38E-48	6.48E-46	0.291058981	0.6316302	1.117768615
ENSG00000173812	ENST00000469257.2	214.3643924	1	1.53E-48	6.97E-46	0.286820836	0.476288809	0.731686819
ENSG00000167088	ENST00000300413.10	214.0429639	1	1.80E-48	7.93E-46	0.730146399	0.908451514	0.315223756
ENSG00000198034	ENST00000316084.10	212.8281996	1	3.32E-48	1.42E-45	0.901892884	0.982857228	0.124025765
ENSG00000278270	ENST00000614737.4	208.5016575	1	2.92E-47	1.21E-44	0.482449129	0.780204756	0.693475965
ENSG00000293320	ENST00000418824.3	204.4680463	1	2.21E-46	8.65E-44	0.256173442	0.052477318	-2.287355021
ENSG00000293320	ENST00000690968.2	204.4680463	1	2.21E-46	8.65E-44	0.743826558	0.947522682	0.34919422
ENSG00000172172	ENST00000306185.8	200.4353134	1	1.68E-45	6.39E-43	0.356771958	0.858823573	1.267359567
ENSG00000103769	ENST00000261890.7	195.7821986	1	1.74E-44	6.44E-42	0.236392656	0.565411594	1.258116252
ENSG00000089157	ENST00000549098.5	195.0482956	1	2.51E-44	9.08E-42	0.053777762	0.155691771	1.533611085
ENSG00000169567	ENST00000675135.1	194.2106496	1	3.83E-44	1.35E-41	0.036689326	0.00567367	-2.693006155
ENSG00000159377	ENST00000290541.7	193.1896975	1	6.40E-44	2.20E-41	0.236187313	0.488730444	1.049107507
ENSG00000113732	ENST00000519374.6	188.4322642	1	6.99E-43	2.34E-40	0.46729478	0.800388471	0.776367464
ENSG00000135404	ENST00000257857.9	185.3908726	1	3.22E-42	1.06E-39	0.140956094	0.248352522	0.817143542
ENSG00000102265	ENST00000218388.9	184.8305786	1	4.27E-42	1.37E-39	0.514596149	0.839812645	0.706626851
ENSG00000114850	ENST00000498205.5	179.4997175	1	6.23E-41	1.95E-38	0.115737008	0.016217708	-2.835208413
ENSG00000164032	ENST00000511203.1	179.1414314	1	7.46E-41	2.28E-38	0.166630896	0.033848077	-2.299510157
ENSG00000147123	ENST00000690204.1	177.1856096	1	1.99E-40	5.98E-38	0.060184797	0.00501582	-3.584841627
ENSG00000114850	ENST00000478842.5	175.6143847	1	4.40E-40	1.28E-37	0.113938181	0.016075014	-2.825359391
ENSG00000156482	ENST00000518164.5	175.5936357	1	4.44E-40	1.28E-37	0.096829954	0.035820791	-1.434656202
ENSG00000164687	ENST00000297258.11	174.8900328	1	6.33E-40	1.75E-37	0.702852433	0.932987378	0.408635743
ENSG00000164687	ENST00000396359.1	174.8900328	1	6.33E-40	1.75E-37	0.297147567	0.067012622	-2.148674808
ENSG00000156482	ENST00000520998.1	174.7716571	1	6.72E-40	1.82E-37	0.096769264	0.035891323	-1.430913778
ENSG00000104979	ENST00000588234.6	173.5394296	1	1.25E-39	3.32E-37	0.621832977	0.827131339	0.411589304
ENSG00000164032	ENST00000511348.1	172.2210213	1	2.42E-39	6.31E-37	0.172240856	0.038488388	-2.161932228
ENSG00000142168	ENST00000389995.4	169.8230604	1	8.09E-39	2.07E-36	0.169678125	0.048078397	-1.819339875
ENSG00000111775	ENST00000229379.3	169.4502238	1	9.76E-39	2.41E-36	0.881541768	0.981582603	0.155080753
ENSG00000111775	ENST00000549525.1	169.4502238	1	9.76E-39	2.41E-36	0.118458232	0.018417397	-2.685237383
ENSG00000117450	ENST00000372079.1	167.9731942	1	2.05E-38	4.98E-36	0.132194477	0.04350473	-1.603417727
ENSG00000197747	ENST00000368811.8	166.3865036	1	4.55E-38	1.09E-35	0.703472603	0.893091164	0.344313211
ENSG00000166794	ENST00000681658.1	164.4794923	1	1.19E-37	2.79E-35	0.122265727	0.025030713	-2.288248785
ENSG00000145741	ENST00000678135.1	164.1334805	1	1.41E-37	3.27E-35	0.114466518	0.02424866	-2.238948757
ENSG00000147684	ENST00000518657.6	158.4426134	1	2.48E-36	5.63E-34	0.070440228	0.011967626	-2.557262566
ENSG00000147604	ENST00000487500.2	154.9716319	1	1.42E-35	3.17E-33	0.191281631	0.018222098	-3.391937393
ENSG00000166794	ENST00000680343.1	154.818667	1	1.53E-35	3.38E-33	0.119765813	0.024719479	-2.276495903
ENSG00000149273	ENST00000531188.6	153.9993636	1	2.32E-35	5.02E-33	0.23731633	0.409783412	0.788050205
ENSG00000204628	ENST00000514455.5	153.6909399	1	2.71E-35	5.77E-33	0.080138824	0.026365778	-1.603834769
ENSG00000105974	ENST00000614113.5	152.040905	1	6.21E-35	1.30E-32	0.045546077	0.137025004	1.589040461
ENSG00000111640	ENST00000229239.10	151.0625017	1	1.02E-34	2.10E-32	0.146491682	0.240034989	0.712425965
ENSG00000143198	ENST00000494074.1	149.7262079	1	1.99E-34	4.06E-32	0.043197418	0.006228439	-2.794002627
