gene_id,transcript_id,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENSG00000000003,ENST00000373020.9,14,18,20,20,22,5,24,13
ENSG00000000003,ENST00000496771.5,1,1,0,0,0,0,0,1
ENSG00000000003,ENST00000612152.4,6,6,10,9,9,3,12,4
ENSG00000000419,ENST00000371582.8,26,41,37,27,27,22,35,37
ENSG00000000419,ENST00000371584.9,3,17,8,6,8,3,7,12
ENSG00000000419,ENST00000371588.10,24,36,32,25,29,20,34,37
ENSG00000000419,ENST00000466152.5,24,36,33,26,28,22,34,37
ENSG00000000419,ENST00000494752.1,3,8,3,2,4,1,0,2
ENSG00000000419,ENST00000681979.1,0,3,0,0,0,0,0,6
ENSG00000000419,ENST00000682366.1,0,2,0,0,0,0,0,0
ENSG00000000419,ENST00000683048.1,11,12,17,14,9,6,9,5
ENSG00000000419,ENST00000684193.1,2,0,0,0,0,0,0,0
ENSG00000000419,ENST00000684628.1,0,1,0,0,1,0,0,0
ENSG00000000419,ENST00000684708.1,0,3,0,1,0,0,1,5
ENSG00000000457,ENST00000367771.11,4,5,8,4,8,0,5,3
ENSG00000000457,ENST00000367772.8,4,5,8,4,8,0,6,3
ENSG00000000457,ENST00000470238.1,4,5,8,4,8,1,5,3
ENSG00000000460,ENST00000286031.10,4,2,0,4,0,0,6,0
ENSG00000000460,ENST00000359326.9,4,2,0,4,0,0,6,1
ENSG00000000460,ENST00000413811.3,4,2,0,4,1,0,6,0
ENSG00000000460,ENST00000459772.5,4,2,0,3,0,0,6,2
ENSG00000000460,ENST00000481744.5,0,5,0,0,0,0,0,2
ENSG00000000460,ENST00000496973.5,0,2,1,1,0,0,0,0
ENSG00000000460,ENST00000498289.5,4,2,1,2,2,0,7,2
ENSG00000000971,ENST00000359637.3,0,2,0,4,0,0,2,0
ENSG00000000971,ENST00000367429.9,0,4,6,1,0,0,1,1
ENSG00000000971,ENST00000466229.5,1,6,3,1,1,0,0,2
ENSG00000000971,ENST00000470918.2,1,2,2,5,1,0,1,0
ENSG00000000971,ENST00000630130.2,0,2,2,4,0,0,3,1
ENSG00000000971,ENST00000695969.1,0,0,1,0,0,0,0,0
ENSG00000000971,ENST00000695970.1,1,2,2,3,3,0,1,0
ENSG00000000971,ENST00000695971.1,1,9,3,1,2,0,0,2
ENSG00000000971,ENST00000695972.1,0,4,3,0,3,0,0,0
ENSG00000000971,ENST00000695973.1,3,3,1,2,0,0,2,0
ENSG00000000971,ENST00000695974.1,0,4,3,3,0,0,1,0
ENSG00000000971,ENST00000695975.1,2,5,4,1,3,0,5,0
ENSG00000000971,ENST00000695976.1,0,3,3,2,1,0,2,1
ENSG00000000971,ENST00000695978.1,1,0,3,4,1,0,3,0
ENSG00000000971,ENST00000695979.1,0,2,1,2,0,0,3,0
ENSG00000000971,ENST00000695984.1,0,3,3,4,0,0,1,0
ENSG00000000971,ENST00000695986.1,2,5,3,4,0,0,3,0
ENSG00000000971,ENST00000695987.1,0,2,0,4,0,0,3,0
ENSG00000000971,ENST00000695990.1,0,4,0,4,0,0,2,0
ENSG00000000971,ENST00000696018.1,0,1,3,0,0,0,0,2
ENSG00000000971,ENST00000696019.1,1,2,0,0,0,1,0,0
ENSG00000000971,ENST00000696020.1,0,2,1,0,0,0,0,0
ENSG00000000971,ENST00000696022.1,0,2,1,1,0,0,1,1
ENSG00000000971,ENST00000696023.1,0,2,0,3,0,0,2,0
ENSG00000000971,ENST00000696024.1,0,0,1,0,0,0,0,0
ENSG00000000971,ENST00000696025.1,0,0,1,0,0,0,0,0
ENSG00000000971,ENST00000696026.1,0,2,0,4,2,0,2,2
ENSG00000000971,ENST00000696027.1,2,4,2,4,0,0,0,2
ENSG00000000971,ENST00000696028.1,2,1,2,4,0,0,4,1
ENSG00000000971,ENST00000696029.1,1,2,3,6,1,0,0,0
ENSG00000000971,ENST00000696030.1,0,2,0,3,0,0,3,0
ENSG00000000971,ENST00000696031.1,0,3,1,6,1,0,1,2
ENSG00000001036,ENST00000002165.11,26,42,32,9,16,4,19,11
ENSG00000001036,ENST00000367585.1,2,2,6,2,4,1,2,5
ENSG00000001084,ENST00000509541.5,0,2,2,0,0,0,2,3
ENSG00000001084,ENST00000515580.1,0,0,2,0,0,0,0,0
ENSG00000001084,ENST00000616923.5,0,0,2,1,0,0,0,3
ENSG00000001084,ENST00000650454.1,0,2,2,0,0,0,2,3
ENSG00000001167,ENST00000341376.11,5,10,6,5,0,0,3,7
ENSG00000001167,ENST00000353205.5,3,0,1,0,0,0,0,1
ENSG00000001460,ENST00000003583.12,3,5,3,4,0,0,0,0
ENSG00000001460,ENST00000337248.9,3,6,7,4,0,0,1,4
ENSG00000001460,ENST00000374409.5,3,5,2,3,1,0,0,0
ENSG00000001460,ENST00000435187.1,0,0,1,0,0,0,0,0
ENSG00000001460,ENST00000468303.5,3,6,7,4,0,0,0,4
ENSG00000001460,ENST00000498488.5,1,0,4,3,3,0,0,0
ENSG00000001461,ENST00000339255.2,0,2,1,4,0,0,1,0
