ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0005840,ribosome,22/68,155/2641,0.141935484,5.512523719,9.411770125,7.40E-12,4.15E-10,3.84E-10,RPL17/RPS3A/RPS8/RPLP1/RPLP2/RPL7/RPL7A/RPL27A/RPS18/RPL5/RPL26/RPSA/RPL35A/RPL30/RPL31/RPL21/RPS20/RPL14/MRPL51/RPLP0/RPS6/RPL13A,22,,,GO:0005840
GO:0005925,focal adhesion,18/68,188/2641,0.095744681,3.718554443,6.286439091,5.33E-07,1.49E-05,1.38E-05,B2M/RPS3A/RPS8/RPLP1/RPLP2/RPL7/RPL7A/PPIB/RPS18/RPL5/PPIA/CAV1/HSPB1/RPL30/RPL31/BSG/RPLP0/RPL13A,18,,,GO:0005925
GO:0015934,large ribosomal subunit,16/68,83/2641,0.192771084,7.486888731,9.760268193,8.31E-11,3.72E-09,3.45E-09,RPL17/RPLP1/RPLP2/RPL7/RPL7A/RPL27A/RPL5/RPL26/RPL35A/RPL30/RPL31/RPL21/RPL14/MRPL51/RPLP0/RPL13A,16,,,GO:0015934
GO:0015935,small ribosomal subunit,jun-68,56/2641,0.107142857,4.161239496,3.886490995,0.002747501,0.047341549,0.043826528,RPS3A/RPS8/RPS18/RPSA/RPS20/RPS6,6,,,GO:0015935
GO:0016459,myosin complex,abr-68,oct-41,0.4,15.53529412,7.485139982,7.52E-05,0.001684214,0.001559164,MYL12A/MYL12B/MYL6/MYL6B,4,,,
GO:0022625,cytosolic large ribosomal subunit,15/68,46/2641,0.326086957,12.66464194,12.97233555,8.04E-14,9.00E-12,8.33E-12,RPL17/RPLP1/RPLP2/RPL7/RPL7A/RPL27A/RPL5/RPL26/RPL35A/RPL30/RPL31/RPL21/RPL14/RPLP0/RPL13A,15,,,GO:0022625
GO:0022626,cytosolic ribosome,21/68,84/2641,0.25,9.709558824,13.18581452,1.57E-16,3.52E-14,3.26E-14,RPL17/RPS3A/RPS8/RPLP1/RPLP2/RPL7/RPL7A/RPL27A/RPS18/RPL5/RPL26/RPSA/RPL35A/RPL30/RPL31/RPL21/RPS20/RPL14/RPLP0/RPS6/RPL13A,21,,,GO:0022626
GO:0022627,cytosolic small ribosomal subunit,jun-68,33/2641,0.181818182,7.061497326,5.695339546,0.000149365,0.003041611,0.002815777,RPS3A/RPS8/RPS18/RPSA/RPS20/RPS6,6,,,GO:0022627
GO:0030054,cell junction,24/68,462/2641,0.051948052,2.017570665,3.913753578,0.000277022,0.005171069,0.004787127,B2M/RPS3A/RPS8/RPLP1/RPLP2/RPL7/RPL7A/PPIB/RPL27A/RPS18/RPL5/RPL26/PPIA/CAV1/PSMA3/RPL35A/HSPB1/RPL30/RPL31/RPS20/BSG/RPL14/RPLP0/RPL13A,24,,,GO:0030054
GO:0030055,cell-substrate junction,18/68,188/2641,0.095744681,3.718554443,6.286439091,5.33E-07,1.49E-05,1.38E-05,B2M/RPS3A/RPS8/RPLP1/RPLP2/RPL7/RPL7A/PPIB/RPS18/RPL5/PPIA/CAV1/HSPB1/RPL30/RPL31/BSG/RPLP0/RPL13A,18,,,GO:0030055
GO:0044391,ribosomal subunit,22/68,138/2641,0.15942029,6.191602728,10.18232834,6.33E-13,4.73E-11,4.37E-11,RPL17/RPS3A/RPS8/RPLP1/RPLP2/RPL7/RPL7A/RPL27A/RPS18/RPL5/RPL26/RPSA/RPL35A/RPL30/RPL31/RPL21/RPS20/RPL14/MRPL51/RPLP0/RPS6/RPL13A,22,,,GO:0044391
GO:0070161,anchoring junction,18/68,248/2641,0.072580645,2.818904175,4.891035753,3.00E-05,0.000747764,0.000692244,B2M/RPS3A/RPS8/RPLP1/RPLP2/RPL7/RPL7A/PPIB/RPS18/RPL5/PPIA/CAV1/HSPB1/RPL30/RPL31/BSG/RPLP0/RPL13A,18,,,GO:0070161
GO:1990904,ribonucleoprotein complex,24/68,315/2641,0.076190476,2.959103641,6.022050044,3.20E-07,1.19E-05,1.11E-05,RPL17/RPS3A/RPS8/RPLP1/RPLP2/SNRPD1/RPL7/RPL7A/RPL27A/RPS18/RPL5/RPL26/SLIRP/RPSA/RPL35A/RPL30/RPL31/RPL21/RPS20/RPL14/MRPL51/RPLP0/RPS6/RPL13A,24,,,GO:1990904
