gene_id,gene_name,isoform_id,isoform_switch_q_value,gene_switch_q_value,dIF,consequences
ENSG00000113732,ATP6V0E1,ENSG00000113732_iso1,0.031799249,0.041678517,0.191480124,transmembrane_affected
ENSG00000273686,B2M,ENSG00000273686_iso1,0.004432147,0.089641337,0.112642746,ORF_lengthening;signal_peptide_affected
ENSG00000172270,BSG,ENSG00000172270_iso1,0.029561799,0.071464571,0.598236616,ORF_shortening;transmembrane_affected
ENSG00000105974,CAV1,ENSG00000105974_iso1,0.02095827,0.022062074,0.60603166,ORF_shortening;ORF_lengthening;Domain_gain
ENSG00000135404,CD63,ENSG00000135404_iso1,0.024194152,0.023623947,0.612272965,Domain_gain;ORF_lengthening;signal_peptide_affected
ENSG00000111328,CDK2AP1,ENSG00000111328_iso1,0.019781282,0.098925987,0.16456932,signal_peptide_affected;ORF_shortening
ENSG00000181924,COA4,ENSG00000181924_iso1,0.045824659,0.089596913,0.734083425,transmembrane_affected;signal_peptide_affected
ENSG00000214756,CSKMT,ENSG00000214756_iso1,0.000892875,0.041738601,0.469758704,Domain_gain
ENSG00000283391,EEF1B2,ENSG00000283391_iso1,0.015255742,0.071506529,0.210080782,Domain_loss;NMD_affected;ORF_shortening
ENSG00000034713,GABARAPL2,ENSG00000034713_iso1,0.020427462,0.009951799,0.665604407,transmembrane_affected;ORF_shortening;NMD_affected
ENSG00000167468,GPX4,ENSG00000167468_iso1,0.010105409,0.029059283,0.66057862,ORF_lengthening;ORF_shortening;transmembrane_affected
ENSG00000084207,GSTP1,ENSG00000084207_iso1,0.045695261,0.064898075,0.103684557,ORF_shortening
ENSG00000169567,HINT1,ENSG00000169567_iso1,0.014667686,0.023471121,0.751584562,Domain_loss
ENSG00000189403,HMGB1,ENSG00000189403_iso1,0.024172664,0.013912495,0.649041872,transmembrane_affected;Domain_loss
ENSG00000198830,HMGN2,ENSG00000198830_iso1,0.036648737,0.05674801,0.211255207,transmembrane_affected
ENSG00000106211,HSPB1,ENSG00000106211_iso1,0.003197766,0.064007759,0.312602258,Domain_gain;ORF_shortening;Domain_loss
ENSG00000100097,LGALS1,ENSG00000100097_iso1,0.046361261,0.01440908,0.332240474,ORF_lengthening;Domain_gain
ENSG00000240972,MIF,ENSG00000240972_iso1,0.014283078,0.036085817,0.532086265,ORF_lengthening;signal_peptide_affected;ORF_shortening
ENSG00000276701,MIF,ENSG00000276701_iso1,0.009813305,0.070316716,0.774539706,signal_peptide_affected;ORF_shortening
ENSG00000111639,MRPL51,ENSG00000111639_iso1,0.042976129,0.05117165,0.418497281,ORF_lengthening;NMD_affected;transmembrane_affected
ENSG00000101608,MYL12A,ENSG00000101608_iso1,0.018788789,0.085218967,0.610847347,transmembrane_affected
ENSG00000118680,MYL12B,ENSG00000118680_iso1,0.04193856,0.050183523,0.381751018,ORF_shortening
ENSG00000092841,MYL6,ENSG00000092841_iso1,0.02324889,0.018056488,0.794615453,NMD_affected
