transcript_id,q_value
ENST00000498385.1,1.55E-08
ENST00000625385.1,1.55E-08
ENST00000398606.10,2.03E-08
ENST00000584364.5,1.38E-06
ENST00000617605.4,1.38E-06
ENST00000709904.1,2.93E-06
ENST00000578038.1,8.81E-06
ENST00000464658.1,1.11E-05
ENST00000488122.2,1.89E-05
ENST00000321153.9,2.92E-05
ENST00000594728.1,3.15E-05
ENST00000302979.5,3.69E-05
ENST00000372209.3,4.92E-05
ENST00000215754.8,0.000190419
ENST00000613839.2,0.000190419
ENST00000709894.1,0.000445737
ENST00000533567.5,0.000554893
ENST00000341423.10,0.000771332
ENST00000509736.5,0.001201428
ENST00000515792.5,0.001201428
ENST00000506126.5,0.001303357
ENST00000237500.10,0.001947577
ENST00000300413.10,0.001947577
ENST00000510993.1,0.002472316
ENST00000487500.2,0.002826806
ENST00000484604.5,0.003245214
ENST00000281031.5,0.003513567
ENST00000316425.9,0.003734195
ENST00000315731.4,0.003848505
ENST00000680343.1,0.003848505
ENST00000530913.1,0.004142943
ENST00000461925.1,0.004406059
ENST00000602163.1,0.007157431
ENST00000627260.1,0.007157431
ENST00000549566.5,0.00804863
ENST00000370321.8,0.00827058
ENST00000578069.1,0.009920321
ENST00000494484.1,0.009920321
ENST00000676977.1,0.009920321
ENST00000552568.5,0.009920321
ENST00000371657.9,0.009920321
ENST00000519374.6,0.010238186
ENST00000581373.5,0.010238186
ENST00000405348.6,0.010821934
ENST00000548580.5,0.010885776
ENST00000257857.9,0.011915748
ENST00000579226.5,0.012466827
ENST00000507327.5,0.012466827
ENST00000216455.9,0.014886811
ENST00000556956.1,0.014886811
ENST00000697734.1,0.014886811
ENST00000601937.5,0.014886811
ENST00000496582.5,0.014886811
ENST00000302182.8,0.015465096
ENST00000675134.1,0.015546742
ENST00000305366.8,0.015546742
ENST00000525722.1,0.015546742
ENST00000451122.5,0.016170609
ENST00000466194.1,0.016170609
ENST00000637516.1,0.016211469
ENST00000495394.2,0.016824173
ENST00000472321.1,0.017255877
ENST00000677521.1,0.017255877
ENST00000545255.1,0.017297527
ENST00000442341.5,0.017297527
ENST00000398603.6,0.017804202
ENST00000261700.8,0.017804202
ENST00000379060.8,0.017804202
ENST00000520998.1,0.018050752
ENST00000329092.12,0.018111503
ENST00000340385.6,0.018303143
ENST00000470017.1,0.018303143
ENST00000418824.3,0.019062775
ENST00000690968.2,0.019062775
ENST00000614113.5,0.019298449
ENST00000379056.5,0.019298449
ENST00000518164.5,0.019298449
ENST00000593892.5,0.019298449
ENST00000479126.1,0.019298449
ENST00000379270.5,0.020294753
ENST00000037243.7,0.020899652
ENST00000355693.5,0.021067216
ENST00000544890.1,0.02110954
ENST00000490277.1,0.02110954
ENST00000357790.5,0.02110954
ENST00000589115.6,0.02110954
ENST00000409000.5,0.021421065
ENST00000678805.1,0.023120982
ENST00000527517.1,0.024977899
ENST00000547157.1,0.026283868
ENST00000616577.4,0.02641779
ENST00000675135.1,0.026936846
ENST00000526433.1,0.026936846
ENST00000584441.5,0.027704439
ENST00000472441.1,0.029390925
ENST00000681658.1,0.031584797
ENST00000044462.12,0.032562242
ENST00000485756.1,0.033292845
ENST00000520490.1,0.037741776
ENST00000529421.5,0.037923021
ENST00000548400.5,0.038340228
ENST00000215909.10,0.039985895
ENST00000493418.1,0.039985895
ENST00000474582.1,0.040985084
ENST00000393467.1,0.042123793
ENST00000576984.3,0.043774486
ENST00000530398.1,0.044902808
ENST00000481798.1,0.045108523
ENST00000493716.1,0.045111301
ENST00000358572.10,0.045111301
ENST00000354193.5,0.046054367
ENST00000460922.2,0.046711269
ENST00000229238.5,0.046711269
ENST00000553981.1,0.046711269
ENST00000552292.5,0.047018863
ENST00000498815.1,0.047308139
ENST00000621674.4,0.047831762
ENST00000549017.5,0.048536802
ENST00000519911.5,0.048536802
ENST00000549041.1,0.053360471
ENST00000546989.5,0.053570202
ENST00000579618.1,0.053570202
ENST00000619603.1,0.053570202
ENST00000489315.5,0.053906497
ENST00000482103.1,0.053906497
ENST00000472515.1,0.053906497
ENST00000521734.1,0.053906497
ENST00000526222.5,0.053906497
ENST00000391867.8,0.054147511
ENST00000598098.5,0.055805158
ENST00000541090.1,0.05653556
ENST00000540056.5,0.057072694
ENST00000478027.3,0.057072694
ENST00000498205.5,0.057971552
ENST00000697716.1,0.057971552
ENST00000389995.4,0.057971552
ENST00000553205.1,0.058268473
ENST00000222008.11,0.058268473
ENST00000300452.8,0.058268473
ENST00000442551.5,0.05965092
ENST00000486421.1,0.060110187
ENST00000584583.2,0.060252619
ENST00000261890.7,0.060736421
ENST00000330899.5,0.060828742
ENST00000495015.5,0.060828742
ENST00000556221.1,0.062219219
ENST00000356708.12,0.062219219
ENST00000302422.4,0.062466047
ENST00000478842.5,0.062985904
ENST00000645698.1,0.062985904
ENST00000474171.1,0.062985904
ENST00000639136.2,0.062985904
ENST00000313104.9,0.064491715
ENST00000366744.5,0.064932883
ENST00000598956.5,0.067499801
ENST00000370873.9,0.069449823
ENST00000320623.10,0.069449823
ENST00000518587.2,0.069449823
ENST00000480120.5,0.070170077
ENST00000482732.1,0.075112968
ENST00000278572.10,0.075112968
ENST00000417181.5,0.075112968
ENST00000678376.1,0.078048063
ENST00000533070.5,0.078191641
ENST00000541630.5,0.078444722
ENST00000351986.10,0.078683774
ENST00000561139.2,0.07992749
ENST00000467591.1,0.082291139
ENST00000543796.6,0.083576331
ENST00000677048.1,0.084867377
ENST00000380635.5,0.086282552
ENST00000476300.1,0.087366341
ENST00000396070.6,0.087366341
ENST00000531975.5,0.087366341
ENST00000380633.1,0.087366341
ENST00000520627.1,0.093363231
ENST00000461102.1,0.094092644
ENST00000532998.5,0.094198776
ENST00000374517.6,0.095644677
ENST00000415862.6,0.095644677
ENST00000229239.10,0.095691106
ENST00000613865.5,0.096281389
ENST00000678713.1,0.096281389
ENST00000485439.5,0.097823854
ENST00000550550.5,0.097861249
ENST00000409406.1,0.097896144
ENST00000518669.5,0.098475064
ENST00000697732.1,0.101282222
ENST00000483765.5,0.102435833
ENST00000633919.1,0.102992284
ENST00000599874.5,0.104109079
ENST00000394795.6,0.105128305
ENST00000632799.1,0.107118659
ENST00000464211.6,0.107383121
ENST00000642202.1,0.108297691
ENST00000463831.1,0.112552277
ENST00000697735.1,0.113578147
ENST00000697733.1,0.115573069
ENST00000406022.6,0.11615097
ENST00000580755.1,0.11615097
ENST00000602153.5,0.117664046
ENST00000541754.1,0.117956186
ENST00000358227.5,0.119142696
ENST00000576017.1,0.121590951
ENST00000396651.8,0.122893822
ENST00000638558.1,0.122893822
ENST00000511787.1,0.124632136
ENST00000503467.1,0.125436364
ENST00000474253.1,0.127142798
ENST00000497874.5,0.1273915
ENST00000429064.1,0.1273915
ENST00000536368.1,0.127599047
ENST00000643318.1,0.128112149
ENST00000508768.5,0.128112149
ENST00000430433.5,0.128112149
ENST00000678789.1,0.128112149
ENST00000710747.1,0.128112149
ENST00000473809.5,0.12943337
ENST00000586967.2,0.134456282
ENST00000561748.2,0.136627705
ENST00000371317.10,0.137803654
ENST00000369713.10,0.137819587
ENST00000592700.2,0.144171902
ENST00000635567.2,0.147552122
ENST00000608951.5,0.147901334
ENST00000676589.1,0.149650549
ENST00000618321.1,0.149650549
ENST00000487970.1,0.149942247
ENST00000542647.5,0.151269349
ENST00000490191.5,0.15145268
ENST00000488946.1,0.155135526
ENST00000558102.1,0.156315194
ENST00000566130.1,0.157400193
ENST00000248342.9,0.157400193
ENST00000274606.8,0.164280013
ENST00000543988.1,0.164280013
ENST00000296930.10,0.164280013
ENST00000541455.1,0.164280013
ENST00000215570.8,0.169003764
ENST00000591871.1,0.169003764
ENST00000504231.1,0.169003764
ENST00000651476.1,0.169003764
ENST00000645195.1,0.169003764
ENST00000315758.10,0.169003764
ENST00000559273.1,0.169003764
ENST00000548548.1,0.169003764
ENST00000709897.1,0.169003764
ENST00000582475.1,0.174268094
ENST00000535434.5,0.175173699
ENST00000629845.1,0.178713894
ENST00000511075.5,0.180622061
ENST00000461263.2,0.181791309
ENST00000458500.5,0.181791309
ENST00000531188.6,0.181791309
ENST00000399697.7,0.183603598
ENST00000528048.5,0.184275101
ENST00000484464.5,0.184536994
ENST00000396861.5,0.184541004
ENST00000490140.1,0.184541004
ENST00000356493.10,0.184541004
ENST00000677357.1,0.184541004
ENST00000488492.5,0.184541004
ENST00000624056.1,0.186845943
ENST00000695858.1,0.186845943
ENST00000679224.1,0.187883214
ENST00000392369.6,0.187883214
ENST00000593254.1,0.187883214
ENST00000483581.1,0.187883214
ENST00000393394.5,0.187883214
ENST00000631958.1,0.187883214
ENST00000488464.6,0.190829604
ENST00000447375.1,0.191238499
ENST00000678187.1,0.192218707
ENST00000465956.1,0.193312368
ENST00000601048.6,0.193620382
ENST00000470475.1,0.195195146
ENST00000618690.4,0.196893188
ENST00000509877.5,0.196942277
ENST00000481508.1,0.198596536
ENST00000567057.5,0.198596536
ENST00000525297.5,0.202705961
ENST00000472467.1,0.202705961
ENST00000256680.10,0.204866822
ENST00000557290.1,0.205064707
ENST00000228825.12,0.205200838
ENST00000467622.2,0.205200838
ENST00000530170.1,0.205200838
ENST00000473500.5,0.211079986
ENST00000639959.1,0.211079986
ENST00000480528.1,0.211079986
ENST00000528619.5,0.211737764
ENST00000530705.6,0.212560457
ENST00000481189.1,0.212560457
ENST00000703966.1,0.21294161
ENST00000495401.5,0.21294161
ENST00000487892.1,0.21294161
ENST00000548342.5,0.213004349
ENST00000521672.6,0.213004349
ENST00000511175.1,0.215128526
ENST00000565355.1,0.215128526
