gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000240972	ENST00000498385.1	49.17908964	1	2.34E-12	1.55E-08	0.03272995	0.074442693	1.185518843
ENSG00000276701	ENST00000625385.1	49.35171497	1	2.14E-12	1.55E-08	0.03265174	0.075576981	1.210787018
ENSG00000084207	ENST00000398606.10	47.85983994	1	4.58E-12	2.03E-08	0.778015227	0.824221826	0.083234276
ENSG00000265681	ENST00000584364.5	38.60046198	1	5.20E-10	1.38E-06	0.009801505	0.006662437	-0.556953201
ENSG00000273686	ENST00000617605.4	38.69451392	1	4.96E-10	1.38E-06	0.670402796	0.749785679	0.161450105
ENSG00000292158	ENST00000709904.1	36.78002632	1	1.32E-09	2.93E-06	0.015413228	0.007945799	-0.955904907
ENSG00000101608	ENST00000578038.1	34.33373336	1	4.64E-09	8.81E-06	0.046230889	0.028225589	-0.711853448
ENSG00000142937	ENST00000464658.1	33.63122651	1	6.66E-09	1.11E-05	0.026387924	0.018174275	-0.537980013
ENSG00000137818	ENST00000488122.2	32.35974089	1	1.28E-08	1.89E-05	0.007925132	0.005268843	-0.588948724
ENSG00000177600	ENST00000321153.9	31.31311026	1	2.20E-08	2.92E-05	0.902946837	0.91587543	0.02051034
ENSG00000214756	ENST00000594728.1	30.97920824	1	2.61E-08	3.15E-05	0.076947708	0.048557361	-0.664188337
ENSG00000186184	ENST00000302979.5	30.50024929	1	3.34E-08	3.69E-05	0.451664664	0.557533721	0.303807015
ENSG00000142937	ENST00000372209.3	29.7891673	1	4.82E-08	4.92E-05	0.043069015	0.033291965	-0.371476307
ENSG00000240972	ENST00000215754.8	26.89201083	1	2.15E-07	0.000190419	0.798192671	0.738846292	-0.111462771
ENSG00000276701	ENST00000613839.2	26.95784415	1	2.08E-07	0.000190419	0.79823944	0.736732892	-0.115679909
ENSG00000292158	ENST00000709894.1	25.12544093	1	5.37E-07	0.000445737	0.016300579	0.009631939	-0.759025124
ENSG00000133112	ENST00000533567.5	24.58632077	1	7.11E-07	0.000554893	0.023666875	0.015955657	-0.568801188
ENSG00000189403	ENST00000341423.10	23.84192735	1	1.05E-06	0.000771332	0.372380464	0.4534549	0.284181681
ENSG00000145425	ENST00000509736.5	22.81563449	1	1.78E-06	0.001201428	0.015396698	0.009011675	-0.772753725
ENSG00000145425	ENST00000515792.5	22.78692982	1	1.81E-06	0.001201428	0.013853625	0.007738905	-0.840062075
ENSG00000145425	ENST00000506126.5	22.53671599	1	2.06E-06	0.001303357	0.02213686	0.014384538	-0.62193172
ENSG00000118680	ENST00000237500.10	21.63380605	1	3.30E-06	0.001947577	0.533829923	0.581267381	0.122821776
ENSG00000167088	ENST00000300413.10	21.59113419	1	3.37E-06	0.001947577	0.908366509	0.938011401	0.046330942
ENSG00000145425	ENST00000510993.1	21.05220302	1	4.47E-06	0.002472316	0.018334516	0.011575808	-0.663449261
ENSG00000147604	ENST00000487500.2	20.71734915	1	5.32E-06	0.002826806	0.026432642	0.017797963	-0.570608528
ENSG00000133112	ENST00000484604.5	20.37803926	1	6.36E-06	0.003245214	0.031153442	0.022883306	-0.445096062
ENSG00000151366	ENST00000281031.5	20.15383085	1	7.15E-06	0.003513567	0.898090177	0.935429416	0.058768484
ENSG00000179029	ENST00000316425.9	19.96781413	1	7.88E-06	0.003734195	0.007799708	0.018835558	1.271966742
ENSG00000148303	ENST00000315731.4	19.77828045	1	8.70E-06	0.003848505	0.112192713	0.088245334	-0.346387085
ENSG00000166794	ENST00000680343.1	19.82268515	1	8.50E-06	0.003848505	0.024340237	0.01647733	-0.562860716
ENSG00000166441	ENST00000530913.1	19.57474809	1	9.67E-06	0.004142943	0.006283889	0.004800371	-0.388511907
ENSG00000235650	ENST00000461925.1	19.39648958	1	1.06E-05	0.004406059	0.005103893	0.002650416	-0.945379498
