ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0000502,proteasome complex,13/254,45/2171,0.288888889,2.46920385,3.624452005,0.001302681,0.014329493,0.012518124,PSMA3/PSMB3/PSMA7/PSMA4/PSMB6/HSPB1/PSMB5/PSMB4/PSMB2/SEM1/PSMA2/PSMB7/PSMA6,13,,,
GO:0005730,nucleolus,43/254,230/2171,0.186956522,1.597963026,3.490287086,0.000681746,0.008302691,0.007253162,RPL34/RPS9/RPL23/RPS11/RPS3/RPL7/RPL26/RPS25/RPS16/RPL23A/SNU13/RPL5/CSTB/RPS24/RPS5/TAF1D/RPS17/RPL27/RPS3A/RPS7/RPS15A/RPS6/RPS13/EXOSC1/POLR1D/SNHG29/GTF2H5/RPL12/SUB1/RPS8/RPL7A/RPL18/RPS28/RPS27A/RPL19/ARL2/HSPA8/NPM1/RPS27/RPL4/NOP10/TIMM13/MRPS15,43,,,
GO:0005739,mitochondrion,71/254,448/2171,0.158482143,1.35458556,3.065865386,0.001858649,0.018641154,0.016284756,TMEM14B/NDUFC2/GSTP1/ENY2/COX6A1/SIVA1/NDUFB11/NDUFV2/DMAC1/RPS3/UQCRH/MRPL13/UBB/COX7C/FIS1/ATP5MG/COX7A2/COX4I1/UQCRB/COA6/TMEM256/SOD1/ATP5F1C/NDUFS4/MRPL43/CSKMT/MGST3/PSMB6/COX5B/ATP5MC1/SLIRP/MRPL51/MGST1/RACK1/PSMB4/MRPL47/CLIC1/CISD1/MRPL18/NDUFB9/TMEM126A/NDUFB10/CWC15/ATP5ME/NDUFB8/PARK7/RPS27A/ATP5PB/UQCC2/NDUFS8/NDUFB4/NDUFAF2/MRPL32/ATP5PO/IFI27/UBA52/NDUFB5/ARL2/YWHAE/TMEM14C/COX6B1/PRDX5/NDUFAB1/ATP5PD/MRPL27/HSPE1/GPX4/NDUFA12/TIMM13/MRPS15/BLOC1S1,71,,,
GO:0005740,mitochondrial envelope,57/254,261/2171,0.218390805,1.866639515,5.432224699,4.02E-07,9.22E-06,8.06E-06,TMEM14B/NDUFC2/COX6A1/NDUFB11/NDUFV2/DMAC1/RPS3/UQCRH/MRPL13/UBB/COX7C/FIS1/ATP5MG/COX7A2/COX4I1/UQCRB/COA6/SOD1/ATP5F1C/NDUFS4/MRPL43/MGST3/COX5B/ATP5MC1/MRPL51/MGST1/MRPL47/CISD1/MRPL18/NDUFB9/TMEM126A/NDUFB10/ATP5ME/NDUFB8/PARK7/RPS27A/ATP5PB/UQCC2/NDUFS8/NDUFB4/NDUFAF2/MRPL32/ATP5PO/IFI27/UBA52/NDUFB5/ARL2/YWHAE/TMEM14C/COX6B1/NDUFAB1/ATP5PD/MRPL27/NDUFA12/TIMM13/MRPS15/BLOC1S1,57,,,
GO:0005743,mitochondrial inner membrane,42/254,187/2171,0.22459893,1.919701882,4.787763764,8.82E-06,0.000176939,0.000154572,NDUFC2/COX6A1/NDUFB11/NDUFV2/DMAC1/RPS3/UQCRH/MRPL13/COX7C/ATP5MG/COX7A2/COX4I1/UQCRB/ATP5F1C/NDUFS4/MRPL43/COX5B/ATP5MC1/MRPL51/MRPL47/MRPL18/NDUFB9/TMEM126A/NDUFB10/ATP5ME/NDUFB8/ATP5PB/UQCC2/NDUFS8/NDUFB4/NDUFAF2/MRPL32/ATP5PO/NDUFB5/TMEM14C/COX6B1/NDUFAB1/ATP5PD/MRPL27/NDUFA12/TIMM13/MRPS15,42,,,
GO:0005839,proteasome core complex,11/254,15/2171,0.733333333,6.267979003,7.450766536,4.09E-08,1.07E-06,9.37E-07,PSMA3/PSMB3/PSMA7/PSMA4/PSMB6/PSMB5/PSMB4/PSMB2/PSMA2/PSMB7/PSMA6,11,,,
GO:0005840,ribosome,63/254,148/2171,0.425675676,3.638353905,12.10045319,1.51E-23,1.72E-21,1.50E-21,RPL34/RPS9/RPS20/RPL23/RPL17/RPLP2/RPS11/RPS3/RPL14/RPL7/RPL6/RPL26/RPL18A/RPS25/RPS16/MRPL13/RPL23A/RPL21/RPL5/RPS24/RPS18/RPS29/RPS5/MRPL43/RPS17/RPL27/RPS3A/RPL28/RPS7/RPL15/MRPL51/RACK1/RPS15A/RPS6/MRPL47/RPS13/MRPL18/RPL10/RPL27A/RPLP1/RPL31/RPL41/RPL37/RPL12/RPL30/RPS8/RPL7A/RPL35A/RPL18/RPS27L/RPS28/RPS27A/RPL22L1/RPL10A/MRPL32/PSMA6/RPL19/UBA52/MRPL27/RPS27/FAU/RPL4/MRPS15,63,,,
GO:0005925,focal adhesion,40/254,178/2171,0.224719101,1.92072901,4.665775599,1.48E-05,0.00026496,0.000231467,RPS9/RPL23/RPLP2/RPS11/RPS3/CD59/RPL7/RPL6/B2M/RPS16/RPL5/RPS18/RPS29/TPM4/RPS5/RPS17/RPL27/RPS3A/RPS7/ARPC3/HSPB1/RPS13/ANXA5/RPLP1/RPL31/RPL12/RPL30/RPS8/RPL7A/RPL18/PPIB/RPL10A/RPL19/CDC42/ARL2/HSPA8/NPM1/YWHAE/ACTG1/RPL4,40,,,
GO:0014069,postsynaptic density,12/254,45/2171,0.266666667,2.279265092,3.155882642,0.004174462,0.038472742,0.033609464,RPS3/RPL14/RPL7/RPL6/RPS25/FABP5/RPS18/RPS13/RPL12/RPL30/RPL10A/RPS27,12,,,
GO:0015934,large ribosomal subunit,37/254,80/2171,0.4625,3.953100394,9.794490682,2.69E-15,1.84E-13,1.61E-13,RPL34/RPL23/RPL17/RPLP2/RPL14/RPL7/RPL6/RPL26/RPL18A/MRPL13/RPL23A/RPL21/RPL5/MRPL43/RPL27/RPL28/RPL15/MRPL51/MRPL47/MRPL18/RPL10/RPL27A/RPLP1/RPL31/RPL41/RPL37/RPL12/RPL30/RPL7A/RPL35A/RPL18/RPL10A/MRPL32/RPL19/UBA52/MRPL27/RPL4,37,,,
