gene_id,gene_name,isoform_id,isoform_switch_q_value,gene_switch_q_value,dIF,consequences
ENSG00000087884,AAMDC,ENSG00000087884_iso1,0.032165402,0.081405365,0.767865564,ORF_shortening;ORF_lengthening;signal_peptide_affected
ENSG00000184009,ACTG1,ENSG00000184009_iso1,0.0262237,0.018864393,0.461537218,ORF_shortening;NMD_affected;transmembrane_affected
ENSG00000166295,ANAPC16,ENSG00000166295_iso1,0.016929902,0.047045132,0.595539269,ORF_shortening
ENSG00000164111,ANXA5,ENSG00000164111_iso1,0.019135861,0.096543341,0.571646629,ORF_shortening
ENSG00000198931,APRT,ENSG00000198931_iso1,0.0219285,0.007122277,0.753282769,NMD_affected
ENSG00000213465,ARL2,ENSG00000213465_iso1,0.049741619,0.018006169,0.498196363,Domain_loss;transmembrane_affected;NMD_affected
ENSG00000111229,ARPC3,ENSG00000111229_iso1,0.030712119,0.019405983,0.726478406,transmembrane_affected;ORF_shortening;Domain_loss
ENSG00000165629,ATP5F1C,ENSG00000165629_iso1,0.020804824,0.076560161,0.370982295,ORF_shortening;Domain_gain;NMD_affected
ENSG00000159199,ATP5MC1,ENSG00000159199_iso1,0.014550199,0.020737254,0.734800051,ORF_lengthening;Domain_loss;NMD_affected
ENSG00000169020,ATP5ME,ENSG00000169020_iso1,0.027835743,0.011158799,0.173064442,ORF_lengthening
ENSG00000167283,ATP5MG,ENSG00000167283_iso1,0.034693785,0.00406086,0.656446425,transmembrane_affected;Domain_loss;ORF_lengthening
ENSG00000116459,ATP5PB,ENSG00000116459_iso1,0.018549979,0.026584315,0.106323403,Domain_loss;ORF_lengthening;transmembrane_affected
ENSG00000167863,ATP5PD,ENSG00000167863_iso1,0.043638736,0.089371413,0.456226722,NMD_affected;Domain_gain
ENSG00000241837,ATP5PO,ENSG00000241837_iso1,0.04540375,0.050623707,0.717663626,ORF_lengthening;ORF_shortening;NMD_affected
ENSG00000113732,ATP6V0E1,ENSG00000113732_iso1,0.034062667,0.040159397,0.371535938,Domain_gain;Domain_loss;signal_peptide_affected
ENSG00000136888,ATP6V1G1,ENSG00000136888_iso1,0.03677509,0.078030011,0.382581697,ORF_lengthening;NMD_affected
ENSG00000273686,B2M,ENSG00000273686_iso1,0.00515263,0.058788716,0.466882552,signal_peptide_affected;Domain_gain;ORF_shortening
ENSG00000166681,BEX3,ENSG00000166681_iso1,0.024874618,0.050821786,0.764238765,Domain_loss;signal_peptide_affected;ORF_lengthening
