transcript_id,q_value
ENST00000379542.10,3.66E-08
ENST00000504231.1,2.54E-07
ENST00000616877.3,2.54E-07
ENST00000520627.1,5.67E-07
ENST00000281031.5,1.47E-06
ENST00000584583.2,1.78E-06
ENST00000302907.9,5.78E-06
ENST00000584364.5,9.06E-06
ENST00000520490.1,1.22E-05
ENST00000588234.6,1.22E-05
ENST00000398606.10,3.43E-05
ENST00000614737.4,3.43E-05
ENST00000635567.2,3.43E-05
ENST00000218388.9,4.88E-05
ENST00000585392.2,4.88E-05
ENST00000521619.1,7.86E-05
ENST00000522407.5,8.49E-05
ENST00000300413.10,8.49E-05
ENST00000229379.3,0.000125564
ENST00000549525.1,0.000125564
ENST00000581373.5,0.000145437
ENST00000465271.6,0.00014995
ENST00000321153.9,0.000198864
ENST00000329967.11,0.000198864
ENST00000690204.1,0.000203251
ENST00000675135.1,0.000235152
ENST00000599561.1,0.000258081
ENST00000318388.11,0.000258081
ENST00000358227.5,0.000279535
ENST00000278572.10,0.000313464
ENST00000378364.8,0.000313464
ENST00000651485.1,0.000326619
ENST00000481798.1,0.00049316
ENST00000237500.10,0.000505139
ENST00000525763.5,0.000536028
ENST00000533181.1,0.000536028
ENST00000487500.2,0.000564276
ENST00000528987.1,0.000564834
ENST00000643069.2,0.00060002
ENST00000553205.1,0.000676534
ENST00000578069.1,0.000676534
ENST00000222247.10,0.000692505
ENST00000523707.1,0.000692505
ENST00000616928.3,0.000692505
ENST00000626065.1,0.000692505
ENST00000248342.9,0.000731494
ENST00000527791.5,0.000796036
ENST00000617605.4,0.000796036
ENST00000261890.7,0.000859848
ENST00000460947.1,0.000859848
ENST00000216455.9,0.000890255
ENST00000617291.3,0.000890255
ENST00000629607.1,0.000890255
ENST00000630540.2,0.00093594
ENST00000602153.5,0.000973144
ENST00000306185.8,0.000973144
ENST00000619951.2,0.000973144
ENST00000619426.5,0.000973144
ENST00000302182.8,0.000993042
ENST00000510447.1,0.001022614
ENST00000580755.1,0.001022614
