gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC
ENSG00000137210	ENST00000379542.10	48.44011674	1	3.41E-12	3.66E-08	0.17672906	0.419865399	1.248387619
ENSG00000109475	ENST00000504231.1	42.49550473	1	7.08E-11	2.54E-07	0.065469051	0.021437569	-1.610671746
ENSG00000274950	ENST00000616877.3	43.19198363	1	4.96E-11	2.54E-07	0.359737629	0.566771107	0.655821139
ENSG00000008988	ENST00000520627.1	40.36419941	1	2.11E-10	5.67E-07	0.010836366	0.003007959	-1.849024156
ENSG00000151366	ENST00000281031.5	38.07459012	1	6.81E-10	1.47E-06	0.635709526	0.826620862	0.378858066
ENSG00000125691	ENST00000584583.2	37.33965027	1	9.92E-10	1.78E-06	0.030162529	0.010815835	-1.479612307
ENSG00000170889	ENST00000302907.9	34.74591519	1	3.76E-09	5.78E-06	0.410737809	0.610108992	0.570849238
ENSG00000265681	ENST00000584364.5	33.61015073	1	6.73E-09	9.06E-06	0.049731753	0.015441382	-1.687365386
ENSG00000008988	ENST00000520490.1	32.59783969	1	1.13E-08	1.22E-05	0.008091139	0.002165294	-1.901779696
ENSG00000104979	ENST00000588234.6	32.66031092	1	1.10E-08	1.22E-05	0.621832977	0.781308906	0.329365933
ENSG00000084207	ENST00000398606.10	30.21496163	1	3.87E-08	3.43E-05	0.407638942	0.635932596	0.641581978
ENSG00000278270	ENST00000614737.4	30.11973805	1	4.06E-08	3.43E-05	0.478951272	0.663607762	0.470451878
ENSG00000282986	ENST00000635567.2	30.07933915	1	4.15E-08	3.43E-05	0.50727941	0.710112592	0.485267186
ENSG00000102265	ENST00000218388.9	29.12132335	1	6.80E-08	4.88E-05	0.514596149	0.767201335	0.576164571
ENSG00000125743	ENST00000585392.2	29.22573306	1	6.44E-08	4.88E-05	0.027167063	0.00846451	-1.68236018
ENSG00000120533	ENST00000521619.1	28.0735724	1	1.17E-07	7.86E-05	0.028978497	0.006255335	-2.211823683
ENSG00000120533	ENST00000522407.5	27.69579156	1	1.42E-07	8.49E-05	0.033843414	0.008817117	-1.940496173
ENSG00000167088	ENST00000300413.10	27.7554426	1	1.38E-07	8.49E-05	0.730146399	0.860453201	0.236910965
ENSG00000111775	ENST00000229379.3	26.73507947	1	2.33E-07	0.000125564	0.881541768	0.966588322	0.132872638
ENSG00000111775	ENST00000549525.1	26.73507947	1	2.33E-07	0.000125564	0.118458232	0.033411678	-1.825954115
ENSG00000265681	ENST00000581373.5	26.35696818	1	2.84E-07	0.000145437	0.053266268	0.020026271	-1.411328365
ENSG00000143771	ENST00000465271.6	26.20811246	1	3.07E-07	0.00014995	0.602831466	0.755777339	0.326206538
ENSG00000177600	ENST00000321153.9	25.55098157	1	4.31E-07	0.000198864	0.743516455	0.85762184	0.205976975
ENSG00000184990	ENST00000329967.11	25.49522069	1	4.43E-07	0.000198864	0.448478728	0.680613945	0.601797153
ENSG00000147123	ENST00000690204.1	25.37437428	1	4.72E-07	0.000203251	0.060184797	0.012219844	-2.300173223
ENSG00000169567	ENST00000675135.1	25.01755598	1	5.68E-07	0.000235152	0.037423322	0.015901004	-1.234819746
ENSG00000142534	ENST00000599561.1	24.6953477	1	6.71E-07	0.000258081	0.02666306	0.009368474	-1.508956401
ENSG00000178127	ENST00000318388.11	24.7054595	1	6.68E-07	0.000258081	0.379698275	0.614940264	0.695592826
ENSG00000137038	ENST00000358227.5	24.47384996	1	7.53E-07	0.000279535	0.626217754	0.848428439	0.438128569
ENSG00000149273	ENST00000278572.10	24.16889117	1	8.82E-07	0.000313464	0.132155339	0.250086625	0.920193195
ENSG00000198931	ENST00000378364.8	24.12472752	1	9.03E-07	0.000313464	0.329580487	0.499263712	0.59917122
ENSG00000085063	ENST00000651485.1	23.98443256	1	9.71E-07	0.000326619	0.046167101	0.021221355	-1.121348387
ENSG00000188846	ENST00000481798.1	23.13241513	1	1.51E-06	0.00049316	0.072705415	0.030598246	-1.248613838
ENSG00000118680	ENST00000237500.10	23.0288696	1	1.60E-06	0.000505139	0.27242935	0.429363869	0.656318655
ENSG00000284969	ENST00000525763.5	22.80490976	1	1.79E-06	0.000536028	0.648072045	0.859697457	0.407674836
ENSG00000284969	ENST00000533181.1	22.80490976	1	1.79E-06	0.000536028	0.351927955	0.140302543	-1.326738963
ENSG00000147604	ENST00000487500.2	22.6535703	1	1.94E-06	0.000564276	0.185440177	0.089775332	-1.046562855
ENSG00000085063	ENST00000528987.1	22.600433	1	1.99E-06	0.000564834	0.035120047	0.014144322	-1.312071791
ENSG00000285246	ENST00000643069.2	22.43444853	1	2.17E-06	0.00060002	0.541715828	0.674116276	0.315461213
ENSG00000089009	ENST00000553205.1	22.10795636	1	2.58E-06	0.000676534	0.219591166	0.124468032	-0.819044766
ENSG00000161970	ENST00000578069.1	22.11879067	1	2.56E-06	0.000676534	0.030428967	0.011104359	-1.454319233
ENSG00000105640	ENST00000222247.10	21.88832351	1	2.89E-06	0.000692505	0.506488889	0.610386905	0.269193393
