gene_id	feature_id	lr	df	pvalue	adj_pvalue	mean_proportion_ref	mean_proportion_comp	log2FC	neg_log10_pval	neg_log10_fdr	significance	transcript_label
ENSG00000000419	ENST00000371582.8	0.0325620739122314	1	0.856799583876274	1	0.346880284314006	0.333890128111702	-0.0550644053740347	0.0671207531008997	0	Not significant	ENSG00000000419:ENST00000371582.8
ENSG00000000419	ENST00000371588.10	0.178954912998051	1	0.672272914281705	1	0.306239431371987	0.335361783941511	0.131058240227519	0.172454386015779	0	Not significant	ENSG00000000419:ENST00000371588.10
ENSG00000000419	ENST00000466152.5	0.0560830702343083	1	0.812797486963956	1	0.346880284314006	0.330748087946787	-0.0687050279687046	0.0900176478251336	0	Not significant	ENSG00000000419:ENST00000466152.5
ENSG00000002330	ENST00000309032.8	0.00152962170125193	1	0.96880238650746	1	0.5	0.496794871794872	-0.00927781358801075	0.0137648000407429	0	Not significant	ENSG00000002330:ENST00000309032.8
ENSG00000002330	ENST00000394532.7	0.00152962170125193	1	0.96880238650746	1	0.5	0.503205128205128	0.00921853002937863	0.0137648000407429	0	Not significant	ENSG00000002330:ENST00000394532.7
ENSG00000002549	ENST00000226299.9	0.00822061372673488	1	0.92775671585332	1	0.222862263184844	0.222882128134691	0.000128589681480094	0.0325658931931578	0	Not significant	ENSG00000002549:ENST00000226299.9
ENSG00000002549	ENST00000508497.5	0.0758797645812592	1	0.782960687467349	1	0.118023553507424	0.114195037608702	-0.0475748422603888	0.106260043363023	0	Not significant	ENSG00000002549:ENST00000508497.5
ENSG00000002549	ENST00000509583.1	0.00141237123625615	1	0.97002133614931	1	0.102534562211982	0.106342399897922	0.0526066367263561	0.013218713084268	0	Not significant	ENSG00000002549:ENST00000509583.1
ENSG00000002549	ENST00000512397.1	0.205941301942403	1	0.649967341470429	1	0.129928315412186	0.119277854778577	-0.123389657087429	0.187108464550232	0	Not significant	ENSG00000002549:ENST00000512397.1
ENSG00000002549	ENST00000606142.5	0.177751363587049	1	0.673312847423143	1	0.20378904249872	0.214420451445416	0.0733660352203637	0.171783098718234	0	Not significant	ENSG00000002549:ENST00000606142.5
ENSG00000002549	ENST00000618908.4	0.00822063724990585	1	0.927756612774743	1	0.222862263184844	0.222882128134691	0.000128589681480094	0.032565941445527	0	Not significant	ENSG00000002549:ENST00000618908.4
ENSG00000002586	ENST00000381192.10	0.0613486524271138	1	0.804376899575756	1	0.337226669032666	0.343665362415362	0.027285817656345	0.0945404101424691	0	Not significant	ENSG00000002586:ENST00000381192.10
ENSG00000002586	ENST00000611428.5	0.173379157437012	1	0.677125940278759	1	0.33774951254085	0.347785200910201	0.0422428564620636	0.169330548329101	0	Not significant	ENSG00000002586:ENST00000611428.5
ENSG00000002586	ENST00000624481.4	0.471016788755151	1	0.492519769737163	1	0.325023818426484	0.308549436674437	-0.0750437851047835	0.307576332241623	0	Not significant	ENSG00000002586:ENST00000624481.4
ENSG00000002834	ENST00000318008.11	0.088788310837117	1	0.765723255981783	1	0.505555555555556	0.51901337757991	0.0379020857987698	0.115928162634174	0	Not significant	ENSG00000002834:ENST00000318008.11
ENSG00000002834	ENST00000433206.6	0.088788310837117	1	0.765723255981783	1	0.494444444444444	0.48098662242009	-0.0398116603449484	0.115928162634174	0	Not significant	ENSG00000002834:ENST00000433206.6
ENSG00000003056	ENST00000000412.8	0.080248088136841	1	0.776961490639936	1	0.295304583480617	0.32225440681323	0.125996338506251	0.109600506060135	0	Not significant	ENSG00000003056:ENST00000000412.8
ENSG00000003056	ENST00000536844.5	0.0323841840768182	1	0.857187062810156	1	0.348400494874514	0.35051247771836	0.00871912976015982	0.0669243922178895	0	Not significant	ENSG00000003056:ENST00000536844.5
ENSG00000003056	ENST00000541507.5	0.208923088496704	1	0.647612788638114	1	0.356294921644869	0.32723311546841	-0.122753166446311	0.188684583667699	0	Not significant	ENSG00000003056:ENST00000541507.5
ENSG00000003402	ENST00000309955.8	1.16233798554674	1	0.280981190044297	0.956947061259329	0.482804232804233	0.400014063606297	-0.271387601587694	0.551322752455756	0.0191120869241772	Not significant	ENSG00000003402:ENST00000309955.8
ENSG00000003402	ENST00000490965.1	1.16233798554674	1	0.280981190044297	0.956947061259329	0.517195767195767	0.599985936393703	0.214218216526096	0.551322752455756	0.0191120869241772	Not significant	ENSG00000003402:ENST00000490965.1
ENSG00000003436	ENST00000233156.9	1.12446455553027	1	0.288959146663409	0.968855319408924	0.452702964447931	0.390088421098651	-0.214763578032386	0.539163553896765	0.0137410719416547	Not significant	ENSG00000003436:ENST00000233156.9
ENSG00000003436	ENST00000392365.5	2.93368266179459	1	0.0867494034403676	0.508495141517013	0.407749595669059	0.310247120029729	-0.394265628209029	1.0617335030898	0.293713192244544	Not significant	ENSG00000003436:ENST00000392365.5
ENSG00000003436	ENST00000453013.5	8.24440833791505	1	0.00408777312760985	0.0807203933932792	0.13954743988301	0.29966445887162	1.10259232874561	2.38851321565252	1.09301673021869	Not significant	ENSG00000003436:ENST00000453013.5
ENSG00000004059	ENST00000000233.10	6.82121026329696e-13	1	0.999999341022206	1	0.5	0.5	0	2.86190513782566e-07	0	Not significant	ENSG00000004059:ENST00000000233.10
ENSG00000004059	ENST00000463733.5	6.82121026329696e-13	1	0.999999341022206	1	0.5	0.5	0	2.86190513782566e-07	0	Not significant	ENSG00000004059:ENST00000463733.5
