Transcript_ID,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENST00000000233.10,47,29,30,52,35,77,21,60,85,87,63,55,13,54,61
ENST00000000412.8,22,13,6,19,15,15,11,15,28,32,18,18,0,10,12
ENST00000000442.11,7,8,3,9,8,3,5,15,13,23,7,11,2,11,4
ENST00000001008.6,40,33,16,32,52,21,30,21,32,51,22,38,2,16,21
ENST00000002125.9,1,0,4,4,3,0,5,0,4,3,4,4,0,0,0
ENST00000002165.11,23,11,8,18,20,21,9,26,42,32,9,16,4,19,11
ENST00000002501.11,11,2,5,3,4,5,2,6,2,10,11,12,2,4,4
ENST00000002596.6,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1
ENST00000002829.8,8,2,4,15,15,11,5,12,11,6,17,6,0,6,4
ENST00000003100.13,46,45,41,71,63,56,59,43,105,102,65,42,4,57,52
ENST00000003302.8,3,2,1,0,5,2,5,3,7,4,5,3,1,4,2
ENST00000003583.12,0,0,0,2,0,0,0,3,5,3,4,0,0,0,0
ENST00000003912.7,0,2,0,6,2,4,0,4,10,3,2,5,0,0,2
ENST00000004531.14,0,0,0,2,0,6,2,0,0,2,0,0,0,3,0
ENST00000004982.6,6,4,1,1,1,1,1,3,6,2,0,1,0,0,0
ENST00000005082.13,3,6,0,12,5,13,5,11,6,3,10,11,3,19,7
ENST00000005178.6,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0
ENST00000005180.9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
ENST00000005257.7,142,110,93,183,153,216,135,196,303,287,224,204,43,276,216
ENST00000005259.9,3,7,8,29,4,50,7,19,21,18,21,21,6,22,12
ENST00000005286.8,5,0,0,8,10,2,2,9,6,10,13,3,2,9,7
ENST00000005340.10,4,2,5,9,9,4,5,2,9,9,5,1,0,1,3
ENST00000005374.10,9,8,5,18,14,14,14,8,15,12,20,14,2,5,16
ENST00000005386.8,0,5,2,4,2,5,3,3,10,2,5,5,0,9,5
ENST00000006015.4,6,0,2,3,9,1,2,5,5,10,6,2,0,3,0
ENST00000006053.7,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0
ENST00000006251.11,0,3,0,0,4,0,0,0,0,0,0,0,2,0,0
ENST00000006275.8,5,2,5,3,5,6,6,7,23,12,8,11,4,12,9
ENST00000006658.11,4,2,3,12,4,6,3,3,11,5,4,6,0,0,2
