Transcript_ID,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENST00000000233.10,46.77741079,38.33134888,55.72823951,42.97998731,34.2293016,65.82637684,26.9359933,60.96019257,55.23392996,52.39897333,51.2444099,55.2387631,57.59840775,50.54957548,74.74866249
ENST00000000412.8,21.89580931,17.18301846,11.1456479,15.70422613,14.66970069,12.82332016,14.10932982,15.24004814,18.19470634,19.27318559,14.64125997,18.07814065,0,9.361032497,14.70465492
ENST00000000442.11,6.966848416,10.57416521,5.572823951,7.438843957,7.823840367,2.564664033,6.413331739,15.24004814,8.44754223,13.85260215,5.693823323,11.04775262,8.8612935,10.29713575,4.901551639
ENST00000001008.6,39.81056238,43.61843148,29.72172774,26.44922296,50.85496238,17.95264823,38.47999043,21.3360674,20.7939501,30.71663954,17.8948733,38.16496359,8.8612935,14.977652,25.7331461
ENST00000002125.9,0.995264059,0,7.430431934,3.30615287,2.933940137,0,6.413331739,0,2.599243763,1.806861149,3.253613327,4.017364589,0,0,0
ENST00000002165.11,22.89107337,14.53947716,14.86086387,14.87768791,19.55960092,17.95264823,11.54399713,26.41608345,27.29205951,19.27318559,7.320629986,16.06945836,17.722587,17.78596174,13.47926701
ENST00000002501.11,10.94790465,2.643541302,9.288039918,2.479614652,3.911920183,4.274440054,2.565332695,6.096019257,1.299621881,6.022870498,8.94743665,12.05209377,8.8612935,3.744412999,4.901551639
ENST00000002829.8,7.962112475,2.643541302,7.430431934,12.39807326,14.66970069,9.403768119,6.413331739,12.19203851,7.147920348,3.613722299,13.82785664,6.026046883,0,5.616619498,4.901551639
ENST00000003100.13,45.78214673,59.47967929,76.16192732,58.68421344,61.61274289,47.87372861,75.67731451,43.68813801,68.23014878,61.43327908,52.87121657,42.18232818,17.722587,53.35788523,63.7201713
ENST00000003302.8,2.985792178,2.643541302,1.857607984,0,4.889900229,1.709776022,6.413331739,3.048009629,4.548676585,2.409148199,4.067016659,3.013023442,4.43064675,3.744412999,2.450775819
ENST00000003583.12,0,0,0,1.653076435,0,0,0,3.048009629,3.249054704,1.806861149,3.253613327,0,0,0,0
ENST00000003912.7,0,2.643541302,0,4.959229305,1.955960092,3.419552043,0,4.064012838,6.498109407,1.806861149,1.626806664,5.021705736,0,0,2.450775819
ENST00000004531.14,0,0,0,1.653076435,0,5.129328065,2.565332695,0,0,1.2045741,0,0,0,2.808309749,0
ENST00000004982.6,5.971584356,5.287082604,1.857607984,0.826538217,0.977980046,0.854888011,1.282666348,3.048009629,3.898865644,1.2045741,0,1.004341147,0,0,0
ENST00000005082.13,2.985792178,7.930623906,0,9.918458609,4.889900229,11.11354414,6.413331739,11.1760353,3.898865644,1.806861149,8.134033318,11.04775262,13.29194025,17.78596174,8.577715367
ENST00000005178.6,0.995264059,0,0,2.479614652,2.933940137,0,0,2.032006419,0,0,0,0,0,0,0
ENST00000005257.7,141.3274964,145.3947716,172.7575425,151.2564938,149.630947,184.6558103,173.1599569,199.1366291,196.892715,172.8563833,182.2023463,204.885594,190.5178102,258.3644969,264.6837885
ENST00000005259.9,2.985792178,9.252394557,14.86086387,23.96960831,3.911920183,42.74440054,8.978664434,19.30406098,13.64602976,10.8411669,17.08146997,21.09116409,26.5838805,20.59427149,14.70465492
ENST00000005286.8,4.976320297,0,0,6.61230574,9.779800458,1.709776022,2.565332695,9.144028886,3.898865644,6.022870498,10.57424331,3.013023442,8.8612935,8.424929247,8.577715367
ENST00000005340.10,3.981056238,2.643541302,9.288039918,7.438843957,8.801820412,3.419552043,6.413331739,2.032006419,5.848298467,5.420583448,4.067016659,1.004341147,0,0.93610325,3.676163729
ENST00000005374.10,8.957376534,10.57416521,9.288039918,14.87768791,13.69172064,11.96843215,17.95732887,8.128025676,9.747164111,7.227444598,16.26806664,14.06077606,8.8612935,4.680516249,19.60620655
ENST00000005386.8,0,6.608853255,3.715215967,3.30615287,1.955960092,4.274440054,3.847999043,3.048009629,6.498109407,1.2045741,4.067016659,5.021705736,0,8.424929247,6.126939548
ENST00000006015.4,5.971584356,0,3.715215967,2.479614652,8.801820412,0.854888011,2.565332695,5.080016048,3.249054704,6.022870498,4.880419991,2.008682294,0,2.808309749,0
ENST00000006251.11,0,3.965311953,0,0,3.911920183,0,0,0,0,0,0,0,8.8612935,0,0
ENST00000006275.8,4.976320297,2.643541302,9.288039918,2.479614652,4.889900229,5.129328065,7.695998086,7.112022467,14.94565164,7.227444598,6.507226655,11.04775262,17.722587,11.233239,11.02849119
ENST00000006658.11,3.981056238,2.643541302,5.572823951,9.918458609,3.911920183,5.129328065,3.847999043,3.048009629,7.147920348,3.011435249,3.253613327,6.026046883,0,0,2.450775819
ENST00000006777.11,2.985792178,10.57416521,7.430431934,4.132691087,0,12.82332016,2.565332695,10.1600321,5.198487526,8.432018697,7.320629986,11.04775262,4.43064675,9.361032497,11.02849119
ENST00000007264.7,12.93843277,9.252394557,3.715215967,10.74499683,4.889900229,7.693992098,8.978664434,6.096019257,5.198487526,9.636592797,6.507226655,4.017364589,0,1.872206499,7.352327458
ENST00000007390.3,20.90054525,21.14833041,16.71847185,28.10229939,41.07516192,13.67820817,21.80532791,11.1760353,25.99243763,9.034305747,19.52167996,12.05209377,0,12.16934225,9.803103277
ENST00000007414.8,0,0,0,1.653076435,0,5.984216076,0,0,1.949432822,1.2045741,0,0,0,0,0
ENST00000007516.8,57.72531544,166.543102,178.3303664,309.9518315,230.8032908,708.702161,215.4879464,704.0902242,506.2027228,534.2286132,654.7896821,481.0794095,389.896914,464.3072119,748.7120128
ENST00000007708.7,0,0,0,0,0,0.854888011,3.847999043,4.064012838,0,1.806861149,6.507226655,2.008682294,0,3.744412999,1.22538791
ENST00000007969.12,0,0,0,0,0,1.709776022,0,0,2.599243763,0,0,0,0,0,0
ENST00000008180.13,4.976320297,14.53947716,13.00325588,28.92883761,18.58162087,40.17973651,15.39199617,21.3360674,17.5448954,22.28462084,21.14848663,36.1562813,26.5838805,34.63582024,51.4662922
ENST00000008440.9,0.995264059,0,0,1.653076435,0,0.854888011,1.282666348,0,0,2.409148199,0,0,0,0,0
ENST00000008527.10,3.981056238,5.287082604,5.572823951,2.479614652,5.867880275,2.564664033,5.130665391,6.096019257,1.949432822,1.806861149,1.626806664,2.008682294,0,0,6.126939548
ENST00000009041.12,18.91001713,22.47010107,16.71847185,21.48999365,11.73576055,21.37220027,16.67466252,17.27205456,17.5448954,20.47775969,18.70827663,19.0824818,17.722587,16.84985849,19.60620655
ENST00000009180.10,109.4790465,80.62800971,109.598871,202.5018633,113.4456853,219.7062188,112.8746386,102.6163242,89.02409888,78.29731647,105.7424331,102.442797,155.0726362,106.7157705,139.6942217
ENST00000009530.13,0,0,0,0,1.955960092,1.709776022,0,4.064012838,3.898865644,0,2.440209995,4.017364589,0,0,2.450775819
ENST00000009589.8,2179.62829,3638.834602,4116.459292,7885.174594,5468.864416,12353.98664,5093.468067,10807.22614,9065.512434,9319.789809,11387.64665,13930.21171,11612.72513,12740.36523,12985.43568
ENST00000010132.6,5.971584356,11.89593586,14.86086387,30.58191405,17.60364082,50.43839264,16.67466252,44.70414122,31.8407361,38.54637119,43.92377992,48.20837507,53.167761,45.86905924,40.43780102
ENST00000011473.6,17.91475307,18.50478911,14.86086387,27.27576118,20.53758096,35.90529646,15.39199617,13.20804172,13.64602976,24.09148199,17.08146997,29.12589327,13.29194025,23.40258124,13.47926701
ENST00000011619.6,8.957376534,2.643541302,3.715215967,4.959229305,7.823840367,9.403768119,6.413331739,10.1600321,7.797731289,4.818296398,4.880419991,5.021705736,13.29194025,1.872206499,13.47926701
ENST00000011691.6,13.93369683,34.36603692,46.44019959,124.8072708,43.03112202,182.0911463,41.04532313,157.4804975,129.9621881,124.0711323,191.149783,204.885594,181.6565167,211.5593344,246.3029698
ENST00000011700.10,5.971584356,0,11.1456479,4.132691087,3.911920183,3.419552043,3.847999043,2.032006419,1.949432822,2.409148199,4.880419991,4.017364589,0,1.872206499,7.352327458
