Sample,Group,Cell_Type,Stiffness
HUVEC_low1,HUVEC_64kPa,HUVEC,64kPa
HUVEC_low2,HUVEC_64kPa,HUVEC,64kPa
HUVEC_low3,HUVEC_64kPa,HUVEC,64kPa
HUVEC_high1,HUVEC_4GPa,HUVEC,4GPa
HUVEC_high2,HUVEC_4GPa,HUVEC,4GPa
HUVEC_high3,HUVEC_4GPa,HUVEC,4GPa
HUVEC_high4,HUVEC_4GPa,HUVEC,4GPa
HUAEC_low1,HUAEC_64kPa,HUAEC,64kPa
HUAEC_low2,HUAEC_64kPa,HUAEC,64kPa
HUAEC_low3,HUAEC_64kPa,HUAEC,64kPa
HUAEC_low4,HUAEC_64kPa,HUAEC,64kPa
HUAEC_high1,HUAEC_4GPa,HUAEC,4GPa
HUAEC_high2,HUAEC_4GPa,HUAEC,4GPa
HUAEC_high3,HUAEC_4GPa,HUAEC,4GPa
HUAEC_high4,HUAEC_4GPa,HUAEC,4GPa
